Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europäische Wahlen: Ziele, Finanzierung..."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","""Gelbe Hüte"" kündigten auf Mittwoch an, dass sie für die Europawahl antreten."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste umfasst heute nur 10 Namen, von den 79, die geplant sind."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Im Gegensatz zu den déclarationen sollten Kandidaten das Crowdfunding nicht nutzen, um sich zu finanzieren."
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Ingrid Levavasseur sollte die Liste ""gelbe Hosen"" an die Europäer führen."
De la rue aux urnes.,Von der Straße zu den Urnen.,"From the street to the urn.

**German translation:** Von der Straße zu den Urnen."
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","""Gelbe Hüte"" kündigten am Mittwoch an, dass sie für die Europawahl antreten."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","In einem Kommuniqué wird der ""Ralliement d'initiative citoyenne"" (RIC) eine Liste mit zehn Namen ausstrahlen."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","Auf ihrem Kopf: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Norwegen, die zu den Hauptfiguren des [Bewegungs] gehört."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten gehen auf die Fragen ein, die diese Kandidaten stellen."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,Warum man sich auf die Europäer einlässt?
"Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.","Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.","Im seinem Kommuniqué stellt der RIC, der die Abkürzung von ""Référendum d’initiative citoyenne"" (Volksentscheid) verteidigt, der von einigen ""gilets jaunes"" (gelbe Westen) unterstützt wird, als ""eine Koordination aus verschiedenen Initiativen"" des Widerstandsmovments dar."
"Pourquoi ces manifestants se lancent-ils en politique? Le mouvement fait « apparaître la nécessité de transformer la colère en un projet politique humain, capable d’apporter des réponses aux Français qui soutiennent le mouvement des ""gilets jaunes"" depuis des mois », disent-ils.","Warum wollen diese Demonstranten in die Politik? Sie sagen, ihre Bewegung habe gezeigt, dass es notwendig ist, die Wut in eine Politik für die Menschen umzuwandeln, die jenen Franzosen, welche die Gelbwesten seit Monaten unterstützen, Antworten geben kann.","Warum diese Demonstranten in die Politik gehen? Der Bewegung betont die Notwendigkeit, Wut in ein menschenpolitisches Projekt umzuwandeln, das Antworten auf die Franzosen bietet, die dem ""Gilets jaunes""-Bewegung seit Monaten ihre Unterstützung zeigen."
