Source,Reference,Translation
"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that will change your view of the city,Munich 1856: Four cards that change your view of the city
"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","A mental asylum, where today young people are said to meet.",A mental institution where young people are supposed to meet today.
"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where they are now digging tunnels for the S-Bahn.","A crypt chapel, where the S-Bahn tunnel is now being dug."
Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Allotment holders cultivate the soil of former farmers.,Allotment gardeners cultivate the former land of farmers.
Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings captivating stories to light.,The oldest official map of Munich brings exciting stories to light.
"Es nervt, wenn Landkarten nicht aktuell sind.",It is annoying when geographical maps are not up-to-date.,It's annoying when maps are not up to date.
"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Everyone knows this, who has ever had to get upset because the car's navigation system showed a green meadow instead of a bypass road."
"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","The historical land maps of the digital Bavaria Atlas, an offer from the Geoportal Bavaria of the state government, are anything but current - but precisely because of that, they are very revealing."
Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially when one compares them with current online maps.,Especially when comparing them with current online maps.
"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,Then it becomes clear how cities and municipalities in the distribution area of the Münchner Merkur have changed since the 19th century.
"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,The digital Bavaria Atlas is a patchwork quilt that you don't immediately recognize as such.
"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","The detailed text translation is:
    Detailed maps, known as original position sheets, for cities and municipalities have been incorporated into the large overview map."
Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.","These were created, according to the Bavarian Surveying Administration, between 1810 and 1864 and originate from the first survey of Bavaria."
Ihr Auftraggeber: Napoleon.,Their commissioner: Napoleon.,Your employer: Napoleon.
Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.,"The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.",The French army leader occupied Bavaria from the spring of 1800 during the Second Coalition War with Austria.
Napoleon wünschte sich einen Überblick über das besetzte Land und gab eine topographische Aufnahme Bayerns in Auftrag - natürlich zu militärischen Zwecken.,Napoleon wanted to gain an overview of the occupied land and commissioned a topographical survey – naturally for military purposes.,Napoleon wanted an overview of the occupied land and commissioned a topographical survey of Bavaria - of course for military purposes.
"Auch wenn die französischen Truppen mit dem Frieden von Lunéville vom 9. Februar 1801 schließlich abzogen: Es waren die heutigen Nachbarn, die die Idee einer flächendeckenden Bayern-Karte kreierten.",Even if the French troops finally retreated with the Treaty of Lunéville from 9th February 1801: it was the current neighbours who had the idea to create a comprehensive map of Bavaria.,"Even though the French troops finally withdrew with the Peace of Lunéville on February 9, 1801, it was the current neighbors who created the idea of a comprehensive Bavaria map."
"Kurfürst Max IV. Joseph trieb das Projekt weiter voran, gründete das ""Topographische Bureau"" - und damit die Bayerische Vermessungsverwaltung.","Elector Max IV. Joseph propelled the project further forward, founding the ""Topographical Bureau"" – and with that, the Bavarian Surveying and Mapping Authority.","Electoral Prince Max IV Joseph drove the project forward, founded the ""Topographical Bureau"" - and thus the Bavarian Surveying Administration."
