Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...

Explanation:
- ""Elections européennes"" translates to ""Europawahlen"" in German.
- ""Objectifs"" translates to ""Ziele"" in German.
- ""financement"" translates to ""Finanzierung"" in German."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zum Thema der Kandidatur der Liste ""Gelbe Westen""."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","„Gelbe Westen“ haben am Mittwoch angekündigt, dass sie sich für die Europawahlen bewerben werden."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Heute besteht die Liste nur noch aus 10 Namen, von den 79 geplanten."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.",Im Gegensatz zu ihren Ankündigungen sollten die Kandidaten sich nicht durch Crowdfunding finanzieren können.
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Ingrid Levavasseur sollte die Liste ""Gelbe Westen"" bei den Europawahlen führen."
De la rue aux urnes.,Von der Straße zu den Urnen.,Von der Straße zu den Wahlurnen.
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","""Gelbe Westen"" haben am Mittwoch angekündigt, dass sie sich für die Europawahlen bewerben werden."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","In einem Kommuniqué verbreitet das ""Bürgerinitiative für ein Volksbegehren"" (RIC) ein erstes Namensverzeichnis mit zehn Namen."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige normannische Krankenpflegerin, die eine der Figuren der Bewegung ist."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten geht auf die Fragen ein, die dieser Kandidatur aufgeworfen werden."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,Warum sich für die Europawahlen engagieren?
