Source,Reference,Translation
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"上周，古装剧《美人私厨》的播映被临时中断，意外引发了关于本地电视剧虚假收视率的热烈讨论。 


**Explanation:**

* **broadcast of period drama “Beauty Private Kitchen” was temporarily halted:**  将电视剧《美人私厨》的播映被临时中断
* **accidentally triggered heated debate:** 意外引发了热烈讨论
* **about faked ratings of locally produced dramas:** 关于本地电视剧虚假收视率
* **locally produced dramas:** 本地电视剧



This translation aims for accuracy and fluency in Chinese. It uses appropriate vocabulary and sentence structure to convey the meaning of the original English text."
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,"民权组织发布对密苏里州的旅行警告。 


This translation focuses on accuracy and fluency:

* **Civil rights group** is translated as ""民权组织"" which is a common and accurate term.
* **Issues travel warning** is translated as ""发布旅行警告"" which directly conveys the meaning.
* **For Missouri** is translated as ""对密苏里州"" which is clear and specific. 


Let me know if you have any other text you'd like me to translate!"
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,"美国全国有色人种 advance 协会因密苏里州的歧视性政策和种族攻击，发布了针对有色人种旅行者前往密苏里州的警报。 


**Explanation:**

* **National Association for the Advancement of Colored People** is translated as **美国全国有色人种 advance 协会** which is a direct translation.
* **Put out an alert** is translated as **发布了警报** which conveys the same meaning.
* **People of color** is translated as **有色人种** which is a common term used in Chinese.
* **Traveling to Missouri** is translated as **前往密苏里州**
* **Because of the state's discriminatory policies and racist attacks** is translated as **因密苏里州的歧视性政策和种族攻击** 


This translation aims for accuracy and fluency while considering the cultural context."
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"根据美国国家協会于2017年8月28日生效的密苏里州旅行警示，呼吁非裔美国人旅行者、游客和密苏里州居民，鉴于最近全州发生的系列有问题的种族相关事件，在整个州内旅行时应特别注意并采取极度谨慎。 


**Explanation:**

* **NAACP:**  The full name is translated as ""美国国家協会"" (Měiguó Guójiā Xīhuì).
* **Travel Advisory:**  Translated as ""旅行警示"" (lǚxíng jǐngshì).
* **Effective through August 28th, 2017:**  Translated as ""于2017年8月28日生效"" (yú 2017 nián 8 yuè 28 rì shēngyòng).
* **African American travelers, visitors and Missourians:**  Translated as ""非裔美国人旅行者、游客和密苏里州居民"" (fēiyì měiguó rén lǚxíng zhě, yóukè hé mìsūlǐ zhōu jūmín).
* **Pay special attention and exercise extreme caution:**  Translated as ""应特别注意并采取极度谨慎"" (yīng tèbié zhùyì bìng cǎiqǔ jí dù jǐnshèn).
* **Series of questionable, race-based incidents occurring statewide recently:**  Translated as ""最近全州发生的系列有问题的种族相关事件"" (zuìjìn quán zhōu shēngfà de xìliè yǒu wèntí de zhuǒcè xiāngguān shìjiàn).
* **Noted therein:**  Translated as ""如上所述"" (rú shàng suǒ shū)."
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"NAACP 表示，最近一項密蘇里州法律使得人們更難贏得歧視訴訟，以及該州執法部門對少數群體的過度打擊，促使該組織發布旅遊警報。 


**Explanation:**

* **""A recent Missouri law making it harder for people to win discrimination lawsuits""** is translated as ""最近一項密蘇里州法律使得人們更難贏得歧視訴訟""
* **""as well as the state's law enforcement disproportionately targeting minorities""** is translated as ""以及該州執法部門對少數群體的過度打擊""
* **""prompted the group to issue the travel alert""** is translated as ""促使該組織發布旅遊警報""
* **""the NAACP said""** is translated as ""NAACP 表示""


This translation aims for accuracy and fluency by:

* Using precise terminology for legal concepts like ""discrimination lawsuits"" and ""law enforcement.""
* Employing natural-sounding Chinese phrasing.
* Maintaining the original meaning and context."
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"人们正在遭受着侵犯公民权利的行为。 


This translation aims for both accuracy and fluency in Chinese. 

Here's a breakdown:

* **""You have violations of civil rights""** is translated as ""人们正在遭受着侵犯公民权利的行为"" which directly conveys the meaning of civil rights violations happening.
* **""that are happening to people""** is incorporated into the previous phrase for natural flow in Chinese. 

Let me know if you have any other text you'd like me to translate!"
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"密苏里州NAACP主席罗德·查佩尔告诉《堪萨斯城星报》：“他们之所以被拦下，是因为肤色，他们被打或被杀害。” 


This translation aims for accuracy and fluency in Chinese:

* **""They're being pulled over because of their skin color, they're being beaten up or killed""** is translated directly, maintaining the original meaning and structure.
* **""Missouri NAACP""** is translated as ""密苏里州NAACP"", using the full name for clarity.
* **""The Kansas City Star""** is translated as  ""《堪萨斯城星报》"", using the standard format for newspaper titles in Chinese. 



Let me know if you have any other text you'd like me to translate!"
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"我们正在以前所未有的速度收到投诉。 


This translation captures the meaning of the original English sentence while maintaining accuracy and fluency in Chinese. 

Here's a breakdown:

* **我们正在** (wǒmen zhèngzài) - We are
* **以** (yǐ) - at a rate of
* **前所未有的速度** (qián suǒ wèi yǒu de sùdù) - unprecedented speed
* **收到投诉** (shōu dào tōu sī) - receiving complaints 


Let me know if you have any other text you'd like me to translate!"
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,"这是该组织首次对美国一个州发布此类警告。 


Let me know if you have any other text you'd like me to translate!"
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"该组织引用了以下事件：密苏里大学黑人学生遭受种族辱骂以及来自田纳西州的28岁黑人男子托里·桑德斯（Tory Sanders）的死亡。 


**Explanation:**

* **""The group cited incidents""** is translated as ""该组织引用了以下事件"" which directly conveys the meaning.
* **""Racial slurs against black students""** is translated as ""种族辱骂"" which is a common term for racial slurs in Chinese.
* **""At the University of Missouri""** is translated as ""在密苏里大学""
* **""The death of Tory Sanders""** is translated as ""托里·桑德斯（Tory Sanders）的死亡""
* **""A black man from Tennessee""** is translated as ""来自田纳西州的28岁黑人男子"" 

This translation aims for accuracy and fluency by using appropriate terminology and sentence structure in Chinese."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",今年早些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。,"今年早些时候，桑德斯在州内因油耗尽而行驶时，身处疑点事件中去世。莫萨州警方将其拘留，但未对其提出任何指控。


**Explanation:**

* **""Died under questionable circumstances""** is translated as ""身处疑点事件中去世"" which conveys the sense of uncertainty and suspicion surrounding his death.
* **""Ran out of gas""** is translated as ""油耗尽"" which is a direct and clear translation.
* **""Taken into custody""** is translated as ""拘留"" which accurately reflects the legal action taken by the police.
* **""Without being accused of a crime""** is translated as ""未对其提出任何指控"" which emphasizes the lack of criminal charges against Sanders. 



Let me know if you have any other text you'd like me to translate!"
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,咨询中还指出，密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。,"该建议还引用了密苏里州总检察长办公室最近发布的一份报告，该报告显示，该州的黑人驾驶员被拦查的可能性是白人驾驶员的 75% 高。 


**Explanation:**

* **""Advisory""** is translated as ""建议"" which accurately conveys the meaning of a piece of advice or recommendation.
* **""Points to""** is translated as ""引用"" which means to cite or refer to something.
* **""Report by the Missouri Attorney General's Office""** is translated as ""密苏里州总检察长办公室最近发布的一份报告"" which is a literal translation that maintains clarity.
* **""Black drivers""** and **""white drivers""** are translated as ""黑人驾驶员"" and ""白人驾驶员"" respectively.
* **""Were 75 percent more likely to be pulled over""** is translated as ""被拦查的可能性是...的 75% 高"" which accurately conveys the statistical comparison. 



This translation prioritizes accuracy and fluency while maintaining the original meaning and tone of the text."
"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”,"Chapel 说：“这份建议是为了让大家提高警惕，并提醒他们的家人、朋友和同事在密苏里州可能发生的事情。” 


**Explanation:**

* **""The advisory is for people to be aware""** is translated as “这份建议是为了让大家提高警惕” which conveys the meaning of being watchful and informed.
* **""and warn their families and friends and co-workers""** is translated as “并提醒他们的家人、朋友和同事” which directly translates the action of warning.
* **""of what could happen in Missouri""** is translated as “在密苏里州可能发生的事情” which clarifies the context and subject of the warning. 



Let me know if you have any other text you'd like me to translate!"
