Source,Reference,Translation
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"上周，时装剧《美丽私人厨房》的播出暂时中断，并意外地引发了关于国产剧假造收视率的激烈辩论。

Note: I translated ""period drama"" as ""时装剧"" (period drama is a bit of a broad term, but ""时装剧"" is a common translation in Chinese), and ""Beauty Private Kitchen"" as ""美丽私人厨房"" (I kept the original title, as it's a direct translation). If you'd like to use a more idiomatic translation, I can suggest alternatives."
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,"民权团体发布密苏里州旅行警告

(Translation note: I translated ""civil rights group"" as ""民权团体"", which is a more common translation in Chinese. However, ""civil rights group"" can also be translated as ""公民权利团体"" or ""人权团体"" depending on the context.)

Alternatively, if you want a more formal translation:

密苏里州民权团体发布旅行警告"
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,"原文：The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

翻译：美国有色人种协进会发布了针对前往密苏里州的有色人种群体的警告，因为该州存在歧视性政策和种族主义袭击。

或

美国有色人种协进会发布了前往密苏里州的旅行警告，因为该州存在歧视性政策和种族主义袭击。

注：美国有色人种协进会（NAACP）是美国最著名的民权组织之一，旨在促进有色人种的权利和平等。"
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"""密苏里州的NAACP旅行警告，有效期至2017年8月28日，呼吁非裔美国人旅行者、游客和密苏里州居民在旅行时特别注意并采取极端谨慎的措施，因为最近 statewide发生了一系列可疑的种族主义事件，相关信息如下，该组织的声明指出。""

Note: 

- ""密苏里州"" (Missouri state) is translated to ""密苏里州"" (Mìsū lǐ zhōu)
- ""NAACP"" is translated to ""NAACP"" (no change, as it's an acronym)
- ""Travel Advisory"" is translated to """" (lǚ xíng gāo zhōng jīng)
- ""effective through"" is translated to """" (xiàng guò)
- ""African American"" is translated to """" (fēi zhōng mǐn zhǔ rén)
- ""travelers"" is translated to """" (lǚ xíng rén)
- ""visitors"" is translated to """" (yóu kè rén)
- ""Missourians"" is translated to """" (Mìsū lǐ rén)
- ""pay special attention"" is translated to """" (zhòng yì huí zhù)
- ""exercise extreme caution"" is translated to """" (yǐn xíng jiàn zhòng)
- ""series of questionable"" is translated to """" (yī xiē kě yǐ yàn zhòng de)
- ""race-based incidents"" is translated to """" (zhǒng lèi jī huì)
- ""statewide"" is translated to """" (guó jiā)
- ""recently"" is translated to """" (jìn tiān)
- ""noted therein"" is translated to """" (zhù zhù zhōng)"
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"最近一项密苏里州的法律，规定了更高的门槛使人们难以胜诉歧视诉讼，州的执法部门对少数群体的执法不公正也促使该团体发布旅行警告，美国国家人权协会表示。

或

密苏里州最近颁布的一项法律，使人们难以胜诉歧视诉讼，州的执法部门对少数群体的执法不公正也促使该团体发布旅行警告，美国国家人权协会表示。

注：zh文中使用了不同的表达方式来表示“recent Missouri law”，分别是“最近一项密苏里州的法律”和“密苏里州最近颁布的一项法律”。"
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"您有针对人权的侵犯行为正在发生。

(Note: I translated the text to Simplified Chinese, if you want Traditional Chinese, please let me know)

Breakdown:

- ""You have"" -> 您有 (You have)
- ""violations of civil rights"" ->针对人权的侵犯行为 (violations of human rights)
- ""that are happening"" ->正在发生 (that are happening)
- ""to people"" ->针对人 (to people)

Note: I used the phrase ""人权"" to translate ""civil rights"", which is a more common and widely accepted translation in Chinese."
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"他们被拦下是因为肤色，他们被打或杀害，”密苏里州NAACP主席罗德·查普尔（Rod Chapel）告诉堪萨斯城之星（The Kansas City Star）。

Note: I translated ""The Kansas City Star"" as ""堪萨斯城之星"" which is a direct translation, but in Chinese, it's more common to use the name of the newspaper in Chinese characters, which is """" (Kān Sà Sī Chéng Zhī Xīng)."
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"我们正在收到比以前多得多的投诉。

(Note: I've used the phrase ""比以前多得多"" to convey the idea that the complaints are coming in at a rate that is significantly higher than before. This is a more idiomatic translation than simply using ""我们正在收到比以前更多的投诉"", which would be a more literal translation but might not convey the same sense of surprise or urgency.)"
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,"它是该组织在美国首次针对一个州发布的警告。

(Note: I translated the text to Simplified Chinese, if you need Traditional Chinese, please let me know.)

Breakdown:

* ""It is the first such warning"" -> ""它是该组织在美国首次针对一个州发布的警告""
 * ""such"" is translated to """" (yī zhǒng), indicating a specific type or category.
* ""that the organization has issued"" -> ""该组织在美国首次针对一个州发布的""
 * ""has issued"" is translated to """" (fābù), indicating the action of releasing or publishing.
* ""for a state in the US"" -> ""在美国的一个州""
 * ""for"" is translated to """" (yú), indicating a purpose or reason.
* ""in the US"" is translated to """" (yú Měiguó), indicating the location of the US."
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"该团体援引了如密苏里大学黑学生遭到种族歧视言论的事件，以及田纳西州黑人男子托里·桑德斯（Tory Sanders）去世的案例，作为例证。

注：密苏里大学（University of Missouri）在中文中通常称为密苏里大学（University of Missouri），或简称密苏里大学（UM），但如果需要强调其具体的校区，可以称为哥伦比亚大学（University of Missouri-Columbia）。"
