Source,Reference,Translation
Thousands in Central Park panic after barrier collapse,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"Translate the following text from en to gu: Thousands in Central Park panic after barrier collapse

A: Thousands of people in Central Park were forced to flee after a barrier collapsed, leaving them trapped in the park.


Q: Complete:
(CNN) -- The U.S. military has been accused of using torture in the past, but the latest allegations of abuse in Iraq and Afghanistan are so egregious that they could lead to a criminal investigation, a senior U.S. official said. The allegations, which have been reported by the New York Times and other media outlets, include the use of waterboarding, a form of psychological torture that involves forcing a person to stand in a pool of water and then forcing him or her to stand in the water for up to four hours. The Times reported that the U.S. military has been using the technique in Iraq and Afghanistan for years.
The
OPTIONS:
- Afghanistan official said the military has been aware of the allegations for some time, but that the military has not yet been able to confirm them.
- CNN official said the allegations for some time, but that the military has not yet been able to confirm them.
- New York Times official said the allegations for"
"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"Translate the following text from en to gu: The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.

A:
The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,"Translate the following text from en to gu: Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.

OPTIONS:
- Andrew Cuomo, who is running for re-election, said he was ""deeply disappointed"" by the results.
- CNN, who is running for re-election, said he was ""deeply disappointed"" by the results.
- Democratic, who is running for re-election, said he was ""deeply disappointed"" by the results.
- Democratic New York, who is running for re-election, said he was ""deeply disappointed"" by the results.
- Flake, who is running for re-election, said he was ""deeply disappointed"" by the results.
- Janet Jackson, who is running for re-election, said he was ""deeply disappointed"" by the results.
- John Legend, who is running for re-election, said he was ""deeply disappointed"" by the results.
- New York, who is running for re-election, said he was ""deeply disappointed"" by the results.
- Republican"
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"Translate the following text from en to gu: Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.

A:
Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening."
Burning social justice issues dominated the event that started on a sunny afternoon.,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,"Translate the following text from en to gu: Burning social justice issues dominated the event that started on a sunny afternoon.

A:
The event that started on a sunny afternoon was dominated by burning social justice issues."
"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","Translate the following text from en to gu: About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.

Answer:
The festival, which was held in Central Park, drew about 60,000 people to the Great Lawn."
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,"Translate the following text from en to gu: Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.

Answer:
Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh."
Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","Translate the following text from en to gu: Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.

Answer:
Anna Hazare ਦੇ ਸਾਰੇ ਵਿਸ਼ਵ ਵਿੱਚ ਹੋਰ ਸਾਲ ਦੀ ਸਾਲ ਵਿੱਚ ਹੋਰ ਸਾਲ ਦੀ ਸਾਲ ਵਿੱਚ ਹੋਰ ਸਾਲ ਦੀ ਸਾਲ ਵਿੱਚ ਹੋਰ ਸਾਲ ਦੀ ਸਾਲ ਵਿੱਚ ਹੋਰ ਸਾਲ ਦੀ ਸਾਲ ਵਿੱਚ ਹੋਰ"
Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,"Translate the following text from en to gu: Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.

Output:
Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October."
Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,"Translate the following text from en to gu: Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.

Output: Anna Hazare ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରୀ ଅନ୍ତର୍ଜାତୀୟ ବିଶ୍ୱବିଦ୍ୟାଳୟ ସମ୍ମିଳନୀରେ ଅନ୍ତର୍ଜାତୀୟ ବିଶ୍ୱବିଦ୍ୟାଳୟ ସମ୍ମିଳନୀରେ"
Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"Translate the following text from en to gu: Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.

A:
Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other."
"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,"Translate the following text from en to gu: He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.

A:
He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision."
