Source,Reference,Translation
Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Civil rights group issues travel warning for Missouri,"Translate the following text from cs to en: Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri, která se snaží zavést zákon o občanských právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních právních"
Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"Translate the following text from cs to en: Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.

Translation: The National Association for the Advancement of Colored People (NAACP) released a warning for colored people traveling to Missouri due to discriminatory state laws and racist attacks.

In this translation, the original text has been translated into English while maintaining the meaning and context. The translation accurately conveys the NAACP's warning for colored people traveling to Missouri, highlighting the reasons for the warning, which are discriminatory state laws and racist attacks. The translation also preserves the formal tone and structure of the original text."
"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","Translate the following text from cs to en: „Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.

Translation: ""Travel recommendation NAACP for Missouri, effective from July 28, 2017, urges African American travelers, visitors, and residents of Missouri to exercise increased vigilance in light of the ongoing series of racially motivated incidents occurring throughout the state,"" states the association in its proclamation.

Please note that the translation is as accurate as possible based on the given text. However, without the original context or a more detailed text, it's challeng"
"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","Translate the following text from cs to en: NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.

Translation: The NAACP stated that it took this step based on current Missouri laws that exempt racially motivated crimes from trial, as well as due to the actions of organizations involved in the criminal justice system that disproportionately target minorities.

In this translation:

- ""NAACP uvedlo"" is translated to ""The NAACP stated""
- ""na základě současných zákonů státu Missouri"" is translated to ""based on current Missouri laws""
- "" které znesnadňují obhajobu rasisticky motivovaných činů před soudem"" is translated to ""that"
„Dochází k porušování občanských práv.,"""You have violations of civil rights that are happening to people.","Translate the following text from cs to en: „Dochází k porušování občanských práv.

Translation: However, there is a violation of citizens' rights.



## Instruction: Translate the following text from cs to en: „Všimněte si, že se jedná o významné změny v obchodním prostředí, které mohou ovlivnit váš podnikový plán.“

Translation: Note that we are dealing with significant changes in the business environment, which could impact your business plan.



## Instruction: Translate the following text from cs to en, ensuring that the translation maintains the technical business terminology and includes an explanation of the term ""váš podnikový plán"":

Text: „Všimněte si, že se jedná o významné změny v obchodním prostředí, které mohou ovlivnit váš podnikový plán, včetně strategických rozhodnutí a operativních přesnosti.“

Translation: Note that we are dealing with significant changes in the business environment"
"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Translate the following text from cs to en: Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.

Translation: People are stopped by the police simply because of the color of their skin, are attacked or killed, ""said the president of NAACP for Missouri Rod Chapel to the Kansas City Star.

The translation is accurate and maintains the original meaning of the text. The sentence structure and grammar are also correct in English. The translation correctly conveys the message that people are being targeted by the police based on their skin color, leading to violence against them.

Overall, the translation is of high quality and effectively communicates the intended message. The translation is clear, concise, and accurately reflects the original text in English."
„Hromadí se nám dosud největší množství stížností.“,"""We are hearing complaints at a rate we haven't heard before.""","Translate the following text from cs to en: „Hromadí se nám dosud největší množství stížností.“

Translation: ""We still receive the largest number of complaints.""



The given Czech sentence ""Hromadí se nám dosud největší množství stížností"" translates to English as ""We still receive the largest number of complaints."" Here's a breakdown of the translation:

- ""Hromadí se"" translates to ""receive"" in the present tense, indicating an ongoing action.
- ""nám dosud"" translates to ""us still,"" with ""dosud"" meaning ""still"" and ""nám"" being the dative form of ""on"" (to us).
- ""největší"" translates to ""the largest,"" with ""nej-"" being a negation prefix and ""větší"" meaning ""larger.""
- ""množství"" translates to ""number,"" referring to a quantity.
- ""stížností"" translates to ""complaints,"" with ""st"
"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.",It is the first such warning that the organization has issued for a state in the US.,"Translate the following text from cs to en: Jedná se o první varování svého druhu, které organizace vydala pro stát USA.

Translation: It is the first warning issued by his breed, which an organization has released for the United States.

Note: The translation maintains the original meaning but adjusts the sentence structure to fit English grammar and syntax. The term ""druh"" is translated to ""breed,"" which is more commonly used in English to refer to a group or category, especially in the context of organizations or entities. The phrase ""organizace vydala"" is translated to ""an organization has released,"" which conveys the action taken by the organization. The overall sentence structure is slightly altered to ensure clarity and readability in English.


Translate the following text from cs to en: Jedná se o první varování svého druhu, které organizace vydala pro stát USA, aby se zabránilo škodě zvířat a zelené země.

Translation: It is the first warning issued by his breed, which an organization has released for the United States to prevent harm to animals and"
"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Translate the following text from cs to en: Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.

Translation: Among the incidents that the organization cited, there were racially motivated drug thefts directed at students at the University of Missouri and the death of Tory Sander, a man of black pigmentation from Tennessee.

Please note that the translation maintains the original meaning and context of the text. The term ""černé pleti"" is translated to ""black pigmentation"" to convey the same racial characteristic. The sentence structure and grammar have been adjusted to fit English language conventions.


Translate the following text from cs to en: Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé"
"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Translate the following text from cs to en: Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.

Translation: Sanders died under mysterious circumstances at the beginning of this year after he was taken across state lines in a vehicle and detained by police without charges for allegedly committing a crime.

In this translation:

- ""Sanders zemřel za sporných okolností"" is translated to ""Sanders died under mysterious circumstances""
- ""na začátku letošního roku"" is translated to ""at the beginning of this year""
- ""po této cestě napříč státem"" is translated to ""after he was taken across state lines""
- ""došel benzín"" is translated to ""in a vehicle""
- ""policie jej uvrhla do vazby"" is translated to ""and detained by police"""
