Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,"Translate the following text from en to kk: Rewriting the Monetary-Policy Script

Translation: 

Rewriting the Monetary-Policy Script"
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Translate the following text from en to kk: MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?

Translation: МУНІЧЬ – Скільки часу великі центральні банки будуть безперервно залежніти на строгальні правила для контролю інфляції та стимулювання зростання?

Please note that the translation provided is a literal translation and may not fully capture the nuances of the original English text. Additionally, Korean language has its own grammatical structure and idiomatic expressions that may not have direct equivalents in English.



Translate the following text from en to kk: MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?

Translation: МУНІЧЬ – Скільки часу великі центральні банки будуть безперервно залежніти на строгальні правила для контролю інфляції та стимулювання зростання?"
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Translate the following text from en to kk: Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.

Translation: 

Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.

(Note: The translation is already in English, but if you meant to translate it into Korean, here it is:)

많은 이점이 있는 유연한 중앙은행 정책을 고려할 때, 중앙은행 관리자들은 유연성을 통해 제공되는 가능성을 눈치채야 해.

Please note that translations can sometimes be nuanced, and it's always good to have a native speaker or a professional translator review the translation for accuracy."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Translate the following text from en to kk: The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.

Translation: 

Monetary policymakers rule of thumb 長期通貨政策者的規則，如果通貨膨脹低於官方目標範圍，短期利率應該設定在一個能刺激消費和投資的水平。

In this translation:

- ""The rule of thumb"" is translated as ""Monetary policymakers rule of thumb""
- ""for monetary policymakers"" is translated as ""長期通貨政策者的""
- ""has long been"" is translated as ""如果""
- ""that if inflation is below official target ranges"" is translated as ""通�"
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Translate the following text from en to kk: This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.

Translation: 이 접근법은 이미 이자율이 또는 근접하게 되면, 중앙은행들은 대규모 자산구매 프로그램을 활성화하여 수요를 자극하는 것을 더 이상 선택지가 되지 않게 했다.

In this translation:

- ""This approach"" is translated to ""이 접근법은""
- ""has meant"" is translated to ""이미 이 방법으로 해석되어""
- ""that once"""
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Translate the following text from en to kk: When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.

Translation: 언제든지 상황이 요구하면, 정책 결정자들은 신통치 않은 신통치 경제 모델의 예약된 스크립트를 자주 따른다.

Please note that the translation may not be perfect due to the complexity and nuances of language. It is always recommended to have a native speaker or a professional translator review the translation for accuracy.



Translate the following text from en to kk: When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.

Translation: 언제든지 상황이 요구하면, 정책 ��"
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Translate the following text from en to kk: But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.

Translation: 그러나 많은 경우에, 그러한 스크립트들은 우리를 오도하게 만들었습니다, 그것들이 돈정책이 예측 가능하고 측정 가능한 수요와 인플레이션에 미치는 영향을 가정하고 있기 때문입니다.

In this translation:

- ""But"" is translated as ""그러나""
- ""in too many cases"" is translated as ""많은 경우에""
- ""those scripts"" is translated as"
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Translate the following text from en to kk: There is plenty of reason to question this assumption.

Translation: 
هناك كثير من السبب للتساؤل عن هذه الاستنتاج.

In this translation:

- ""There is plenty of reason"" is translated to ""هناك كثير من السبب""
- ""to question"" is translated to ""للتساؤل""
- ""this assumption"" is translated to ""هذه الاستنتاج""

The sentence structure and grammar are also maintained in the translation. The subject (""There is plenty of reason"") comes first, followed by the verb (""to question"") and the object (""this assumption""). This is a common structure in both English and Korean.

Note: The Korean language has a different word order than English, but in this case, the sentence structure is still clear and understandable.



Translate the following text from en to kk: Despite the overwhelming evidence, some people still cl"
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Translate the following text from en to kk: For starters, households have not responded to ultra-low interest rates by saving less and spending more.

Instead, they have increased their savings and reduced their spending.


In Korean:

처음부터, 이러한 낮은 이자율로 인해 가정들이 저축을 줄이고 지출을 늘리지 않았다.

대신, 그들은 저축을 늘리고 지출을 줄였다.



Translate the following text from en to kk: For starters, households have not responded to ultra-low interest rates by saving less and spending more.

Instead, they have increased their savings and reduced their spending.


In Korean:

처음부터, 이러한 낮은 이자율로"
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Translate the following text from en to kk: If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.

Translation: 
Если сбережения больше не дают прибыль, люди не смогут себе позволить крупные покупки или платить на пенсию в будущем.

In this translation:
- ""If"" is translated as ""Если""
- ""savings"" is translated as ""сбережения""
- ""no longer yield a return"" is translated as ""больше не дают прибыль""
- ""people"" is translated as ""люди""
- ""can’t afford"" is translated as ""не смогут себе позволить""
- ""big-ticket items"" is translated as ""крупные покупки""
- ""or pay"" is translated as ""или платить""
- ""for retirement down the road"" is translated as ""на пенсию в будущем""

The sentence structure and grammar are also preserved in the translation."
