Source,Reference,Translation
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,Thousands in Central Park panic after barrier collapse,"Translate the following text from gu to en: બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં ક્રેપણીઓ જેવી તરીકે એક શુંતર રેખાવાની વ્યક્તિઓ અને માહિતી દાધારિક શૌચાયામાં આવ્યો છે. આ ઉપયોગ કરવા માટે, ક્રેપણી�"
એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",Translate the following text from gu to en: એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા. જે કાર્યક્રમ અને ઉપયો
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"Translate the following text from gu to en: શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે. જ્યારે દૃષણથી હાલા, મુખ્ય વિશેલિત છે અને જેવી ગયું છે. એન્હાર્ચની ભાગમાં રાખાવામા"
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Burning social justice issues dominated the event that started on a sunny afternoon.,Translate the following text from gu to en: સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું. આ રચારને સામાજિક ન્યાયના પર અનુવાહ જોડા છે જેમાં ગણીઓ સામાજિક ન્યાયના મુદ્દાઓ
"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Translate the following text from gu to en: લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી. આ ખેતી પ્રદર્શન છે તેમને એક �"
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"Translate the following text from gu to en: બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્રીસુઓએ જેમાં આધિયા રહે છે. તૈયોને ચારા ઉપર ફોટરોનો ગ્રીષ્ઠી વિવાસ કરે છે જેમાં સાથેંટ રાજોનો અને તમારીઓ"
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,"Translate the following text from gu to en: મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે. આપણે તેને વિવાદ રૂપણો પર એક ગુંગલાર જેમ છે, અને પૃધ્યાના પર ઉપયોગ ચેશો છે. તેને �"
અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,Translate the following text from gu to en: અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે. જે તેથી માટે ઓછા શોધીના ચાર ખ્યાલી બિંબના ર�
પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,"Translate the following text from gu to en: પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે. તેમાં આવેલી શબ્દો માટે, આખો જગ્યાઓ ભૂફાડા પર એક વૈજિક સૌથી કેવી હોય છે અન"
તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.","Translate the following text from gu to en: તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે. જેમાં મુખ્ય સાથેની વિવાદીએ ગ્રામો ધરાવે છે, જેમાં માર્ચ અને �"
