Source,Reference,Translation
Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Civil rights group issues travel warning for Missouri,"Translate the following text from cs to en: Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri a Kalifornii.

English:

The Civic Rights Movement issued travel advisories for Missouri and California. To properly translate the given Czech text into English, we need to carefully consider each part of the sentence. Here is the step-by-step breakdown:

1. ""Hnutí za občanská práva"" translates to ""The Civic Rights Movement.""
2. ""vydalo"" means ""issued"" or ""released.""
3. ""cestovní výstrahu"" translates to ""travel advisory.""
4. ""pro Missouri a Kalifornii"" means ""for Missouri and California.""

Putting it all together, the English translation would be:

""The Civic Rights Movement issued travel advisories for Missouri and California.""

This translation maintains the meaning and structure of the original Czech sentence while ensuring it reads naturally in English."
Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Translate the following text from cs to en: Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků. [Reuters] The National Association for the Advancement of Colored People (NAACP) issued a warning to people with color who are traveling to Missouri based on discriminatory state laws and racist attacks. [Reuters]
"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","Translate the following text from cs to en: „Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace. „Rozhodnutí je otevřeno pro případné změny,“ dodává NAACP.
The NAACP travel advisories for the state of Missouri, effective August 28, 2017, urge African American travelers, visitors, and residents of Missouri to be extra vigilant during their travels across the state due to a series of controversial racially motivated incidents that are currently occurring throughout the state, ""the association's statement reads. ""The"
"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","Translate the following text from cs to en: NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny. The NAACP stated that it took this step based on current laws in the state of Missouri, which make it difficult to defend racially motivated crimes before a court, as well as due to actions by law enforcement agencies involved in criminal proceedings that disproportionately target minorities.
You are correct. Here is the translation with some minor adjustments for clarity:

The NAACP announced that it took this step based on current Missouri state laws, which make it difficult to defend racially motivated crimes in court, as well as due to actions by law enforcement agencies involved in criminal proceedings that disproportionately target minorities.

This version maintains the original meaning while improving readability."
„Dochází k porušování občanských práv.,"""You have violations of civil rights that are happening to people.","Translate the following text from cs to en: „Dochází k porušování občanských práv. Případem by mohlo být třeba některé záležitosti, jako například představení nebo závazek na zahraničním povolání, kde je nutné jistota o bezpečnosti a bezpečnosti pracovníka.“

English:
""Civil rights are being violated. A case could be, for example, some matters such as representing or a commitment to a foreign job, where it is necessary to ensure the safety and security of the employee."""
"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Translate the following text from cs to en: Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel. To people are being stopped by police only because of the color of their skin, they are被打扰或被攻击，甚至被杀害”，NAACP的密苏里州主席罗德·查普尔对堪萨斯城星报表示。 请注意，这里有一个小错误，原文中提到的是“被打扰”而不是“被打扰或被攻击”。正确的翻译应该是：

“To people are being stopped by police only because of the color of their skin, they are disturbed or attacked, even killed,” said Rod Chapel, president of the NAACP in Missouri for the Kansas City Star.

这样更符合原文的意思。以下是修正后的翻译版本：

""To people are being stopped by police only because of the color of their skin, they are disturbed or attacked, even killed,"" said Rod Chapel, president of the NAACP in Missouri for the Kansas City Star.  (To people are being stopped by police only because of the color of their skin"
„Hromadí se nám dosud největší množství stížností.“,"""We are hearing complaints at a rate we haven't heard before.""","Translate the following text from cs to en: „Hromadí se nám dosud největší množství stížností.“
The English translation of the given Czech text is:

""Hromadí se nám dosud největší množství stížností.""

This sentence means ""So far, the largest number of complaints has come to us"" in English. 

It's worth noting that the word order in Czech can be more flexible than in English, and this sentence could also be translated as:

""So far, we have received the largest number of complaints""

or

""We have so far received the largest number of complaints""

depending on the intended emphasis or context. However, the original sentence structure is correct and commonly used in Czech. 

The phrase ""hromadí se"" (has come to) is a common way to express receiving complaints or issues in Czech, often used in formal contexts like reports or statements about customer service or feedback mechanisms. 

The verb ""se nám dosud"" (so far) indicates that this is an ongoing situation up until now.

So the full meaning is clear in the original sentence, but the most natural-sounding English version"
"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.",It is the first such warning that the organization has issued for a state in the US.,"Translate the following text from cs to en: Jedná se o první varování svého druhu, které organizace vydala pro stát USA. Organizace je založena na 501(c)(3) podle českého práva, což znamená, že její činnost je s ohledem na účel, který byla založena, povolená a podporována zejména ze strany místních a státních zdrojů.
The translation of the given Czech text into English is as follows:

""It is the first of its kind issued by an organization for the United States state. The organization is founded under 501(c)(3) of Czech law, which means that its activities are permitted and supported primarily by local and state sources in line with the purpose it was established for.""

This translation captures the essence of the original statement, including the unique nature of the warning, the organizational structure, and the financial support conditions. 

A few key points:
- The organization is issuing its first of its kind warning to the U.S. government.
- It's a non"
"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Translate the following text from cs to en: Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee. The text provided is already in English, so no translation is necessary. Here's the text for clarity:

""Among the incidents that the organization cited were racially motivated slurs directed at students of African descent at the University of Missouri and the death of Tory Sander, a man of African descent from Tennessee."""
"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Translate the following text from cs to en: Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu. Text translated from Czech to English:

Sanders died under disputed circumstances at the beginning of this year after running out of fuel during a state trip and the police detained him without charges for committing a crime. 

Note that ""Sanders"" in this context is assumed to be referring to Bernie Sanders, a former U.S. Senator and presidential candidate. However, without more context, it could also refer to any other person named Sanders. The rest of the sentence is about the circumstances of his death, which seem to involve him being detained by the police while driving in an unlicensed vehicle."
