Source,Reference,Translation
"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।",হাজরাত শহজাল আন্তর্জাতিক বিমানপথ থেকে প্রেসিডেন্ট এবং তার অনুষদের একটি নিয়মিত ফ্লাইট সিঙ্গাপুর বিমানসংস্থার দ্বারা উড়বে।
"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","সহিদুল হক বলেন, সভায় প্রধানমন্ত্রীর সভায় এই অঞ্চলের শান্তি ও স্থিতি প্রাধানতম দিয়ে উন্নয়নের স্বপ্ন পূরণের কথা জোর দিয়েছেন।"
The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,প্রাথমিক বাচ্ল পেতে হাইকোর্ট বনপ নেতৃতম কমিটির সদস্য মৌদুদ আহমেদ এবং বনপের আইন বিষয়ের সচিব আইনসাউল্লা মিয়া সবচেসে সবোচনা কেসে।
They wished Sheikh Hasina good health and long life.,তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,তারা শেখ হাসিনার সুস্থতা ও দীর্ঘ জীবন জানাপেছিল।
"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","মালিকের মন্তব্য, বিশ্বব্যাংকটি কখনো আমাদের 6.5 শতাংশের চেয়ে বেশি বৃদ্ধি হবে বলা নয়।"
"At the same time, Bangladeshis living there have been asked to remain alert.",একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,এই সময়ে সেখানে বাংলাদেশীরা সতর্ক থাকার অনুরোধ করা হয়েছে।
Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,হাসপিতালের উপদেপু প্রধান চিকিৎসক ড. লক্ষ্মী নারায়ণ মজুমদার এটি নিশ্চিত করেছেন।
Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,বাংলাদেশের বিশ্ব পর্যটন সংস্থার রাষ্ট্রদূত ও স্থায়ী প্রতিনিধি হাসান মাহমুদ খান্ডকার বিমানপথে প্রধানমন্ত্রীর সভাসম্পন্ন করবে।
"Nobody will be allowed to run casino business, Home Minister","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","কাসিনো ব্যবসা চালাতে হবে না, বাড়ি মন্ত্রী।"
Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,ওয়াল্টন বাংলাদেশের প্রথম ও একমাত্র মোবাইল ফোন নির্মিত কোম্পানি যা এই সাফলনা অর্জন করেছে।
