Source,Reference,Translation
"Elections européennes: Objectifs, financement...","Europawahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...

Hier ist eine mögliche Übersetzung des restlichen Textes:

- ""Elections européennes"" könnte auch als ""Europawahlen"" übersetzt werden.
- ""Objectifs"" könnte auch als ""Ziele"" übersetzt werden.
- ""financement"" könnte auch als ""Finanzierung"" übersetzt werden.

Wenn Sie mir den restlichen Text geben, kann ich Ihnen eine vollständige Übersetzung anbieten."
Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","Vier Fragen zur Kandidatur der Liste ""Gelbe Westen"".

Wenn Sie möchten, dass ich die restlichen Fragen übersetze, bitte ich um die Fortsetzung des Textes."
Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden.

Hinweis: ""Gilets jaunes"" ist eine französische Bewegung, die sich durch ihre gelben Westen auszeichnet. In Deutschland wird diese Bewegung oft als ""Gelbwesten"" bezeichnet."
"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"Die Liste besteht heute nur aus 10 Namen, von den ursprünglich vorgesehenen 79.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.","Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Im Gegensatz zu dem, was sie angekündigt haben, sollten die Kandidaten nicht in der Lage sein, sich durch Crowdfunding zu finanzieren.

Hinweis: ""Crowdfunding"" ist ein englischer Begriff, der in vielen Sprachen verwendet wird. In Deutschland wird oft ""Crowdfunding"" oder ""Crowd-Financing"" verwendet, in Österreich und der Schweiz ""Crowdfunding"" oder ""Crowdfunding-Plattformen""."
Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Die Übersetzung des französischen Textes in Deutsch lautet:

Ingrid Levavasseur sollte die Liste ""Gilets Jaunes"" bei den Europawahlen anführen.

Hinweis: ""Gilets Jaunes"" ist ein Begriff, der in Deutschland nicht direkt übersetzt werden kann. Es handelt sich um eine Bewegung, die sich für soziale Gerechtigkeit und gegen die Ungleichheit einsetzt. Der Name ""Gilets Jaunes"" bezieht sich auf die gelben Sicherheitswesten, die die Demonstranten trugen. In Deutschland wird die Bewegung oft als ""Gelbe Westen"" oder ""Gelbe Jacken"" bezeichnet."
De la rue aux urnes.,Von der Straße zu den Urnen.,"Die Straße in die Wahlurne.

(Note: This is a common French expression, often used to describe the transition from the streets (where protests or demonstrations take place) to the ballot boxes, where people exercise their right to vote.)"
Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Die ""Gelbwesten"" haben sich am Mittwoch bekannt gegeben, dass sie sich für die Europawahlen stellen werden."
"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","Übersetzung:

In einer Erklärung verbreitet der ""Bürgerinitiativ-Bündnis"" (RIC) einen embryonalen Kandidatenliste mit zehn Namen.

Hinweis: ""Ralliement d'initiative citoyenne"" ist ein französischer Begriff, der nicht direkt übersetzt werden kann. Ein möglicher Ansatz wäre ""Bürgerinitiativ-Bündnis"" oder ""Bürgerinitiative-Allianz""."
"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","Über ihnen: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Normandie, die eine der Figuren des Bewegungs ist.

Hinweis: ""A leur tête"" bedeutet wörtlich ""auf ihrem Kopf"", aber in diesem Kontext bedeutet es ""an der Spitze"" oder ""an der Führung"". Die Übersetzung ""Über ihnen"" ist eine mögliche Alternative, aber ""An der Spitze"" oder ""An der Führung"" wäre eine genauere Übersetzung."
20 Minutes revient sur les questions que pose cette candidature.,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","20 Minuten geht auf die Fragen ein, die diese Kandidatur aufwirft.

Hinweis: ""20 Minutes"" ist ein Schweizer Nachrichtenmagazin und wird in Deutschland als ""20 Minuten"" bezeichnet, während es in Frankreich als ""20 Minutes"" bezeichnet wird."
Pourquoi se lancer aux européennes?,Warum sollte man an der Europa-Wahl teilnehmen?,"Warum sich den Europawahlen stellen?

Hinweis: ""Europawahlen"" ist die deutsche Übersetzung für ""européennes""."
"Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.","Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.","Hier ist die Übersetzung ins Deutsche:

In seinem Kommuniqué stellt sich der RIC, der den Akronym des ""Bürgerbezugsreferendum"" übernimmt, das von einigen ""Gelbwesten"" verteidigt wird, als ""eine Koordination aus verschiedenen Initiativen"" des Protestbewegung dar.

Hinweis: ""Gelbwesten"" ist eine direkte Übersetzung von ""gilets jaunes"", die sich auf die Protestbewegung in Frankreich bezieht, bei der Demonstranten Gelbwesten trugen."
"Pourquoi ces manifestants se lancent-ils en politique? Le mouvement fait « apparaître la nécessité de transformer la colère en un projet politique humain, capable d’apporter des réponses aux Français qui soutiennent le mouvement des ""gilets jaunes"" depuis des mois », disent-ils.","Warum wollen diese Demonstranten in die Politik? Sie sagen, ihre Bewegung habe gezeigt, dass es notwendig ist, die Wut in eine Politik für die Menschen umzuwandeln, die jenen Franzosen, welche die Gelbwesten seit Monaten unterstützen, Antworten geben kann.","Warum werfen sich diese Demonstranten in die Politik? Der Bewegung zufolge ""zeigt sich die Notwendigkeit, die Wut in ein menschliches politisches Projekt zu verwandeln, das in der Lage ist, Antworten auf die Franzosen zu geben, die den ""Gelbwesten""-Bewegung seit Monaten unterstützen"", sagen sie.

Hinweis: ""Gilets jaunes"" wird in der deutschen Übersetzung oft als ""Gelbwesten"" bezeichnet, da ""Gilet jaune"" wörtlich ""gelbe Weste"" bedeutet."
"« Nous, citoyens français, ne voulons plus subir les décisions des instances européennes et les diktats des castes de financiers et de technocrates, qui ont oublié le principal: l’humain, la solidarité et la planète », écrit le RIC, affirmant que ses éventuels eurodéputés auront « avant tout, la mission de porte-parole des citoyens qui seront consultés tout au long du mandat ».","""Wir als französische Bürger wollen nicht länger die Entscheidungen der europäischen Behörden und die Diktate der Finanz-Elite und der Bürokraten hinnehmen, die das Wichtigste vergessen haben: Den Menschen, die Solidarität und unseren Planeten"", schreibt der RIC. Mögliche Abgeordnete sollten ""vor allem ein Sprachrohr der Bürger sein, an die sich die Wähler während der gesamten Wahlperiode wenden können"".","""Wir, französische Bürger, wollen nicht mehr den Entscheidungen der europäischen Institutionen und den Diktaten der Finanz- und Technokratencasten ausgesetzt sein, die das Wichtigste vergessen haben: den Menschen, die Solidarität und die Erde"", schreibt der RIC, behauptend, dass seine möglichen EU-Abgeordneten ""vor allem die Mission haben, die Stimmen der Bürger zu vertreten, die während der gesamten Amtszeit konsultiert werden"".

Oder in einer anderen Übersetzung:

""Wir, französische Bürger, wollen nicht länger den Entscheidungen der europäischen Institutionen und den Diktaten der Finanz- und Technokratencasten ausgesetzt sein, die das Wichtigste vergessen haben: den Menschen, die Solidarität und die Erde"", schreibt der RIC, betont, dass seine möglichen EU-Abgeordneten ""vor allem die Aufgabe haben, die Stimmen der Bürger zu vertreten, die während der gesamten Amtszeit konsultiert werden""."
Qui pour composer la liste? Seuls 10 noms ont pour le moment été dévoilés.,Wer soll die Liste aufstellen? Bis jetzt wurden nur 10 Namen bekannt gegeben.,"Übersetzung:

Wer wird die Liste zusammenstellen? Bislang sind nur 10 Namen bekannt.

Hinweis: Die Übersetzung ist sehr direkt und könnte je nach Kontext und Stil leicht angepasst werden."
"Les candidats ont entre 29 et 53 ans, avec des professions variées (chef de petite entreprise, cariste, juriste, mère au foyer ou encore fonctionnaire).","Die Kandidaten sind zwischen 29 und 53 Jahre alt und kommen aus verschiedenen Berufsgruppen (Kleinunternehmer, Busfahrer, Juristen, Hausfrauen oder Beamte).","Die Kandidaten haben zwischen 29 und 53 Jahren, mit verschiedenen Berufen (Unternehmer, Künstler, Jurist, Hausfrau oder noch Beamter).

Hinweis: 
- ""mère au foyer"" wird in der Übersetzung als ""Hausfrau"" wiedergegeben, da ""Hausfrau"" in diesem Kontext eine passende Übersetzung ist. 
- ""fournisseur"" wird in der Übersetzung als ""Beamter"" wiedergegeben, da ""Beamter"" in diesem Kontext eine passende Übersetzung ist."
Reste à trouver les 69 autres candidats pour compléter la liste.,"Um die Liste zu vervollständigen, müssen noch 69 weitere Kandidaten gefunden werden.","Es bleibt noch zu finden, die 69 anderen Kandidaten, um die Liste zu vervollständigen.

Alternativ:
Es müssen noch 69 weitere Kandidaten gefunden werden, um die Liste zu vervollständigen.

Beide Übersetzungen sind korrekt, aber die erste Option ist vielleicht ein bisschen direkter und einfacher."
"« On pourrait très bien avoir 79 candidats dès aujourd’hui, mais on a choisi d’ouvrir au participatif. Il y aura une votation interne entre les candidats actuels pour désigner les autres places », a assuré à l’AFP Hayk Shahinyan.","""Wir könnten schon heute 79 Kandidaten haben, aber wir haben beschlossen, unsere Mitglieder darüber abstimmen zu lassen. Es wird eine interne Abstimmung unter den derzeitigen Kandidaten geben, um die verbleibenden Listenplätze zu besetzen "", versicherte AFP-ler Hayk Shahinyan.","""Man könnte sehr gut bereits heute 79 Kandidaten haben, aber wir haben beschlossen, das Teilnahmefähige zu öffnen. Es wird eine interne Abstimmung zwischen den aktuellen Kandidaten geben, um die anderen Plätze zu besetzen"", sagte Hayk Shahinyan der AFP.

Hinweis: Ich habe versucht, den Text so genau wie möglich zu übersetzen. Es ist jedoch möglich, dass es kleine Nuancen gibt, die bei einer direkten Übersetzung verloren gehen."
Cet appel à candidatures doit être ouvert « à tous les citoyens ».,"Dieser Bewerbungsaufruf soll ""für alle Bürger"" offen sein.","Die Stellenausschreibung muss offen für ""alle Bürger"" sein.

Hinweis: Eine bessere Übersetzung wäre:
Die Stellenausschreibung muss offen für ""alle Staatsbürger"" sein.

""Alle Bürger"" ist eine etwas ungenaue Übersetzung, da ""bürgerlich"" in Deutschland oft mit ""bürgerlich"" im Sinne von ""bürgerlich"" (im Gegensatz zu ""aristokratisch"") übersetzt wird. In diesem Kontext ist jedoch ""Staatsbürger"" die richtige Übersetzung."
Comment cette liste a-t-elle été accueillie?,Wie wurde diese Liste angenommen?,"Die Übersetzung des französischen Textes lautet:

 Wie wurde diese Liste aufgenommen?"
"Le porte-parole du gouvernement, Benjamin Griveaux, a estimé ce jeudi qu’il s’agissait d’un « processus intéressant ».","Regierungssprecher Benjamin Griveaux erklärte am Donnerstag, das sei ein ""interessanter Vorgang"".","Der Regierungssprecher, Benjamin Griveaux, hat am Donnerstag angegeben, dass es sich um einen ""interessanten Prozess"" handelte.

Hinweis: 
- ""Le porte-parole du gouvernement"" wird mit ""Der Regierungssprecher"" übersetzt.
- ""Benjamin Griveaux"" bleibt im Original, da es sich um einen Namen handelt.
- ""ce jeudi"" wird mit ""am Donnerstag"" übersetzt.
- ""estimé"" wird mit ""angegeben"" übersetzt.
- ""qu'il s'agissait d'un"" wird mit ""dass es sich um einen"" übersetzt.
- ""processus intéressant"" wird mit ""interessanten Prozess"" übersetzt."
"Les chefs de file des sénateurs et députés LR, Bruno Retailleau et Christian Jacob, ont aussi salué « une bonne initiative ».","Die Fraktionsvorsitzenden der Republikaner im Senat und in der Abgeordnetenkammer, Bruno Retailleau und Christian Jacob, begrüßten ""die gute Initiative"" ebenfalls.","Die Vorsitzenden der Senatoren und Abgeordneten der LR, Bruno Retailleau und Christian Jacob, haben auch eine ""gute Initiative"" gelobt.

Hinweis: 
- LR ist die Abkürzung für Les Républicains, eine französische politische Partei.
- Eine bessere Übersetzung wäre ""Die Vorsitzenden der Senatoren und Abgeordneten der Républicains, Bruno Retailleau und Christian Jacob, haben auch eine 'gute Initiative' gelobt."""
"Moins d’enthousiasme pour Marine Le Pen, qui a mis en garde sur Cnews contre une éventuelle récupération, évoquant le passage de Hayk Shahinyan au MJS socialiste il y a huit ans.","Weniger Begeisterung zeigte Marine Le Pen, die auf Cnews an den Übertritt von Hayk Shahinyan zur Sozialistischen Jugend (MJS) vor acht Jahren erinnerte und vor einer möglichen Instrumentalisierung von außen warnte.","Mehrere Enthusiasmus für Marine Le Pen, die sich auf Cnews vor einer möglichen Annäherung gewarnt hat, indem sie sich auf den Wechsel von Hayk Shahinyan zum sozialistischen MJS acht Jahre zurück verwies.

Hinweis: Die Übersetzung ist möglich, aber die ursprüngliche Übersetzung ist nicht ganz korrekt. Die korrekte Übersetzung lautet:

 Weniger Enthusiasmus für Marine Le Pen, die sich auf Cnews vor einer möglichen Annäherung gewarnt hat, indem sie sich auf den Wechsel von Hayk Shahinyan zum sozialistischen MJS acht Jahre zurück verwies.

Die korrekte Übersetzung von ""Moins d'enthousiasme"" ist ""weniger Enthusiasmus""."
