Source,Reference,Translation
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,Thousands in Central Park panic after barrier collapse,"Translation: 

After the barricade was broken, thousands of people went into chaos in Central Park"
એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","Thousands of people were put in a difficult situation due to the disruption of a police barricade at a political event, fearing possible gunshots at Central Park."
ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics.

However, the original Gujarati text seems to be a bit different from the translation provided. Here's a more accurate translation:

The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics.

Here's a more detailed translation of the original Gujarati text:

The prominent figures of the Democratic New York government, Andrew Cuomo and Janet Jackson, were invited by the Republican Senator Jeff Flake and John Legend to be a part of the nation's difficult politics."
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"On Saturday evening, after the Beriyaar (a type of storm surge) subsided, the authorities assured the crowd that they are safe."
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Burning social justice issues dominated the event that started on a sunny afternoon.,Social justice issues took center stage on the scorching hot afternoon of the incident.
"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","Approximately 60,000 people turned Great Lawn into a sea of Global Citizens Festival, where Cardi B, The Weeknd and other pop stars were also expected to perform."
કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,Some speakers have asked their Congress members to attend the Senate hearing this week to respond to the nomination of Brett Kavanaugh to the Supreme Court.
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"Translation:

Anna Hazare will go on a hunger strike from second October, wrote a letter to PM Modi.

Note: This translation is based on the given Gujarati text. However, the original text might be a news headline or a short article, so the translation might not be a complete or detailed translation of the original text."
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,Maharashtra: Social activist Anna Hazare has announced a hunger strike from second October.
અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,Anna Hazare said that the government led by the Prime Minister is being attacked for the reason that the central government's power has come in due to the Lokpal movement.
