Source,Reference,Translation
"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four maps that will change your view of the city,"Munich 1856: Four Cards that Will Change Your View of the City

(Note: The German text is referring to four specific cards or documents from the year 1856 that will change the way you see the city of Munich. The English translation assumes that the four items being referred to are cards in the sense of collectible or historical items, but the exact nature of the items is not specified in the original text.)"
"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","A mental asylum, where today young people are said to meet.","A mental institution, where young people are supposed to meet today.

Note: The word ""Irren-Anstalt"" is an old-fashioned and somewhat stigmatizing term for a mental institution. A more modern and neutral term would be ""Psychiatrische Klinik"" or ""Einrichtung für psychische Gesundheit""."
"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A crypt chapel, where they are now digging tunnels for the S-Bahn.","A burial chapel, where now a tunnel for the S-Bahn is being dug."
Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Allotment holders cultivate the soil of former farmers.,Allotment gardeners cultivate what was once the land of farmers.
Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings captivating stories to light.,The oldest official map of Munich brings exciting stories to light.
"Es nervt, wenn Landkarten nicht aktuell sind.",It is annoying when geographical maps are not up-to-date.,It's annoying when maps are not up-to-date.
"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Everyone knows this feeling, when you get upset because the car navigation system shows a grassy meadow instead of a bypass road."
"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","The historical maps of the digital Bavaria-Atlas, an offering of the Geoportal Bavaria of the State Government, are anything but up-to-date - but precisely for this reason, they are very revealing."
Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,Especially when one compares them with current online maps.,"Especially when compared to current online maps.

Note: The German pronoun ""man"" is often used to refer to people in general, so I have translated it as ""one"" in this context, but it can also be translated as ""you"" or ""people"" depending on the context."
"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Then, it becomes clear how cities and communities in the distribution area of the Munich Mercury have changed since the 19th century."
"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,The digital Bavaria atlas is a patchwork quilt that is not immediately recognizable as such.
"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","Detailed maps known as ""Urpositionblätter"" for cities and municipalities were integrated into the comprehensive overview map."
Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",These were created according to the Bavarian Surveying Administration between 1810 and 1864 and originate from the first survey of Bavaria.
Ihr Auftraggeber: Napoleon.,Their commissioner: Napoleon.,Your client: Napoleon.
Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.,"The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.",The French military leader occupied Bavaria since spring 1800 during the Second Coalition War with Austria.
