Source,Reference,Translation
"Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","President of Russia Vladimir Putin has signed a law introducing administrative liability for violation of the terms and procedure for paying for goods (works, services) when carrying out purchases for state and municipal needs."
Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,This law is intended to address a very acute problem of non-compliance with their obligations by customers in the implementation of state and municipal procurements.
"Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Two years ago, the situation where entrepreneurs were unable to receive payment for already fulfilled state and municipal contracts was widespread."
Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.","Likewise, the President of Russia gave a order to the General Prosecutor's Office of the Russian Federation to take the problem under special control."
"Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Because businessmen themselves were unable to deal with dishonest customers who entered into contracts not backed by financing, tried in every way to evade their payment obligations, and included illegal conditions in the contracts."
Проблема была системной в целом в стране.,The problem was systemic throughout the entire country.,The problem was systemic throughout the country.
"С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","Since 2015, in the interests of protecting the rights of entrepreneurs to receive payment for public contracts, the prosecutor's office has submitted 9.7 thousand representations. As a result of their consideration, 4.5 thousand officials have been brought to disciplinary responsibility, 533 to administrative responsibility, 75 materials have been submitted to investigative bodies for organizational procedural checks, and criminal cases have been initiated based on 46 of them."
В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.","As a result, the debt to entrepreneurs was paid off in the amount of more than 66 billion rubles."
Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.","Moreover, these enormous sums did not accumulate as a result of the non-payment of multibillion-dollar contracts."
"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,Numerous and systematic delays in paying services to entrepreneurs have led to astronomical debts.
Вот характерный случай.,Here is a typical case.,Here is a typical case.
Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,The head of a small company won a tender for the provision of social transport services worth several million rubles.,The head of a small company has won a tender for providing social transportation services worth several million rubles.
"Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.","The person invested all their working capital, fully fulfilled their obligations, but did not receive the money on time."
"Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.","The result is a growing financial bubble of salary debts, taxes, and credits, which would lead to bankruptcy if the entrepreneur had not turned to the prosecutor's office for help."
Сейчас в ряде регионов проблему удалось максимально нивелировать.,"Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.","Currently, the problem has been managed to maximally level out in a number of regions."
"Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles.","Nevertheless, as of the first half of 2017, the total volume of debt on state and municipal contracts, revealed by prosecutors of the subjects of the Russian Federation, amounted to approximately 27.4 billion rubles."
"В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management.","In regions where indicators of debt continue to reach critical values, the prosecutor's office is operating in manual anti-crisis management mode."
"Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification.","The Prosecutor General personally conducts on-site meetings with representatives of local authorities, during which prosecutors' discovered violations are specifically examined and measures for their immediate elimination are discussed."
Такие оперативные совещания в этом году уже прошли в Ярославле и Екатеринбурге.,"This year, these types of briefing sessions have already taken place in Yaroslavl and Yekaterinburg.",Such operational meetings have already taken place in Yaroslavl and Ekaterinburg this year.
"Качественно улучшить платежную дисциплину публичных заказчиков сможет реализация Федерального закона № 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для обеспечения государственных и муниципальных нужд"", который на прошлой неделе подписал президент России.","The realization of Federal Law No. 189-FZ “On amending the Code of the Russian Federation on Administrative Offences in terms of establishing administrative liability for officials of a customer for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs”, which was signed by the Russian president last week, will qualitatively improve the payment discipline of public sector customers.","The payment discipline of public customers can be significantly improved through the implementation of Federal Law No. 189-FZ ""On Amendments to the Russian Federation Code of Administrative Offenses in Part Establishing Administrative Liability of the Customer's Officials for Violation of the Terms and Procedure for Payment for Goods (Works, Services) during Procurement for State and Municipal Needs,"" which was signed by the President of Russia last week."
Проект закона был разработан Минэкономразвития России по инициативе Генпрокуратуры.,The Ministry of Economic Development and Trade of the Russian Federation developed the bill at the request of the Office of the Prosecutor General.,The draft law was developed by the Ministry of Economic Development of Russia upon the initiative of the Prosecutor General's Office.
"Новый закон дополнит Кодекс Российской Федерации об административных правонарушениях статьей, которая предусматривает штраф от 30 тыс. до 50 тыс. рублей за нарушение должностным лицом заказчика срока и порядка оплаты товаров, работ и услуг при государственных и муниципальных закупках.","The new law will add an article to the Code of the Russian Federation on Administrative Offences, which stipulates a penalty of between 30,000 and 50,000 rubles for violation of the deadline and procedures for payment of goods, works, or services as part of state and municipal procurements by an official of a customer.","The new law will supplement the Russian Federal Code of Administrative Offenses with an article that provides for a fine of 30,000 to 50,000 rubles for a violation by a customer's official of the terms and procedure for paying for goods, works, and services during state and municipal procurements."
"А если должностное лицо уже подвергалось административному наказанию за аналогичное правонарушение, то его ждет дисквалификация на срок от одного года до двух лет.","However, if the official has already been subject to administrative punishment for a similar offense, then they will be suspended for a period of between one to two years.","And if a person in charge has already been subjected to administrative punishment for a similar offense, they are facing disqualification for a period of one to two years."
Все прокуроры субъектов Российской Федерации уже получили поручение обеспечить применение этих законодательных новелл на практике.,All the prosecutors for the constituent entities of the Russian Federation have already received instructions to enforce the application of these legislative innovations in practice.,All prosecutors of the subjects of the Russian Federation have already received instructions to ensure the implementation of these legislative innovations in practice.
Группа защиты гражданских прав объявила предупреждение по передвижению в Миссури,Civil rights group issues travel warning for Missouri,"Civil rights protection group issued a warning regarding travel in Missouri.

(Note: This is a literal translation of the given Russian text. However, to make it sound more natural in English, it could be rephrased as: ""A civil rights protection group has issued a travel advisory for Missouri."")"
"Национальная ассоциация содействия прогрессу цветного населения опубликовала предупреждение для цветных людей, путешествующих в Миссури, из-за дискриминационной политики штата и нападений на расистской почве.",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,The National Association for the Advancement of Colored People has issued a warning to people of color traveling in Missouri due to the state's discriminatory policies and racially motivated attacks.
"Заявление группы звучит так: «Предупреждение для путешествующих Национальной ассоциации содействия прогрессу цветного населения, действительное до 28 августа 2017 года, призывает афроамериканских путешествующих, гостей и граждан штата Миссури быть особенно внимательными и проявлять повышенную осторожность при путешествиях по штату в связи с рядом сомнительных происшествий на расистской почве, недавно имевших место по всей территории штата и приведённых здесь».","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","The statement of the group sounds as follows: ""A warning to travelers of the National Association for the Advancement of Colored People, valid until August 28, 2017, calls on African American travelers, guests, and citizens of the state of Missouri to be especially vigilant and exercise increased caution when traveling in the state due to a number of questionable incidents with a racist motive, which have recently occurred throughout the state and are listed here."""
"По словам Национальной ассоциации содействия прогрессу цветного населения, объявить предупреждение по передвижению группу побудил недавно принятый в Миссури закон, из-за которого людям стало труднее выиграть иски, связанные с дискриминацией, а также то, что правоохранительные органы штата непропорционально часто выбирают своими объектами представителей меньшинств.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","According to the National Association for the Advancement of Colored People, the decision to issue a travel advisory for a group was prompted by a recently enacted law in Missouri, which has made it harder for people to win discrimination-related lawsuits, as well as the fact that law enforcement agencies in the state disproportionately target minorities as their subjects."
«У вас люди подвергаются нарушению прав человека.,"""You have violations of civil rights that are happening to people.","""People under your care are experiencing human rights violations."""
"Их останавливают на дорогах из-за цвета кожи, их избивают и убивают», - рассказал газете «Канзас-Сити стар» Род Чэпел, президент Национальной ассоциации содействия прогрессу цветного населения Миссури.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","""They are stopped on the roads because of the color of their skin, they are beaten and killed,"" - Rod Chapel, president of the Missouri State Branch of the NAACP, told the ""Kansas City Star"" newspaper."
"«Мы слышим жалобы часто, как никогда раньше».","""We are hearing complaints at a rate we haven't heard before.""","""We are hearing complaints frequently, more than ever before.""

The Russian text uses the imperfective aspect of the verb ""слышать"" (to hear) and the adverb ""часто"" (frequently), which both indicate that the action of hearing complaints is repeated and ongoing. The phrase ""как никогда раньше"" (more than ever before) adds emphasis to the frequency of the complaints."
"Это – первое предупреждение такого рода, объявленное организацией по отношению к штату США.",It is the first such warning that the organization has issued for a state in the US.,This is the first warning of this kind ever declared by the organization with regard to the US state.
"Группа сослалась на такие инциденты, как унижение чернокожих студентов по расовому признаку в Университете Миссури и смерть двадцативосьмилетнего Тори Сандерса, чернокожего мужчины из Теннесси.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","The group referred to incidents such as the racial humiliation of black students at the University of Missouri and the death of Tori Sanders, a 28-year-old black man from Tennessee."
