LanguagePair | Direction,OLMo-1B-0724-hf,Phi-3.5-mini-instruct,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,gemma-7b-it,gemma2-9b-it,llama-3.1-70b-versatile,llama-3.1-8b-instant,llama-3.2-90b-vision-preview,llama3-groq-70b-8192-tool-use-preview,llama3-groq-8b-8192-tool-use-preview,mixtral-8x7b-32768
bn-en | unspecified,,,,,,0.8582615232467652,0.7812005510926247,0.9126126092672348,0.8691993600130081,0.9126049268245696,0.9017928689718246,0.8548918208479881,0.8556373384594917
cs-en | original,0.4962462820112705,,0.4749452844262123,0.4935868960618972,0.5412415400147438,,,,,,,,
cs-en | reverse,0.4414895257353782,0.3467219963669777,0.3546243673563004,0.3545333483815193,0.3699546262621879,,,,,,,,
cs-en | unspecified,,0.4834850624203682,,,,0.7841657736897468,0.664958908855915,0.8574987208843231,0.8143659037351608,0.8600386536121368,0.8443790152668953,0.7791567635536194,0.7684314227104188
de-en | original,0.5720470795035362,,0.4749435237050056,0.513136237859726,0.5393540880084038,,,,,,,,
de-en | reverse,0.6017097118496895,0.417720610499382,0.3791232630610466,0.3932490907609463,0.3914744004607201,,,,,,,,
de-en | unspecified,,0.6029404002428055,,,,0.8167951768636703,0.719851502776146,0.8637509202957153,0.796118873655796,0.8649754422903061,0.8542128059267998,0.8319935429096222,0.8275497326254845
en-bn | unspecified,,,,,,0.7994608141557135,0.6092030084133149,0.92806465446949,0.8426562601327896,0.9288231015205384,0.9153476651012896,0.8592284581065178,0.4279133731126785
et-en | unspecified,,,,,,0.7074708729982376,0.7374617540836335,0.8803295689821243,0.827360768020153,0.8818056887388229,0.8803661680221557,0.7764490842819214,0.6949258959293365
fi-en | original,0.5916560077667237,,0.4857624444365501,0.5276986403763294,0.543921263217926,,,,,,,,
fi-en | reverse,0.6462189051508903,0.4045577734708786,0.3902120615541935,0.3868783934414386,0.3833518388867378,,,,,,,,
fi-en | unspecified,,0.5438029682636261,,,,0.7834138061319079,0.7286829525232315,0.8758190482854843,0.820784660577774,0.875835189819336,0.8455112531781197,0.7947834488749504,0.7621015229821205
fr-de | original,0.485477028787136,,0.3494637790322303,0.3692399246990681,0.3762129750847816,,,,,,,,
fr-de | reverse,0.4525968137383461,0.5464027756452561,0.3758647425472736,0.3828826792538166,0.4091269421577453,,,,,,,,
fr-de | unspecified,,0.4037427487969398,,,,0.7172512369496482,0.544938369244337,0.7954079684615135,0.5814317777752877,0.7987055706977845,0.772473621070385,0.7101652631163597,0.6600868883728981
gu-en | original,0.5286646714335994,,0.4217629542476253,0.4813330713071321,0.4932539259132586,,,,,,,,
gu-en | reverse,0.4135488028824329,0.3414299243688583,0.3198551119863987,0.3373840579390526,0.355628947019577,,,,,,,,
gu-en | unspecified,,0.4937653776371117,,,,0.8016327038711432,0.7535504719614983,0.8896240067481994,0.8033442527055741,0.8887078607082367,0.8564716601371765,0.7503537249565124,0.7059146842360496
kk-en | original,0.4474961446090178,,0.4410604723174162,0.5118342385147557,0.4432284193809586,,,,,,,,
kk-en | reverse,0.396719259917736,0.2953472685813904,0.301126147955656,0.3191747587919235,0.3022468861937523,,,,,,,,
kk-en | unspecified,,0.4919589000940323,,,,0.7158227371318,0.6748237431049346,0.8524899011850358,0.7175468927621842,0.8506041598320008,0.819980551302433,0.7457794171571731,0.6218956640362739
lt-en | original,0.4946320313215255,,0.4405665311217308,0.4710941100120544,0.479112463593483,,,,,,,,
lt-en | reverse,0.4360328243672848,0.3034636870026588,0.3427954469621181,0.3524505400657653,0.3357874213159084,,,,,,,,
lt-en | unspecified,,0.4624129873514175,,,,0.7260639455914497,0.7121684607863427,0.8392351317405701,0.7661106970906257,0.8397492384910583,0.8124787071347237,0.7396673607826233,0.6973307567834854
ru-en | original,0.5403129567205905,,0.5103735545277596,0.5305275592207909,0.5718268433213234,,,,,,,,
ru-en | reverse,0.4046659034490585,0.4310694098472595,0.3394491375982761,0.3136930958926677,0.375868838429451,,,,,,,,
ru-en | unspecified,,0.5463754749298095,,,,0.816220653779579,0.7559667709469795,0.8526425957679749,0.8127970504760742,0.8515913146734237,0.8477792820334434,0.8117375129461288,0.8131074306368827
tr-en | unspecified,,,,,,0.8235306658528068,0.743080105483532,0.8891105967760086,0.858418687582016,0.8889969468116761,0.8744913828372955,0.8075046095252038,0.8040548178553582
zh-en | original,0.6800794404745102,,0.5570276574790478,0.5609946975111961,0.5874857139587403,,,,,,,,
zh-en | reverse,0.5300956204533577,0.491568586230278,0.4611579830944538,0.4447887922823429,0.5567922785878181,,,,,,,,
zh-en | unspecified,,0.559180298447609,,,,0.8274178068662427,0.7720014226436615,0.8593334949016571,0.835188295841217,0.8589658617973328,0.857561145722866,0.8321554762125015,0.8263794800639153
