source,translation_clean,reference
"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",Munich 1856: Four cards that change your view of the city.,Munich 1856: Four maps that will change your view of the city
"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Answer:
A psychiatric hospital, where young people are to be found today.","A mental asylum, where today young people are said to meet."
"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","Answer:
A group of people, who are now being dug out to build a tunnel for the S-Bahn.","A crypt chapel, where they are now digging tunnels for the S-Bahn."
Kleingärtner bewirtschaften den einstigen Grund von Bauern.,"Answer:
The former farmland is now owned by a farmer.",Allotment holders cultivate the soil of former farmers.
Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,"The B-25 Mitchell was the first American bomber to be designed to carry a heavy bomb load with a single engine.
****",The oldest official map of Munich brings captivating stories to light.
"Es nervt, wenn Landkarten nicht aktuell sind.","Answer:
It is annoying when maps are not up to date.",It is annoying when geographical maps are not up-to-date.
"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.","Answer:
The car is a symbol of freedom, and it is a symbol of the freedom of the people.",Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.
"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Translate this to English?
[A]:
The historical maps of the digital Bayern-Atlases, an offer of the Geoportal Bayern of the State Government, are anything but up-to-date - but that is precisely why they are so informative.","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative."
Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,"Es ist sehr gut, wenn man sie mit aktuellen Online-Karten vergleicht.",Especially when one compares them with current online maps.
"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","translation:
The Münchner Merkur is a newspaper that has been published in Munich since the 19th century.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.
"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.","Answer:
The digital Bayern Atlas is a flip-book that you can't see as such.",The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.
"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","Translate this to English?
[A]:
In the large overview map, detailed maps of cities and municipalities have been added, called position sheets.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets."
