source,translation_clean,reference
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Kamerad Camille Auer haluaa muuttaa sukupuoltaan, hän on sairastunut psykologisesta sairastumisesta ja on nyt tehnyt töitä tämän aiheen käsittelemiseksi – ""Kansalaisilla on oikeus omaan elämänsä"".","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"Kymiä on kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmen",Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.
The name of Camille Auer is written on every one of them.,Camille Auer haa kirjoitettu kaikissa niissä nimiinsä.,Jokaisessa niissä lukee Camille Auerin nimi.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"answer:
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity – and how she has been portrayed in the media.","Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä."
decided on who she is on her behalf.,"Answer:
Decidiamo che chi si è su di lui.",Päättäneet hänen puolestaan kuka hän on.
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","Answer:
""Jokin aion ilmoittaa henkilökohtaisen lääketieteellisen historiallisen asian, jotta voisin korostaa, miten väkivaltaisesti koko prosessi on suoritettu"", sanoo Auer.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo."
"Here, ""process"" refers to her sex reassignment procedure.","Tässä tapauksessa ""prosessi"" tarkoittaa hänen sukupuolisen suuntautumisprosessinsa.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","On kestää monen vuoden kokemuksen, johon kuuluu keskustelut psykologista, psykiatrista, lääkäriä ja asiantuntijoista.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Answer:
Tässä prosessissa käynnistetään suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suor","Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä."
Auer's process started four years ago.,Auerin prosessi alkoi neljän vuoden sitten.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.
