source,translation_clean,reference
"Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","In English?
xxxxx
President of Russia Vladimir Putin signed a law on administrative responsibility for violation of the period and the order of payment of goods (work, services) in the course of procurement for the state and municipal needs.","Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs."
Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,"Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to",This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.
"Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to you by Lyrics-K","Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread."
Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,"Could you please translate this to English?
Answer:
We tried to make lyrics as correct as possible","At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control."
"Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","In English?
xxxxx
Because the businessmen themselves could not cope with the unscrupulous customers who signed contracts without proper financing, they tried to evade their obligations by including illegal clauses in the contracts.","After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements."
Проблема была системной в целом в стране.,The problem was with the system in the country.,The problem was systemic throughout the entire country.
"С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","In English?
xxxxx
In 2015, 9,7 thousand public orders were submitted to the Prosecutor's Office for payment of public orders, 4,5 thousand public orders were submitted to the disciplinary responsibility of the Prosecutor's Office, 533 administrative bodies were submitted to the investigative","Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them."
В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,The debt owed to the entrepreneurs was paid off in full.,"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid."
Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Translate this to English?
[A]:
The huge sums accumulated far from the result of unpaid billions of contracts.","Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts."
"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Песня The,Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.
Вот характерный случай.,Here's a typical case.,Here is a typical case.
Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,"Translate this to English?
[A]:
The winner of the competition for the provision of social transport services for several million rubles is a small company.",The head of a small company won a tender for the provision of social transport services worth several million rubles.
"Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","Translate this to English?
[A]:
The man invested all his earnings, fulfilled all his obligations, but the money was not collected in time.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due."
"Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","Q: Translate ""The The V","The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance."
Сейчас в ряде регионов проблему удалось максимально нивелировать.,Now in some regions the problem has been minimized.,"Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible."
"Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","In English?
xxxxx
However, as of the first half of 2017, the total amount of debt on state and municipal contracts identified by the Prosecutor General's Office of the Russian Federation amounted to about 27.4 billion rubles.","Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles."
"В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to you by Lyrics-Keeper.""","In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management."
"Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","Q: Translate ""The The Verve Pipe I'm","The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification."
