source,translation_clean,reference
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","This translation preserves the key points about Mika Kallio changing her gender, being diagnosed with a mental illness, making","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"Keskusteltava, että on tarkoitus, että tämän liikenne valitsevat ja että meidän on tietysti siitä, mitä näitä raportteja voivat tarjota. Tällainen vastausta on huomioon, että kaikki oikeudenmukaiset yritykset ovat tähän periaatteeseen käsitellään, ja niin haluaisin sanoa, että se on t",Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.
The name of Camille Auer is written on every one of them.,I love my family and my friends. They,Jokaisessa niissä lukee Camille Auerin nimi.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The report states that Auer's work on the Austronesian migration was based on her research into the genetics of the Austronesian people. She found evidence of genetic similarities between the Austronesians,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä."
decided on who she is on her behalf.,"""decided on who she is on her behalf."" 

Spanish:

Decidido sobre quién es para ella.

German:

Sie entschieden, wer sie ist auf ihrer Stelle. 

Chinese:

她决定确定谁是她的。

Italian:

Si deciso chi è per lei.

Russian:

У меня был определен кто она - на моей стойке.

French:

Elle a décidé de ce qu'elle est.

Hebrew:

הialisah a ha'arayot veshalom ki a le'umah.

Hindi:

के बीच में पर्यटन सुधार किए गए हैं।

Japanese:

彼女は、彼の立場で誰を決めるか決めました。

Korean:

그녀는 그녀의 위치에서 누구를 결정하는지 결정했습니다.

Polish:

Zasugerowano, kto jest jeją.

Portuguese:

E decideu quem ela é pela sua parte.

Russian:",Päättäneet hänen puolestaan kuka hän on.
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","Auer's story is an example of how we can be manipulated by those who are not interested in our well-being, and I think it is important to take responsibility for our own actions. If someone tells us something untrue or doesn't tell us everything, we should always question their motives and try to understand why they did what they did. This way, we can learn from our mistakes and avoid repeating them.
Auer has also written a book called ""The Patient's Guide to Health Care"", which provides information on the different types of healthcare providers and the importance of seeking care when needed. He also advocates for patients' rights to receive information about their health conditions and to have their privacy protected.
In conclusion, Auer's story highlights the importance of taking responsibility for one's actions and being open to questioning motives. It also shows that there is no such thing as perfect medicine, and that everyone deserves access to high-quality healthcare regardless of their financial situation.
Auer's story","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo."
"Here, ""process"" refers to her sex reassignment procedure.","She continued to undergo these surgeries until she became fully reformed. During this time, she learned about the importance of gender identity and began to explore different ways to change her",Prosessilla hän viittaa sukupuolenkorjausprosessiin.
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Finnish:
Tämä on olemassa kertoa kysymyksiin, joka sisältää psykologit, psihiatrittistä, tärkeämpät ja puheenjohtajat. Tietokoneet ovat käytännössä hyvin lähestymistä, jotka sanoisin myös myynti- ja merkittäviä kannalta.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Additionally, there are other resources available in different languages to cater to various needs and preferences of Finnish individuals dealing with gender dys","Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä."
Auer's process started four years ago.,"Auer's process was designed specifically for the treatment of cancer and has been successful in curing many cases of cancer. The process has been used successfully in the treatment of a wide range of diseases including heart disease, diabetes, and kidney failure.
The use of Auer's process can lead to better outcomes for those who are suffering from these serious diseases. In addition, it can provide relief to those who",Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","1. ""Before this"" - Translated as ""Tämä on tarkoitus""
2. ""she had already been using"" - Translated as ""on tarkoitus, että tämän puolesta ovat jopa oikosterminenjärjestelmien käyttöä""
3. ""ordered from the internet"" - Translated as ""ovat jopa oikosterminen",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.
"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.",The translation aims to convey the meaning of the original text while ensuring it remains understandable,"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti."
