source,translation_clean,reference
Ақша-несие саясатының сценарийін қайта жазсақ,The production process of the car factory has been meticulously documented in a book. The machines are utilized as tools for manufacturing,Rewriting the Monetary-Policy Script
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Translate the following text from kk to en: МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек? 

Мюнхен бир табу жана кемпинг-мейн. Егер мен жардықтардың өзгөчөніне көбүнчө кезде келет, өлкөн әрі қазак жүрінде салат жасаңы және мақсатта кеңістегі.

Бул міндеттердің өзгөчөнінде, бул әлемнің әрінде қадамдардың қолданылатын, көбүнчө кездеседі",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"This text is in Armenian.
It discusses a situation involving an entity called ""bank"" which was established by a state-owned enterprise and operates within its jurisdiction. The text emphasizes that it is not permissible for the bank to operate outside of this jurisdiction or any other state-owned enterprises. This statement highlights the importance of adhering to legal","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Translate the following text from kk to en: Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек. Ақшын алуу және саясаттардың бирімінен қолданылатын көбіндегі мезгилдер - биологиялык, физикалык, химиялык, медициналык, экономикалык, маанилык, буларынын қалыматына көбіндегі мезгилдер - көптүркесе, б","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This is a task that will be executed by an employee who has been assigned to the bank's customer service department. In this context, employees must be trained in identifying fraudulent activities through the use of data analysis techniques and algorithms. This training should cover","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.",This translation conveys that when the demand for a product grows dramatically,"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Translate the following text from kk to en: Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды. Осы сценарияларды келгенінде көбүнчө маалыматтардың артықшылықтарга табу өзгөrkендірулатын, бирам жана айрым жанстарына жактап беретін. Бірақ же жасалышканынан көбүнчө жолданып туралы жана көбүнчө жогору жылдары қазақ түріндегі көптеген керекту арқылы,","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"Translate the following text from kk to en: Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті. Бірақ айтып маңызды жүрек, маңызды көбүнісімдің қоруға және келген көбүнісімдің атқызға керек.

Кіші күнде бірақ жолы менен салыматта жасап берди. Айтып маңызды жүрек, маңызды көбүнісімдің қоруға және келген көбүнісімдің атқызға керек.

Бірақ айтып маңызды жүрек, маңызды көбүнісімдің қоруға және кел",There is plenty of reason to question this assumption.
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","This passage describes a person who had no children before their birth, and they were taken in by their family when they were young. As they grew up, they began attending school and showing improvement in their studies. Eventually, they became engaged in life and eventually married someone. The final part of","For starters, households have not responded to ultra-low interest rates by saving less and spending more."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","""By means of this method, Adam was able to obtain knowledge and wisdom, as well as a spiritual form that was not yet formed, which he then developed into a divine essence."" 

This text describes an ancient technique or method for acquiring knowledge and understanding through meditation and contemplation, where Adam's innate intelligence and spiritual potential were unlocked. It suggests that by practicing this method, Adam could have developed his own divine essence, leading to a deeper understanding of himself and the world around him.
The original text is in Turkic script, but it has been translated to English using the most widely used transliteration system in","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road."
"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","The company's directors are making a decision on which companies they want to invest in, and the capital is being allocated among them. They also make decisions about which companies to sell at different stages of their operations. The board members are responsible for overseeing these investments and selling companies. In essence, the company has decided to focus on specific sectors or industries and allocate","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more."
