source,translation_clean,reference
"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi muuttaa itsensä sukupuolen ja hän oli terveydenhuoltoongelman varrella. Tämän seikasta huolimatta hän tulee nyt taiteilijana, jonka aihe on ""Kansalaiset pitäisivät olla vapautteita omaa siihen, että he voivat olla itseään"".","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa"""
Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"Selitys kielenkäsittelyyn:
1. ""Patient reports"" on käännetty ""Päätöslauselmia"", mikä tarkoittaa lääkärin päätöslauselman. Se on monipuolinen termi ja tässä kontekstissa riittää sen alkuperäinen suomi-kielinen sanakirja.
2. ""Project Room gallery"" on kääntyy ""sävyn yli"" ja se viittaa siihen, että näytölt",Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.
The name of Camille Auer is written on every one of them.,"Translate the following text from en to fi: The name of Camille Auer is written on every one of them. Finnish:
Nimenä Camille Auer kirjoitetaan jokaisessa niissä.",Jokaisessa niissä lukee Camille Auerin nimi.
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,Kirjallisuudet viittav,"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä."
decided on who she is on her behalf.,"Note that in Finnish, we often use ""toimialassa"" (in the context of operation or business) instead of just ""toimialalla"" (in the field of operation) because it's more",Päättäneet hänen puolestaan kuka hän on.
"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Auer sanoi: 'Haluan osoittaa omista henkilökohtaisista terveydenhuollon historiaani korostamaan koko menettelyn väsymistä'. Hän saattoi","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo."
"Here, ""process"" refers to her sex reassignment procedure.","Note: I have made some adjustments to better fit Finnish grammar and natural phrasing while preserving the original meaning of the text. The term ""sukupuolen vaihto"" (sex change) is commonly used in Finnish when referring to gender transition, but I've avoided using the exact phrase ""sukupuolen vaihtoprosessi"" as it might be considered too formal or medical-sounding for this context. Instead, I've opted for a more neutral and widely accepted expression, ""sukupuoleen muuttuminen.""
You can use either version depending on your preference and the level of formality you want to achieve in the Finnish text. Both versions are correct and understandable. If you prefer a",Prosessilla hän viittaa sukupuolenkorjausprosessiin.
"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.",Se on monen,"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa."
The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Note that I've translated ""gender identity disorder"" as ""gender identiteetti-kiistayksikössä"" which is a literal translation of the Finnish term ""genderidentiteetikiistayksikön"" (gender identity disorder clinic). If you want a more natural-sounding Finnish phrase, you could use ""genderidentiteetikiistayksikössä","Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä."
Auer's process started four years ago.,"1. ""Started four years ago"" became ""Alko siitä neljän vuoden sitten""
2. ""Pilot plant"" became ""Pilottikenttä""
3. ""In operation for about two years"" became ""Toimien yli kaksitoista vuotta""
4. ""Full-scale",Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.
"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","""Mutta hän oli edelleen miehen, ja se oli",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.
