source,translation_clean,reference
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wants to correct her gender, she was diagnosed with gender dysphoria and now she is making art about the issue - ""People should have the right to their own bodies.""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body"""
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,"In the Project room of the Kuvataideakatemian Gallery, dozens of patient narratives hang from the ceiling.",Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.
Jokaisessa niissä lukee Camille Auerin nimi.,"In all of them, Camille Auerin name reads.",The name of Camille Auer is written on every one of them.
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a multi-year story about how outsiders have written their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –
Päättäneet hänen puolestaan kuka hän on.,They have decided who he is in relation to her.,decided on who she is on her behalf.
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""The process's violence becomes visible when I tell you about the individual patient's medical history,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"In the process, he refers to the gender correction process.","Here, ""process"" refers to her sex reassignment procedure."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process starts with an examination for ""gender identity disorder"", which is conducted in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,The process started four years ago at dawn.,Auer's process started four years ago.
Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Before this, he had already used estrogen through the internet and was otherwise well advanced in their own recovery process.","Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure."
"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","He felt himself to be a woman, but according to Finnish law, one must go through a correction process in order for their legal gender to be corrected.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally."
"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Gender Recognition Act, which aims to affirm the gender identity of transgender individuals (563/2002), compels transgender people to undergo gender confirmation surgery in order to obtain an identity document that corresponds with their gender identity, such as a passport or ID card.","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport."
Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"At present, everyone regardless of gender requires a psychiatrist's diagnosis and proof of impaired cognitive capacity.","Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce."
Ihmiselle kuuluu oikeus päättää omasta kehostaan.,A person has the right to make decisions about their own body.,People should have the right to decide on their own body.
"""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""This situation is appalling and violates human rights,"" Auer said.","""This situation is intolerable and in violation of human rights"", Auer says."
Translain uudistamisesta on puhuttu Suomessa jo pitkään.,"The text is already in English. The translation provided is: ""The issue of translation has been discussed in Finland for a long time.""",Amendments to the Finnish trans act have been on the table for long.
"YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The Human Rights Council has issued eight recommendations, and the European Human Rights Court has issued a preliminary ruling that binds the parties to the European Human Rights Treaty to uphold the right of self-determination.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination."
Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,"The previous government of Finland prepared a bill to amend the Social Welfare and Health Act under the leadership of then Minister of Social Affairs and Health, Susanne Huovis.","The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health."
Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,The Finns voted and the Finns were elected to power.,"After the following elections, the Finns Party received seats in the Government."
Nyt lakimuutos on jälleen jumissa.,"The translation of the Finnish text to English is:

""Now the lawsuit is back in court.""","Now, the amendments are again at a standstill"
"Kyse on sisäpoliittisista riidoista, jotka eivät edes liity tähän kyseiseen lakiin.","The sentence translates to:

**Internal political conflicts that have no connection to this particular bill are in question.**",due to internal disagreements that are not even related to this particular act.
