source,translation_clean,reference
Ақша-несие саясатының сценарийін қайта жазсақ,"The provided text is in Kazakh and it translates to:

**""Scenario of the monetary policy has been revised.""**",Rewriting the Monetary-Policy Script
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Münxhen – älemniñ eñ iri ortalıq bankterisi inflyasionny auzısdıqtaп, ösimdi ұлғайtu üшін qazaanğı kattañ eresegerlerge süyene bermek?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,Central banks across the globe are increasingly recognizing the importance of financial inclusion in their monetary policy frameworks.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The established tradition of those who create monetary policy - if inflation deviates from the official range and remains low for a short period, short-term interest rates should be adjusted to stimulate spending on consumer goods and investments.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The peculiarity of this proposal is that, besides other measures, it provides for the acquisition of active assets to increase the demand for central bank bills when short-term interest rates are low.","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If market conditions deteriorate, political decision-makers have announced the issuance of default scenarios based on the new Kekeys economic model.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","In times of high inflation and economic instability, these scenarios made us think about the inadequacy of our monetary and credit policies. We believe that inflation and currency devaluation pose a significant threat to our economy.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,The reasons why this proposal was rejected are significant.,There is plenty of reason to question this assumption.
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Even though the family members have a low income, they save money and do not spend it carelessly.","For starters, households have not responded to ultra-low interest rates by saving less and spending more."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If a person does not have income, they cannot afford to buy expensive goods. Even later, when they have a family to support, they cannot afford to spend money on luxury items.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road."
