source,translation_clean,reference
Tūkstantinės minios panika Centriniame parke griuvus barjerui,The panic of tourists arose in Central Park near the rocky barrier.,Thousands in Central Park panic after barrier collapse
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","In a panic over potential shootings, several people fled Central Park after police barriers were breached.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","We are aware of the personalities - Democratic Party representative Andrew Cuomo, Republican Senator Jeff Flake, Janeta Jackson, and Johnas Legendas - who have called on viewers to engage in the country's bold politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Tonight at the evening event, the organizers quickly reassured the audience that all necessary measures were taken to ensure their safety.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"During the sunrise, in the emerging dawn chorus, the most frequent conversations revolved around social justice.",Burning social justice issues dominated the event that started on a sunny afternoon.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Around 60,000 spectators gathered at the Great Market Square for the All-Star Music Festival, which was supposed to feature Cardi B, The Weeknd, and other pop stars.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,"When several speakers requested that the audience applaud the representatives of the Congress present and express their opinion on the sessions held this week in the Senate regarding the candidate for the Supreme Court, Brett Kavanaugh.",Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"The provided text is already in English. It reads:

""He did not withdraw from the British Supersport series of pergali races 'Alastairo Seeley'o'.""",Alastair Seeley continues British Supersport winning run at Assen
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,"Alastairas Seeleyis secured a winning position in the ""British Supersports"" race.",Alastair Seeley has continued his winning form in British Supersports
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastairas Seeleyis claimed his third victory in five ""British Supersport"" races, defeating his opponent in the 12-lap sprint held in the Netherlands on Saturday.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","The buoy from Karikfergus was released 0.05 seconds ago and is currently tracking the Yamaha boat, which is steering Jacka Kennedy.",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,"This month, the 38th lap racer also triumphed at Silverstone and Oulton Park.",The 38-year-old also won races at Silverstone and Oulton Park this month.
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley is a test driver for the Šiaurės Airijos team ""EHA Racing"". He has already won the international ""North West 200"" races in May.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.
"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.","The former British champion ran all the laps with Kennedy, but despite all his efforts, he was unable to defeat his rival from Northern Ireland.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.
Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,"Davidas Allinghamas, a close friend of the Seeley’io komandos commander, remained seventh in the ""Supersport"" race held on Saturday.",Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.
Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,"Scottas Swannas finished eighth in the ""British Talent Cup"" race.",Scott Swann was eighth in the British Talent Cup race.
"„Be Wiser Ducati“ vairuojantis Glennas Irwinas, bandantis pakilti aukščiau dabartinės ketvirtos vietos čempionato reitinguose, dviejuose sekmadienio „British Superbike“ lenktynių kvalifikaciniuose važiavimuose buvo ketvirtas.","Glenn Irwin, aboard his Be Wiser Ducati, climbed up to fourth place in the championship standings after finishing fourth in both of the weekend's British Superbike qualifying sessions.",Glenn Irwin was fourth quickest in qualifying for Sunday's two British Superbike races on his Be Wiser Ducati as he aims to improve on his current fourth place in the championship standings.
"Šią savaitę pranešta, kad Irwinas 2019 m. sezoną pereis į komandą „JG Speedfit Kawasaki“.","This week it was announced that Irwinas joined the ""JG Speedfit Kawasaki"" team in the 2019 season.",It was revealed earlier this week that Irwin would switch to the JG Speedfit Kawasaki team for the 2019 season.
"Michaelas Laverty iš Toome, vairuojantis „Tyco BMW“, užėmė 13 vietą, o Andrew Irwinas ir jo „PBM Ducati“ – 14 vietą.","Michaelas Laverty from Toome, driving a ""Tyco BMW"", finished 13th, while Andrew Irwin and his ""PBM Ducati"" finished 14th.",Toomebridge pilot Michael Laverty was 13th on his Tyco BMW and Andrew Irwin 14th on the second of the PBM Ducatis.
Kodėl Honkongo namų darbininkai mokosi šokio judesių?,Why do the workers of Honkongo homes teach shockwave movements?,Why are Hong Kong domestic workers practising their dance moves?
Honkonge namų darbininkais dirba apie 300 000 užsieniečių.,"Approximately 300,000 contract workers are employed in household services in Hong Kong.","Some 300,000 foreign domestic helpers work in Hong Kong."
Jų pagal įstatymus reikalaujama gyventi darbdavių namuose.,"According to the regulations, employees are required to reside in company housing.",They're required by law to live in their employers' home.
"Šie darbuotojai už nedidelį atlygį dirba šešias dienas per savaitę, iki 18 valandų per dieną.","The employees work six days a week, for up to 18 hours per day, for a small salary.","They work six days a week, up to 18 hours a day - for a very small salary."
"Šis pasakojimas – apie Mhelanie, kuri vienintelį laisvadienį skiria bendruomenės renginiams, padedantiems atsiplėšti nuo izoliuojančios darbo rutinos.","This story is about Mhelanie, who dedicates her only free day to the community chorus, helping them break free from the isolating work routine.",This is the story of Mhelanie who uses her only day off to take part in community events to escape her isolating work routine.
Spurgų pardavėją Liną Ognissanti pagerbs Bedfordo meras,Linas Ognissanti has been selling spurgas in Bedfordo for a while now.,Doughnut seller Lina Ognissanti to be honoured by Bedford mayor
"Nuotraukoje: Lina Ognissanti šiltuoju metų laiku prekiauja ledais, o žiemą – spurgomis.","In the springtime, Lina Ognissanti's strength prevails over ice, while in winter – with snowflakes.",Image caption Lina Ognissanti sells ice creams in warmer months and doughnuts during the winter
Daugiau nei 40 metų spurgomis ir ledais miesto centre prekiavusi moteris bus pagerbta – jai surengtas privatus mero priėmimas.,"More than 40 years ago, the center of the city was filled with swamps and ice fields. Mother Nature has now compensated for this - private land has been allocated for the development of a new district.",A woman who has sold doughnuts and ice creams in a town centre for more than 40 years is to be honoured with a private mayoral reception.
"Lina Ognissanti, prekiaujanti ledais ir spurgomis kioskelyje „Dinky Donuts“ Bedfordo Midland Road gatvėje, kartu su šeima buvo pakviesta popiečio arbatėlės.","Lina Ognissanti, working at the ""Dinky Donuts"" kiosk on Midland Road in Bedford, was given a papal blessing along with her family.","Lina Ognissanti, who runs Dinky Donuts and an ice cream stall on Midland Road, Bedford, has been invited to afternoon tea, along with her family."
"Beveik 3 000 žmonių internetu pasirašė peticiją siekdami, kad ji būtų apdovanota ar sulauktų pripažinimo.","Around 3,000 people have signed a petition urging that it be recognized or acknowledged in some way.","Almost 3,000 people signed an online petition to get her an award or recognition."
"P. Ognissanti teigė, kad jai garbė sulaukti tokių pagyrų.",May all saints pray that these vows will be fulfilled.,"Mrs Ognissanti said it was an ""honour"" to be thought of so highly."
