source,translation_clean,reference
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,A 28-year-old chef was found dead at the San Francisco Shopping Center.,28-Year-Old Chef Found Dead at San Francisco Mall
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.",A chef who moved to San Francisco recently was found dead in the stairwell of a local store this week. He was 28 years old.,A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","However, the kurban's brother, considering that he might want to harm him, said: ""Things were going well for him in the end.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.","The San Francisco Medical Examiner's Office announced that a body found at Westfield Shopping Center on Wednesday morning has been identified as Frank Galicia, a 28-year-old resident of San Francisco.","The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department reported that they have identified the cause of death as a homicide and investigations are ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","Louis Galicia, Kurban's brother, announced that Frank, who previously served as the manager of the cosmetics department in Boston, joined the KGO station in San Francisco as the manager of the Sons & Daughters cosmetics department about six months ago.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.",The Board of Directors of Sons & Daughters expressed regret that the company's founder had transformed himself into a child and expressed deep sorrow over the matter.,"A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The sentence translates to:

""The newspaper reported that the company has a small team that works like a close-knit family and that the founder is very close to them.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said."
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,"During these difficult times, we want to express that you are not alone in your family and that your prayers are with you.",Our thoughts and condolences are with Frank's family and friends at this difficult time.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia stated that Frank initially stayed in hostels, and added ""Things were going well for him in the end.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him."""
