source,translation_clean,reference
"সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","According to the travel schedule, a regular flight of Singapore Airlines will depart from Hazrat Shahjalal International Airport with the President and their entourage. 

Let me know if you have any other text you'd like me to translate!","According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport."
"শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","Shaheedul Haque said that the Prime Minister emphasized the importance of peace and stability in the region for achieving the desired development goals at the meeting. 

Let me know if you have any other Bengali text you'd like me to translate!","Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development."
নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,The High Court has granted bail to BNP standing committee member Barrister Mawdudu Ahmed and BNP's law affairs secretary Advocate Sanaullah Mia in the case of sabotage.,The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.
তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,"They wish Sheikh Hasina good health and a long life. 

Let me know if you have any other Bengali text you'd like me to translate!",They wished Sheikh Hasina good health and long life.
"অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","The Finance Minister said that the World Bank would never have predicted a growth rate of more than 6 percent for us. 

Let me know if you have any other Bengali text you'd like me to translate!","The finance minister said, the World Bank never said that we would have growth more than 6.5 percent."
একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"Bengali residents living there have also been warned to be cautious. 

Let me know if you have any other text you'd like me to translate!","At the same time, Bangladeshis living there have been asked to remain alert."
হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,"The Deputy Director of the hospital, Lakshmi Narayan, has confirmed this. 

Let me know if you have any other text you'd like me to translate!",Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.
বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,"Bangladesh's permanent representative and ambassador to the World Tourism Organization, Hasan Mahmud Khan, will welcome the Prime Minister at the airport.",Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.
"কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","Home Minister: Casinos will not be allowed. 

Let me know if you have any other Bengali text you'd like me to translate!","Nobody will be allowed to run casino business, Home Minister"
প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,"Walton has achieved the distinction of being the first and only Bangladeshi mobile phone manufacturing company. 

Let me know if you have any other text you'd like me to translate!",Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.
