source,translation_clean,reference
Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"The Civil Rights Movement issued a travel advisory for Missouri. 

Let me know if you have any other text you'd like me to translate!",Civil rights group issues travel warning for Missouri
Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"The National Association for the Advancement of Colored People (NAACP) has issued a travel advisory for people of color traveling to Missouri due to the state's discriminatory policies and racist attacks. 

Let me know if you have any other text you'd like me to translate!",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.
"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""The NAACP's travel advisory for the state of Missouri, effective August 28, 2017, urges African American travelers, visitors, and residents of Missouri to exercise heightened vigilance when traveling throughout the state due to a series of troubling race-related incidents occurring statewide,"" the association's statement reads.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads."
"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","The NAACP stated that it took this step based on current Missouri state laws that make it difficult to defend racially motivated acts in court, as well as due to the actions of law enforcement agencies that disproportionately target minorities. 

Let me know if you have any other text you'd like me to translate!","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said."
„Dochází k porušování občanských práv.,"""There is a violation of civil rights."" 

Let me know if you have any other text you'd like me to translate!","""You have violations of civil rights that are happening to people."
"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""People are stopped by police just because of the color of their skin, they are attacked or killed,"" said Rod Chapel, president of the NAACP for Missouri, to the Kansas City Star. 

Let me know if you have any other text you'd like me to translate!","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star."
„Hromadí se nám dosud největší množství stížností.“,"""We are currently receiving the largest number of complaints ever."" 

Let me know if you have any other Czech text you'd like me to translate!",We are hearing complaints at a rate we haven't heard before.
"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","This is the first warning of its kind that the organization has issued for the state of USA. 

Let me know if you have any other text you'd like me to translate!",It is the first such warning that the organization has issued for a state in the US.
"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Among the incidents cited by the organization were racially motivated insults directed at black students at the University of Missouri and the death of Tory Sanders, a black man from Tennessee. 

Let me know if you have any other text you'd like me to translate!","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee."
"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders died under disputed circumstances at the beginning of this year after running out of gas while traveling across the state and police jailed him without charging him with a crime. 

Let me know if you have any other text you'd like me to translate!","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime."
"Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.","The travel advisory also points to a recent statement by the Missouri Attorney General's office, which states that drivers of Black race have a 75% higher chance of being stopped by police.",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.
"„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.","""The purpose of the travel advisory is to alert people and warn their families, friends, and colleagues about what could happen in Missouri,"" said Chapel. 

Let me know if you have any other text you'd like me to translate!","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said."
"„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“","""People must be prepared - they should carry money with them for a possible bail payment or inform their relatives that they are planning to travel across the state."" 

Let me know if you have any other text you'd like me to translate!","People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."
"Podle aktuálních čísel programu FBI k hlášení nenávistných činů došlo v roce 2015 v Missouri ke stovce případů nenávistného chování, což dosazuje stát na šestnácté místo mezi všemi státy.","According to the FBI's current hate crime reporting program data, there were over 100 cases of hate crimes in Missouri in 2015, ranking the state 16th among all states. 

Let me know if you have any other text you'd like me to translate!","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations."
"Cestovní výstraha je zároveň odpovědí na nový zákon Missouri, který znesnadňuje zažalování společnosti za diskriminaci při poskytování ubytování nebo zaměstnávání.","The travel warning is also a response to a new Missouri law that makes it harder to sue companies for discrimination in providing accommodation or employment. 

Let me know if you have any other text you'd like me to translate!",The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.
"Americký svaz pro občanské svobody (ACLU) vydal cestovní doporučení pro Texas a Arizonu poté, co státy schválily imigrační zákon, jež umožňuje státním činitelům zadržet lidi na základě porušení tohoto zákona, který má podle ACLU zlepšit rasovou profilaci.","The American Civil Liberties Union (ACLU) issued travel advisories for Texas and Arizona after the states passed an immigration law that allows state officials to detain people based on alleged violations of the law, which the ACLU says will worsen racial profiling.","Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling."
