source,translation_clean,reference
"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","যাত্রা সময়সূচী অনুযায়ী, প্রেসিডেন্ট এবং তার অনুবর্তী সদস্যদের পরিবহনকারী সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত বিমান হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ণ করবে। 

Let me know if you need any other translations!","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।"
"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শাহিদুল হক বলেন, সভায় প্রধানমন্ত্রী উন্নয়নের স্বপ্ন দেখা লক্ষ্যে এ অঞ্চলে শান্তি ও স্থিতিশীলতা বজায় রাখার ওপর জোর দিয়েছেন। 

Let me know if you have any other text you'd like me to translate!","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।"
The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,"স High Court BNP standing committee member Moudud Ahmed এবং BNP'র law affairs secretary advocate Sanaullah Mia কে সাবটেজ কেসে অগ্রিম জামিন দিয়েছে। 

**Explanation:**

* **স High Court:** The High Court
* **BNP standing committee member Moudud Ahmed:** BNP স্থায়ী কমিটির সদস্য মৌদুদ আহমেদ
* **BNP'র law affairs secretary advocate Sanaullah Mia:** BNP'র আইন বিষয়ক সচিব আইনজীবী সানাউল্লাহ মিয়া
* **কে:** to
* **সাবটেজ কেসে:** in sabotage case
* **অগ্রিম জামিন দিয়েছে:** has granted anticipatory bail 

Let me know if you have any other text you'd like me to translate!",নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।
They wished Sheikh Hasina good health and long life.,"তারা শেখ হাসিনাকে সুস্থতা এবং দীর্ঘজীবন কামনা করল। 

Let me know if you have any other text you'd like me to translate!",তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।
"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","বাংলায় অনুবাদ:

অর্থমন্ত্রী বলেন, বিশ্ব ব্যাংক কখনোই বলে নি didn't যে আমাদের বৃদ্ধি ৬.৫ শতাংশের বেশি হবে। 

Let me know if you have any other text you'd like me to translate!","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।"
"At the same time, Bangladeshis living there have been asked to remain alert.","এসময়, সেখানে বসবাসরত বাংলাদেশীদের সতর্ক থাকার আহ্বান জানানো হয়েছে। 

Let me know if you have any other text you'd like me to translate!",একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।
Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,"সম্পর্কে অতিরিক্ত নিশ্চিত করেন হাসপাতালের উপ-পরিচালক ডা. লাক্ষ্মী নারায়ণ মজুমদার। 

Let me know if you'd like me to translate anything else!",হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।
Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,"বিশ্ব পর্যটন সংস্থায় বাংলাদেশের রাষ্ট্রদূত এবং স্থায়ী প্রতিনিধি হাসান মাহমুদ খন্দকার প্রধানমন্ত্রীকে বিমানবন্দরে গ্রহণ করবেন। 

Let me know if you need any other translations!",বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।
"Nobody will be allowed to run casino business, Home Minister","কোনো ব্যক্তিকে ক্যাসিনো ব্যবসা পরিচালনা করার অনুমতি দেওয়া হবে না, ঘরের মন্ত্রী। 

**Pronunciation:**

* Kono byaktike kasino byabasha porichalana korar anumoti deowa habe na, ghore mantri. 

Let me know if you have any other text you'd like me to translate!","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী"
Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,"ওয়ালটন বাংলাদেশের প্রথম এবং একমাত্র মোবাইল ফোন নির্মাণকারী কোম্পানি যা এই সাফল্য অর্জন করেছে। 

Let me know if you have any other text you'd like me to translate!",প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।
