source,translation_clean,reference
Kaks mõjukat naist jagavad oma edu saladusi,"Two influential women share their secrets to success. 

Let me know if you have any other Estonian text you'd like me to translate!",Two Powerhouse Women Share Their Secrets for Success
Mis on ühist Barbara Corcoranil ja Laila Alil?,"What do Barbara Corcoran and Laila Ali have in common? 

Let me know if you'd like me to translate any other Estonian text!",What do Barbara Corcoran and Laila Ali have in common?
Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"At first glance, these women come from two completely different worlds. 

Let me know if you have any other Estonian text you'd like me to translate!","On paper, the women are from two very different worlds."
"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real estate mogul Barbara Corcoran turned a $1,000 loan into a $5 billion real estate company before applying her expertise on television, appearing as an investor on the ABC reality show ""Shark Tank.""","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank."
"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali has followed in her father's footsteps, becoming the most successful female boxer ever as a four-time undefeated champion, before adding roles as a television host, author, and speaker to her resume.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume."
"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Despite their unique career paths (or perhaps even because of them), TJ Maxx hired both women to help speak to the hopeful entrepreneurs filling the room about breaking stereotypes and achieving ambitious goals. 

Let me know if you have any other Estonian text you'd like me to translate!","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs."
"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and found that 80 percent of them felt that society had set stereotypically defined roles and expectations for them.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations."
"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.","As a result, they came up with the project ""The Maxx You Project"" to help women break down these barriers. 

Let me know if you have any other Estonian text you'd like me to translate!",So they launched The Maxx You Project aimed at helping women break those barriers.
"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Corcoron and Ali know a thing or two about this. They may be at the top of their field now, but the road there wasn't smooth for either of them. 

Let me know if you have any other Estonian text you'd like me to translate!","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman."
Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,"Corcoran received mostly D's in high school and college and had already worked at 20 different jobs by the time he was 23. 

Let me know if you have any other Estonian text you'd like me to translate!","Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23."
"Ali sisenes ühte kõige meestekesksemasse valdkonda ja lisaks seisis tema teel ees katsumus üritada astuda välja oma isa varjust, kes oli üleilme ikoon.","Ali entered one of the most male-dominated fields and, on top of that, faced the challenge of trying to step out of her father's shadow, who was a world-renowned icon. 

Let me know if you have any other Estonian text you'd like me to translate!",Ali entered one of the most male-dominated industries and had the added struggle of carving out her own place beyond the shadow of her global icon father.
Need kaks pehmelt öeldes pakatavad läbi raskuste omandatud teadmistest.,"These two are softly speaking, boasting about the knowledge they've acquired through overcoming hardships. 

Let me know if you have any other Estonian text you'd like me to translate!",To say the two are brimming with hard-learned advice is an understatement.
"Seetõttu istusime nende mõjukate naistega maha, et rääkida ebaõnnestumiste ületamisest, eduga toimetulekust ning oma kõhutunde usaldamisest äris ja suhetes.","Therefore, we sat down with these influential women to talk about overcoming failures, dealing with success, and trusting your gut in business and relationships.","So we sat down with the two powerhouses to talk overcoming failure, navigating success and trusting their gut instincts in business and relationships."
"Mis inspireerib teid tegema seda, millega tegelete iga päev?",What inspires you to do what you do every day?,What inspires both of you to do what you do every day?
Laila Ali: Mind inspireerivad iga päev mu isiklikud eesmärgid.,"Laila Ali: I am inspired every day by my personal goals. 

Let me know if you have any other Estonian text you'd like me to translate! 😊",Laila Ali: I'm inspired on a daily basis by my personal goals.
"Olen kujundanud harjumuse kirjutada üles asju, mida soovin saavutada.",I have developed a habit of writing down things I want to achieve.,I make it a habit to write down what it is that I want to accomplish.
Ja ma vaatan seda nimekirja.,"And I look at this list. 

Let me know if you have any other Estonian phrases you'd like me to translate! 😊",And I check that list.
Pean end vastutavaks.,"I take responsibility. 

Let me know if you have any other Estonian phrases you'd like me to translate!",I keep myself accountable.
Loomulikult inspireerivad mind mu lapsed.,"Of course, my children inspire me. 

Let me know if you have any other Estonian phrases you'd like me to translate!","My kids inspire me, of course."
Minu ambitsioonid inspireerivad mind.,My ambitions inspire me.,My ambition inspires me.
"Soovin olla võidukas kõiges, mida elus teen.","I want to be successful in everything I do in life. 

Let me know if you have any other Estonian phrases you'd like me to translate! 😊",I want to win at everything that I do in life.
"Mõistan, et mu eesmärkide saavutamine nõuab ränka tööd, aga olen valmis seda tegema.","I understand that achieving my goals requires hard work, but I am willing to do it.",I understand that it takes hard work to reach my goals and I'm prepared to do it.
Minu enesekindlus tuleneb ettevalmistusest.,My confidence comes from preparation.,My confidence comes from preparation.
