source,translation_clean,reference
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,"28-Year-Old Chef Found Dead in San Francisco Shopping Center 

Let me know if you'd like me to translate any other Turkish text!",28-Year-Old Chef Found Dead at San Francisco Mall
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.",A 28-year-old chef who recently moved to San Francisco was found dead in the stairwell of a local shopping center this week.,A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","But the victim's brother said, ""He didn't think someone could want to harm him, because things were finally going well for him."" 

Let me know if you have any other Turkish text you'd like me to translate!","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.",The San Francisco Medical Examiner's Office announced on Wednesday morning that the body found at the Westfield Shopping Center belonged to 28-year-old San Francisco resident Frank Galicia.,"The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department stated that the cause of death has been determined to be homicide and that the investigation is ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The victim's brother, Louis Galicia, told San Francisco's ABC station KGO that Frank, who previously worked as a head chef in the kitchen department in Boston, had started working as the head chef in the kitchen department of San Francisco's Sons & Daughters restaurant six months ago, after landing his dream job.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","A representative for Sons & Daughters said they were ""shocked"" by the death and ""deeply saddened"".","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","Sözcü said, ""We are a small team that works like a close-knit family here, and he will be greatly missed."" 

Let me know if you have any other Turkish text you'd like me to translate!","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said."
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,"We would like to express that during this difficult time, Frank's family is not alone and our prayers are with them.",Our thoughts and condolences are with Frank's family and friends at this difficult time.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia said that Frank initially stayed in hostels and ""Things were finally going well for him,"" he said.","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","Louis Galicia told KGO, ""He was renting an apartment and dating a girl."" 

Let me know if you have any other Turkish text you'd like me to translate!","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO."
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.","Louis Galicia said he didn't think he could be someone who would want to harm his younger brother. 

Let me know if you have any other Turkish text you'd like me to translate!",Louis Galicia said he could not think of anyone who would want to hurt his younger brother.
"O kocaman bir kalbi olan, nazik bir kişiydi.","He was a kind person with a big heart. 

Let me know if you have any other Turkish phrases you'd like me to translate!",He was a kind spirit with a big heart.
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","""Connecting with family was always about having a plate ready for us, cooking for us,"" said Louis Galicia. 

Let me know if you have any other Turkish text you'd like me to translate!","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said."
Münakaşaya girmekten hiç hoşlanmazdı.,"He never liked to get into arguments. 

Let me know if you have any other Turkish phrases you'd like me to translate!",He never wanted to be in any kind of altercation.
"Erkek kardeşim, her duruma uyum sağlardı.",My brother could adapt to any situation.,He was the brother that went with the flow.
"O, ""Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı"" diye konuştu.","He said, ""While everything else in the world was going wrong, that was the one thing that shone brightly every day, like an unpolished diamond."" 

Let me know if you have any other Turkish text you'd like me to translate!","""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said."
