source,translation_clean,reference
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to correct their sex, was diagnosed as mentally ill and now they create art on the subject - ""A person should have the right to their own body""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body"""
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,The ceiling of the Academy of Fine Arts' Project room gallery hangs with dozens of patient stories.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.
Jokaisessa niissä lukee Camille Auerin nimi.,"In each of them, the name Camille Auer is mentioned.",The name of Camille Auer is written on every one of them.
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The papers tell a multi-year story of how outsiders have written down their interpretations of Auer and his identity.,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –
Päättäneet hänen puolestaan kuka hän on.,They've decided for him who he is.,decided on who she is on her behalf.
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to tell my personal care history so that the violence of the process becomes visible,"" Auer says.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"By the process, he refers to the gender reassignment process.","Here, ""process"" refers to her sex reassignment procedure."
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is often a research period that lasts for years, which includes meetings with psychologists, psychiatrists, nurses and doctors.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.","The process begins with a referral for ""gender identity disorder"" diagnostic assessments, which are performed in Tampere and Helsinki.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,The process started four years ago in Auer's case.,Auer's process started four years ago.
Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,"Even before this, she had used estrogen ordered over the internet and was otherwise quite far along in her own correction process.","Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure."
"Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.","She felt like a woman, but according to Finnish law, a person must go through a correction process in order for their gender to be corrected also legally.","Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally."
"Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.","The Trans Act, or the Act on the Confirmation of the Gender of Transsexuals (563/2002), obliges transgender people to undergo forced sterilization in order to have their correct gender registered, for example, in the Population Register Centre and on their passport.","The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport."
Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,"At the moment, every person undergoing a sex change is required to have a psychiatric diagnosis and proof of infertility.","Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce."
Ihmiselle kuuluu oikeus päättää omasta kehostaan.,A person has the right to decide about their own body.,People should have the right to decide on their own body.
"""Tämä tilanne on sietämätön ja loukkaa ihmisoikeuksia"", sanoo Auer.","""This situation is unbearable and violates human rights,"" says Auer.","""This situation is intolerable and in violation of human rights"", Auer says."
Translain uudistamisesta on puhuttu Suomessa jo pitkään.,The reform of Translai has been discussed in Finland for a long time.,Amendments to the Finnish trans act have been on the table for long.
"YK:n ihmisoikeusneuvosto on antanut laista kahdeksan huomautusta ja Euroopan ihmis­oikeustuomioistuimessa on ennakkopäätös, joka velvoittaa ­Euroopan ihmisoikeussopimuksen osapuolet noudattamaan itsemääräämisoikeutta.","The UN Human Rights Council has made eight observations on the law, and the European Court of Human Rights has a preliminary ruling that obliges the parties to the European Convention on Human Rights to respect the right to self-determination.","The UN Human Rights Council has issued eight concerns regarding the act, and the European Court of Human Rights has a precedent that obligates parties to the European Convention of Human Rights to adhere to the right of self-determination."
Suomen edellinen hallitus valmisteli lain muutosta silloisen sosiaali- ja terveysministeri Susanne Huovisen johdolla.,"The previous government of Finland prepared the amendment to the law under the leadership of the then Minister of Social Affairs and Health, Susanne Huovinen.","The former Government of Finland prepared the amendments to the act under Susanne Huovinen, the then Minister of Social Affairs and Health."
Tuli vaalit ja Perussuomalaiset nousivat hallitukseen.,Elections came and the Finns Party rose to government.,"After the following elections, the Finns Party received seats in the Government."
