source,translation_clean,reference
Kaks mõjukat naist jagavad oma edu saladusi,Two influential women share their secrets of success.,Two Powerhouse Women Share Their Secrets for Success
Mis on ühist Barbara Corcoranil ja Laila Alil?,What do Barbara Corcoran and Laila Ali have in common?,What do Barbara Corcoran and Laila Ali have in common?
Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"At first glance, these women come from two completely different worlds.","On paper, the women are from two very different worlds."
"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real estate mogul Barbara Corcoran managed to turn a $1,000 loan into a $5 billion real estate company before putting her expertise to use on television, as a panelist on the ABC reality show ""Shark Tank"".","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank."
"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali has followed in her father's footsteps, becoming a four-time undefeated champion as the most successful female boxer before adding television host, author, and speaker roles to her resume.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume."
"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Despite their unique career paths (or perhaps because of them), TJ Maxx still managed to recruit both women to help speak to entrepreneurs about breaking stereotypes and achieving high-flying goals.","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs."
"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent of them feel that society has stereotypically assigned them certain roles and expectations.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations."
"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.","As a result, they came up with the project The Maxx You Project, to help women break down these barriers.",So they launched The Maxx You Project aimed at helping women break those barriers.
"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Corcoran and Ali know something about this. They may be at the top of their field now, but the journey there wasn't smooth for either of them.","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman."
Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,Corcoran received mostly D's in high school and college and had already worked at 20 jobs by the time he was 23 years old.,"Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23."
"Ali sisenes ühte kõige meestekesksemasse valdkonda ja lisaks seisis tema teel ees katsumus üritada astuda välja oma isa varjust, kes oli üleilme ikoon.","He entered one of the most masculine fields and in addition, there was a challenge for him to try to step out of his father's shadow, who was a world icon.",Ali entered one of the most male-dominated industries and had the added struggle of carving out her own place beyond the shadow of her global icon father.
Need kaks pehmelt öeldes pakatavad läbi raskuste omandatud teadmistest.,"These two, in a gentle way, offer knowledge gained through overcoming difficulties.",To say the two are brimming with hard-learned advice is an understatement.
"Seetõttu istusime nende mõjukate naistega maha, et rääkida ebaõnnestumiste ületamisest, eduga toimetulekust ning oma kõhutunde usaldamisest äris ja suhetes.","As a result, we sat down with these influential women to talk about overcoming failures, achieving success, and trusting our gut feelings in business and relationships.

Note: The translation is quite literal and may not fully capture the nuances of the original text. The Estonian text uses a more poetic and idiomatic expression, which may be lost in translation.","So we sat down with the two powerhouses to talk overcoming failure, navigating success and trusting their gut instincts in business and relationships."
"Mis inspireerib teid tegema seda, millega tegelete iga päev?",What inspires you to do what you do every day?,What inspires both of you to do what you do every day?
Laila Ali: Mind inspireerivad iga päev mu isiklikud eesmärgid.,Laila Ali: I am inspired every day by my personal goals.,Laila Ali: I'm inspired on a daily basis by my personal goals.
"Olen kujundanud harjumuse kirjutada üles asju, mida soovin saavutada.",I have developed a habit of writing down things I want to achieve.,I make it a habit to write down what it is that I want to accomplish.
Ja ma vaatan seda nimekirja.,And I look at this list.,And I check that list.
Pean end vastutavaks.,I am responsible.,I keep myself accountable.
Loomulikult inspireerivad mind mu lapsed.,"Naturally, my children inspire me.","My kids inspire me, of course."
Minu ambitsioonid inspireerivad mind.,My ambitions inspire me.,My ambition inspires me.
"Soovin olla võidukas kõiges, mida elus teen.","The translation of the Estonian text to English is:

""I want to be victorious in everything I do in life.""",I want to win at everything that I do in life.
"Mõistan, et mu eesmärkide saavutamine nõuab ränka tööd, aga olen valmis seda tegema.","I understand that achieving my goals requires hard work, but I am willing to do it.",I understand that it takes hard work to reach my goals and I'm prepared to do it.
Minu enesekindlus tuleneb ettevalmistusest.,My self-confidence comes from preparation.,My confidence comes from preparation.
Seega kulutan rohkelt aega ettevalmistamisele.,So I spend a lot of time on preparation.,So I spend a lot of my time preparing.
"Barbara Corcoran: Nagu Lailalgi, on minu enesekindluse võtmeks liignegi ettevalmistus, kuid ma ei ammuta oma inspiratsiooni sellest.","Barbara Corcoran: Just like Laila, my self-confidence booster is even excessive preparation, but I don't drain my inspiration from it.

Note: Laila is likely a reference to Laila Ali, an American boxer and daughter of Muhammad Ali. However, without more context, it's difficult to confirm the exact reference.","Barbara Corcoran: Much like Laila, over preparation is my key to confidence, but I don't get my inspiration from that."
Tegelikult pakub mulle inspiratsiooni ehe uudishimu.,"The translation of the Estonian text to English is:

""Actually, it gives me inspiration with its fresh curiosity.""

However, a more idiomatic translation would be:

""Actually, it inspires me with its fresh curiosity.""

Or, in a more natural and conversational tone:

""It actually inspires me with its fresh curiosity.""

Note that the original sentence ""Tegelikult pakub mulle inspiratsiooni ehe uudishimu"" is a bit poetic and might not be a direct translation of a common phrase. The translation I provided tries to capture the essence and meaning of the original sentence.",I really get my inspiration from just sheer curiosity.
"Mis juhtub, kui ma seda teen?",What happens if I do this?,What will happen if I do this?
"Mis jääb olemata, kui ma seda ei tee?",What will remain if I don't do it?,What won't happen if I don't do this?
"See uudishimu paneb mind hommikul voodist tõusma, kuna ma ei suuda ära oodata, mida päev endaga toob.","This sense of curiosity makes me get out of bed in the morning, because I'm unable to wait and see what the day will bring.","That curiosity gets my feet on the floor in the morning, because I can't wait to see what the day brings."
"Kui ma mõnel päeval ei tunne sedamoodi, siis lihtsalt teesklen neid tundeid.","If I don't feel that way on some day, then just pretend to have those feelings.","When I don't feel that way on certain days, I pretend I feel that way."
Siis jään iseenda häma uskuma ja saangi jälle inspiratsiooni.,"Then I'll believe in myself again and get inspiration back.

Here's a more idiomatic translation:

Then I'll regain my confidence and get my inspiration back.

Or, in a more poetic translation:

Then I'll rediscover my inner spark and find my inspiration again.",Then I start falling for my own baloney and I get inspired again.
"Rääkige mõnest takistusest oma karjääris, mis muutis teid pikas perspektiivis hoopis paremaks.",Speak about some obstacle in your career that changed you for the better in the long run.,Tell us about a hurdle or a roadblock in your career that ended up making you better in the long run?
