source,translation_clean,reference
Ақша-несие саясатының сценарийін қайта жазсақ,If we rewrite the script of the monetary and credit policy.,Rewriting the Monetary-Policy Script
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","MUNICH – The world's largest central banks are finally giving up on strict rules to curb inflation and are allowing growth to expand.

Note: The translation is based on the provided text, but it's worth noting that the original text seems to be a news headline or a title, and it might not be a complete sentence.",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"When considering the good aspects of monetary and credit policy, central banks should also start giving importance to flexibility.

Note: This translation is based on the provided text and might not be a direct translation of the entire Kazakh text, as the original text is not provided.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The established practice of those who form monetary policy is that if inflation is below the official forecast range for a long time, short-term interest rates should be set at a level that stimulates spending and investment.

Note: This translation is based on the provided text and might not be an official translation from a government or financial institution.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This method's peculiarity - when interest rates approach zero, central banks have no other way to increase demand except for implementing asset purchase programs.","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If the situation allows, the decision-makers announce a default based on well-known scenarios according to the new Keynesian economic model.

Here's a more detailed translation:

""If the situation permits, those making the political decision will announce a default based on well-known scenarios in accordance with the new Keynesian economic model.""","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, in very many cases, these scenarios confuse us, because we think that the monetary policy's impact on demand and inflation can be measured and forecasted.

Note: I've translated the text to English, but please keep in mind that the translation may not be perfect, as the original text is in Kazakh, a language that may not be widely known.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"However, these reasons are not enough to disprove this conclusion.",There is plenty of reason to question this assumption.
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Firstly, even if families have a low interest rate, they haven't saved much money and spent a lot.","For starters, households have not responded to ultra-low interest rates by saving less and spending more."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If saving money does not bring profit, people will not buy expensive things, or they will not save money for their future retirement.

Note: This translation is based on the provided Kazakh text and may not be a direct word-for-word translation, but rather a translation that conveys the intended meaning.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road."
"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Due to the fact that the risk is extremely high, companies are in a state of uncertainty, and the capital's depreciation to a level that has never been seen before has not encouraged them to invest more.

Note: Please note that the translation might not be perfect as the original text is in Kazakh language, and the nuances of the language may be lost in translation.","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more."
"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","Despite this information, it is easy to understand why those who make monetary and credit policies rely on pre-existing formulas.

Note: The translation is based on the provided text and may not be a direct translation of the entire text.","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated."
