source,translation_clean,reference
Tūkstantinės minios panika Centriniame parke griuvus barjerui,The crowd of thousands panicked in the Central Park after the fence collapsed.,Thousands in Central Park panic after barrier collapse
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Thousands of people, panicked about possible shots of a political nature at the event, started to run away through Central Park after the police barrier collapsed.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Translated text:

Well-known personalities - New York Governor Andrew Cuomo representing the Democratic Party, Republican Senator Jeff Flake, Janet Jackson, John Legend - called on viewers to get involved in the turbulent domestic politics.

Note: The translation is quite literal, but it's worth noting that the original text seems to be a summary or a quote from a TV show or a news program, possibly a US-based one, given the mention of US politicians and celebrities. The translation might not fully capture the nuances and context of the original text.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","Breaking through the barrier on Saturday evening at the event, government institutions quickly reassured the viewers that they are safe.

Note: The translation is quite literal, and the sentence structure might not be as natural in English as it is in Lithuanian. A more idiomatic translation could be:

After a barrier was breached on Saturday evening at the event, authorities quickly moved to reassure the public that everyone was safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,The sunny afternoon at the beginning of the event was mainly about social justice.,Burning social justice issues dominated the event that started on a sunny afternoon.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Approximately 60,000 spectators gathered at the Big Meadow for the Universal Citizens Festival, where Cardi B, The Weeknd, and other pop stars were scheduled to perform.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some of the speakers asked viewers to call their representatives in Congress and express their opinion about the Senate sessions this week regarding the Supreme Court candidate Brett Kavanaugh.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"Unbroken series of victories by Alastair Seeley in the ""British Supersport"" races at Asen.",Alastair Seeley continues British Supersport winning run at Assen
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,"Alastair Seeley retained his winning position in the ""British Supersports"" racing.",Alastair Seeley has continued his winning form in British Supersports
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley won his third victory in five ""British Supersport"" races, winning on Saturday in the 12-lap sprint at the Assen circuit in the Netherlands.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","The translation of the Lithuanian text to English is:

The driver from Carrickfergus 0.05 seconds beat ""Yamaha"" driving Jack Kennedy.",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,38-year-old champion also triumphed at Silverstone and Oulton Park this month.,The 38-year-old also won races at Silverstone and Oulton Park this month.
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley represents the Northern Ireland team ""EHA Racing"", with whom he already won the international ""North West 200"" races in May.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.
