source,translation_clean,reference
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,28-year-old Chef Found Dead in San Francisco Shopping Mall,28-Year-Old Chef Found Dead at San Francisco Mall
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.","Recently, a 28-year-old chef who had moved to San Francisco a short time ago, was found dead in the stairwell of a local shopping mall this week.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","However, the brother of the victim, stating that he did not think the person who could harm him was someone who would, said: ""In the end, things were going well for him.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.",The San Francisco Medical Examiner's Office announced that the body found at the Westfield Mall on Wednesday morning belonged to 28-year-old San Francisco resident Frank Galicia.,"The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department announced that the cause of death was determined to be homicide and that the investigation is ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The brother of the victim, Louis Galicia, told KGO radio station in San Francisco that Frank, who had previously worked as a chef in the kitchen at a station in Boston, had started working as the head chef in the kitchen at the San Francisco show ""Sons & Daughters"" six months ago, achieving his dream job.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","The official of Sons & Daughters stated that this death ""shocked them"" and that they are ""extremely saddened"".","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The Sözcü stated, ""We have a small but tight-knit team working here like a family, and he will be greatly missed.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said."
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,We would like to express that they are not alone in this difficult time and that our prayers are with them.,Our thoughts and condolences are with Frank's family and friends at this difficult time.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia stated that Frank initially stayed in hostels and said, ""Eventually, things were going well for him.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","Louis Galicia said to KGO, ""He had a date and was going out with a girl.""","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO."
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.",Louis Galicia said he didn't think Louis could be someone who would harm his younger brother.,Louis Galicia said he could not think of anyone who would want to hurt his younger brother.
"O kocaman bir kalbi olan, nazik bir kişiydi.",He was a gentle person with a big heart.,He was a kind spirit with a big heart.
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","""Making a connection with the family was always about preparing a meal for us, cooking for us,"" said Louis Galicia.","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said."
Münakaşaya girmekten hiç hoşlanmazdı.,He didn't like getting into arguments.,He never wanted to be in any kind of altercation.
"Erkek kardeşim, her duruma uyum sağlardı.","My brother, he would adapt to any situation.",He was the brother that went with the flow.
"O, ""Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı"" diye konuştu.","He said, ""While everything else in the world is going wrong, this unpolished copper is shining brightly every day.""","""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said."
