source,translation_clean,reference
Ақша-несие саясатының сценарийін қайта жазсақ,If we rewrite the script of monetary-credit policy,Rewriting the Monetary-Policy Script
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – When will the world's largest central banks stop talking about inflation and start tightening rules to boost growth?,MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Considering the good sides of a tight monetary policy, central banks should also start paying attention to flexibility.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The established tradition of monetary policymakers is that if inflation remains below the officially forecasted range for a long time, short-term interest rates should be set at a level that stimulates spending and investment.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The peculiarity of this method is that when interest rates approach zero, central banks have no other option but to implement asset purchase programs to boost demand.","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If the situation reaches that point, the political decision-makers will announce a default based on certain scenarios of the new Keynesian economic model.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, in most cases, these scenarios confuse us, because it is thought that the impact of monetary policy on demand and inflation can be measured and predicted.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"However, there are sufficient reasons to refute this conclusion.",There is plenty of reason to question this assumption.
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Firstly, even though the interest rate for families is very low, they have not saved little money and spent a lot.","For starters, households have not responded to ultra-low interest rates by saving less and spending more."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If saving money doesn't bring income, people won't buy expensive things, or won't save money for their future retirement vacation.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road."
"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Just as there is too much risk, companies are also in a wait-and-see mode, and the unprecedented cheapening of capital has not prompted them to invest more.","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more."
"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","Despite these facts, it is easy to understand why the makers of monetary policy continue to rely on long-standing formulas.","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated."
"Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.","According to a well-known rule, in order to bring the inflation rate to a decent level, all imbalances in the economy must be corrected.","This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation."
