source,translation_clean,reference
Tūkstantinės minios panika Centriniame parke griuvus barjerui,Thousands in a Panic in Central Park as Barrier Collapses,Thousands in Central Park panic after barrier collapse
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Thousands of people, panicked by the possibility of shots at a politically charged event, took off running through Central Park after a police barrier collapsed.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Notable figures – Democratic Party representative New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, John Legend – encouraged viewers to get involved in the country's turbulent politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","After the barrier collapsed during the Saturday evening event, government institutions quickly reassured the spectators that they were safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"On a sunny afternoon, at the event that had just begun, most of the talk was about social justice.",Burning social justice issues dominated the event that started on a sunny afternoon.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Approximately 60,000 spectators gathered at the Great Lawn for the Global Citizen Festival, which was set to feature Cardi B, The Weeknd, and other pop stars.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers asked the audience to call the Congress members representing them and express their opinion about the Senate hearings that took place this week regarding Supreme Court nominee Brett Kavanaugh.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"Alastair Seeley's unbeaten winning streak in the ""British Supersport"" races at Assen.",Alastair Seeley continues British Supersport winning run at Assen
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,"Alastair Seeley maintained his winning position in the ""British Supersports"" races",Alastair Seeley has continued his winning form in British Supersports
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley secured his third win in five British Supersport races, triumphing in Saturday's 12-lap sprint at Assen in the Netherlands.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.",The rider from Carrickfergus beat Yamaha-riding Jack Kennedy by 0.05 seconds.,The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old winner also triumphed at Silverstone and Oulton Park this month.,The 38-year-old also won races at Silverstone and Oulton Park this month.
