source,translation_clean,reference
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,28-Year-Old Chef Found Dead in San Francisco Shopping Center,28-Year-Old Chef Found Dead at San Francisco Mall
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local shopping center this week.,A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","However, the victim's brother said, indicating that he did not think that someone who might want to harm him could be, ""In the end, things were going well for him.""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.",The San Francisco Medical Examiner's Office announced on Wednesday morning that the body found at the Westfield Shopping Center belonged to 28-year-old San Francisco resident Frank Galicia.,"The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department reported that the cause of death was determined to be homicide and that the investigation is ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The victim's brother, Louis Galicia, told San Francisco's ABC affiliate KGO that Frank, who had previously worked as a kitchen department head in Boston, had landed his dream job six months ago as the kitchen department head at Sons & Daughters in San Francisco.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","A Sons & Daughters spokesperson stated that this death ""left them stunned and extremely saddened"".","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The spokesperson stated, ""Here, we are a small team working like a tight-knit family, and he will be greatly missed.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said."
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,"At this difficult time, we would like to let Frank's family know that they are not alone and that our thoughts and prayers are with them.",Our thoughts and condolences are with Frank's family and friends at this difficult time.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","Louis Galicia stated that Frank initially stayed in hostels and said ""Eventually things were going well for him.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","Louis Galicia told KGO, ""He had rented an apartment and was dating a girl.""","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO."
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.",Louis Galicia said he didn't think anyone would want to harm his little brother.,Louis Galicia said he could not think of anyone who would want to hurt his younger brother.
"O kocaman bir kalbi olan, nazik bir kişiydi.",He was a gentle person with a big heart.,He was a kind spirit with a big heart.
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","""Connecting with family was always about preparing a plate for us, cooking for us,"" said Louis Galicia.","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said."
Münakaşaya girmekten hiç hoşlanmazdı.,He never liked to get into an argument.,He never wanted to be in any kind of altercation.
"Erkek kardeşim, her duruma uyum sağlardı.",My brother would adapt to any situation.,He was the brother that went with the flow.
"O, ""Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı"" diye konuştu.","""He was the uncut diamond that shone brightly every day, while everything else in the world was going wrong,"" he said.","""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said."
Bilgi sahibi olan kişilerin 415-575-4444 numaralı telefondan SFPD İhbar Hattını araması istendi.,Individuals with information are asked to call the SFPD Tip Line at 415-575-4444.,Anyone with information is asked to call the SFPD Tip Line at 415-575-4444.
Asistan doktorlar grevde: Yeni iş yavaşlatma çağrıları,Assistant doctors on strike: New calls for work slowdown,Junior doctors strike: Calls for fresh industrial action
"Asistan doktorların temsilcileri, yeni bir sözleşme hakkındaki anlaşmazlık ile ilgili olarak sendikalarının iş yavaşlatma izni vermesini istedi.",Assistant doctors' representatives asked their union to grant permission for a work slowdown due to a dispute over a new contract.,Representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.
İngiliz Tabipler Birliği (BMA) Asistan Doktorlar Komitesi (JDC) genel konseye Eylül başından itibaren daha fazla iş yavaşlatma eylemini desteklemesi için çağrıda bulundu.,The British Medical Association (BMA) Junior Doctors Committee (JDC) has called on the general council to support further industrial action from the start of September.,The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.
"JDC, bakanların sözleşme ile ilgili endişeleri gideremediğini ifade etti.",JDC stated that the ministers were unable to alleviate concerns related to the contract.,The JDC says ministers have failed to address concerns about the contract.
"Asistan doktorlar ve tıp öğrencileri, BMA ile yapılan sözleşme anlaşmasında ret oyu kullandı.",Junior doctors and medical students used their veto in the contract agreement made with the BMA.,Junior doctors and medical students voted in July to reject a contract deal agreed with the BMA.
"Bu, oy veren üyelerin %58'i tarafından reddedildi.",This was rejected by 58% of the voting members.,It was rejected by 58% of its members who voted in the ballot.
"Perşembe gecesi Twitter'da yayınlanan bir yazıda, JDC başkanı Ellen McCourt, hükümetin sözleşmenin reddedilmesine neden olan sorunlar konusunda ""ısrarla sessiz"" kaldığını belirtti.","In a post published on Twitter on Thursday night, JDC president Ellen McCourt stated that the government had been ""adamantly silent"" on the issues that led to the rejection of the contract.","In a letter to members released on Twitter on Thursday night, the JDC's chair Ellen McCourt said the government had remained ""persistently silent"" on issues which, she said, had resulted in the contract being rejected."
