source,translation_clean,reference
28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu,"The translation of the Turkish text is: ""A 28-year-old chef was found dead at the San Francisco shopping center.""",28-Year-Old Chef Found Dead at San Francisco Mall
"Kısa süre önce San Francisco'ya taşınmış olan 28 yaşındaki aşçı, bu hafta içinde yerel bir alışveriş merkezinin merdiven boşluğunda ölü bulundu.","Recently, a 28-year-old chef who had just moved to San Francisco, was found dead in the stairwell of a local shopping mall this week.",A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
"Ancak kurbanın erkek kardeşi, ona zarar vermek isteyebilecek biri olabileceğini düşünmediğini belirterek şöyle dedi: ""Sonunda onun için işler iyi gidiyordu.""","The translation of the Turkish text to English is:
""However, the brother of the victim didn't think that someone who could harm him might exist, and he said: 'In the end, things were going well for him.'""","But the victim's brother says he can't think of anyone who would want to hurt him, saying, ""Things were finally going well for him."""
"San Francisco Adli Tıp Kurumu, Çarşamba sabahı Westfield Alışveriş Merkezinde bulunan cesedin 28 yaşındaki San Francisco sakini Frank Galicia'ya ait olduğunun belirlendiğini açıkladı.","The San Francisco Medical Forensic Institute announced that the body found on Wednesday morning at the Westfield Mall belongs to Frank Galicia, a 28-year-old resident of San Francisco.","The body found at the Westfield Mall Wednesday morning was identified as 28-year-old San Francisco resident Frank Galicia, the San Francisco Medical Examiner's Office said."
"San Francisco Emniyet Müdürlüğü, ölüm nedeninin cinayet olduğunun belirlendiğini ve araştırmaların devam ettiğini bildirdi.",The San Francisco Police Department announced that the cause of death was determined to be murder and that the investigations are ongoing.,The San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing.
"Kurbanın erkek kardeşi Louis Galicia, San Francisco'daki ABC istasyonu KGO'ya, daha önce Boston'da mutfak bölüm şefi olarak çalışmakta olan Frank'in, altı ay önce hayallerindeki işe kavuşarak San Francisco Sons & Daughters mutfak bölüm şefi olarak çalışmaya başladığını belirtti.","The brother of the victim, Louis Galicia, told KGO radio in San Francisco that Frank, who used to work as a chef in the kitchen department in Boston, has finally achieved his dream job as the head chef of the kitchen department at San Francisco Sons & Daughters, six months ago.","The victim's brother, Louis Galicia, told ABC station KGO in San Francisco that Frank, previously a line cook in Boston, had landed his dream job as line chef at San Francisco's Sons & Daughters restaurant six months ago."
"Sons & Daughters yetkilisi, bu ölümün kendilerini ""şaşkına çevirdiğini ve son derece üzgün olduklarını"" belirtti.","The official from Sons & Daughters stated that this death has left them ""shocked"" and they are ""extremely saddened.""","A spokesperson for Sons & Daughters said they were ""shocked and devastated"" by his death."
"Sözcü, ""Burada sıkı bir aile gibi çalışan küçük bir ekibiz ve kendisi çok özlenecek"" açıklamasında bulundu.","The translation of the Turkish text to English is: ""We are a small team working like a tight family here, and he will be greatly missed.""","""We are a small team that operates like a close knit family and he will be dearly missed,"" the spokesperson said."
Bu zorlu zamanda Frank'in ailesine yalnız olmadıklarını ve dualarımızın onlarla olduğunu belirtmek isteriz.,We want to let Frank's family know that they are not alone during this difficult time and that our prayers are with them.,Our thoughts and condolences are with Frank's family and friends at this difficult time.
"Louis Galicia, Frank'in başlangıçta hostellerde kaldığını belirtti ve ""Sonunda onun için işler iyi gidiyordu"" dedi.","The translation of the Turkish text to English is:
 Louis Galicia mentioned that Frank initially stayed in hostels and said, ""Eventually, things were going well for him.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him."""
"Louis Galicia, KGO'ya ""Bir daire tutmuştu ve bir kızla çıkıyordu"" dedi.","The translation of the Turkish text to English is:
 Louis Galicia said to KGO, ""He had taken a room and was going out with a girl.""","""He found an apartment, he was dating a girl,"" Louis Galicia told KGO."
"Louis Galicia, küçük erkek kardeşine zarar vermek isteyebilecek biri olabileceğini düşünmediğini söyledi.",Louis Galicia said he didn't think someone who could harm his younger brother would be able to.,Louis Galicia said he could not think of anyone who would want to hurt his younger brother.
"O kocaman bir kalbi olan, nazik bir kişiydi.","The translation of the Turkish text is: ""He was a kind-hearted person with a big heart.""",He was a kind spirit with a big heart.
"Aileyle bağ kurma yolu her zaman için bize bir tabak hazırlamak, bize yemek yapmaktı"" dedi Louis Galicia.","The translation of the Turkish text to English is: ""Louis Galicia said, 'Preparing a table for us every time and cooking for us was the way to bond with the family.'""","His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said."
Münakaşaya girmekten hiç hoşlanmazdı.,"The translation of the Turkish text ""Münakaşaya girmekten hiç hoşlanmazdı."" is ""He didn't like entering into arguments.""",He never wanted to be in any kind of altercation.
"Erkek kardeşim, her duruma uyum sağlardı.","The translation of the Turkish text ""Erkek kardeşim, her duruma uyum sağlardı."" is ""My brother, he would adapt to any situation.""",He was the brother that went with the flow.
"O, ""Dünyada diğer her şey yalnış giderken, o her gün pırıl pırıl ışıldayan şu işlenmemiş elmastı"" diye konuştu.","The translation of the Turkish text to English is: ""While everything else goes wrong in the world, it shines brightly every day like an unpolished gem.""","""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said."
Bilgi sahibi olan kişilerin 415-575-4444 numaralı telefondan SFPD İhbar Hattını araması istendi.,"The translation of the Turkish text is: ""People with information are requested to call the SFPD Tip Line at 415-575-4444.""",Anyone with information is asked to call the SFPD Tip Line at 415-575-4444.
Asistan doktorlar grevde: Yeni iş yavaşlatma çağrıları,"The translation of the Turkish text is: ""Assistant doctors on strike: New work slowdown calls""",Junior doctors strike: Calls for fresh industrial action
"Asistan doktorların temsilcileri, yeni bir sözleşme hakkındaki anlaşmazlık ile ilgili olarak sendikalarının iş yavaşlatma izni vermesini istedi.",The representatives of assistant doctors requested that the unions grant them permission to slow down work related to the disagreement over a new contract.,Representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract.
İngiliz Tabipler Birliği (BMA) Asistan Doktorlar Komitesi (JDC) genel konseye Eylül başından itibaren daha fazla iş yavaşlatma eylemini desteklemesi için çağrıda bulundu.,The British Medical Association (BMA) Assistant Doctors Committee (JDC) called on the general council to support a slowdown in work from September onwards.,The Junior Doctors Committee (JDC) of the British Medical Association (BMA) is to ask its full council to back more industrial action from early September.
"JDC, bakanların sözleşme ile ilgili endişeleri gideremediğini ifade etti.","The translation of the Turkish text to English is: ""JDC expressed that it could not alleviate the concerns of the ministers regarding the contract.""",The JDC says ministers have failed to address concerns about the contract.
"Asistan doktorlar ve tıp öğrencileri, BMA ile yapılan sözleşme anlaşmasında ret oyu kullandı.","The translation of the Turkish text to English is: ""Assistant doctors and medical students used the negative vote in the agreement made with BMA.""",Junior doctors and medical students voted in July to reject a contract deal agreed with the BMA.
"Bu, oy veren üyelerin %58'i tarafından reddedildi.",This was rejected by 58% of the voters.,It was rejected by 58% of its members who voted in the ballot.
"Perşembe gecesi Twitter'da yayınlanan bir yazıda, JDC başkanı Ellen McCourt, hükümetin sözleşmenin reddedilmesine neden olan sorunlar konusunda ""ısrarla sessiz"" kaldığını belirtti.","On Thursday evening, a written statement published on Twitter by JDC President Ellen McCourt mentioned that the government remained ""silent with insistence"" regarding the issues that led to the rejection of the contract.","In a letter to members released on Twitter on Thursday night, the JDC's chair Ellen McCourt said the government had remained ""persistently silent"" on issues which, she said, had resulted in the contract being rejected."
"Kendisi şunları söyledi: ""Bunun ışığında, JDC Yönetim Kurulu, önerilen yeni sözleşmeyi tamamıyla reddetme yönünde oy kullandı ve endişeler konusunda yeniden resmi müzakere başlatılması çağrısında bulundu.""","The translation of the Turkish text to English is:
 ""In light of this, the JDC Board of Directors voted entirely against the proposed new contract and called for the official negotiations to be restarted regarding the concerns.""","She said: ""In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns."""
"JDC yönetimi, hükümetin sessizliğine yanıt olarak, BMA Kurulunun Eylül ayı başından itibaren iş yavaşlatmayı artırma yönünde bir programa izin vermesi için resmi bir talepte bulundu.","The JDC management, in response to the government's silence, requested an official permission to implement a program that would slow down work starting from the beginning of September through the BMA Council.","In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September."
"Anlaşmazlık, asistan doktorların bu sene NHS tarihindeki ilk topyekün kesintiyi de içeren altı greve katılmasına neden oldu.","The text translates to: ""The disagreement led to the first comprehensive interruption of NHS history this year, including the six strikes that the assistant doctors participated in.""","The dispute has led to junior doctors taking part in six strikes this year, including the first all-out stoppages in the history of the NHS."
"BMA'daki asistan doktor lideri Dr. Johann Malawana, BMA'nın önerdiği sözleşme şartlarına ret oyu verilmesinin ardından istifa etti.","Dr. Johann Malawana, the leader of the assistant doctors at BMA, resigned after casting a negative vote on the contract conditions proposed by BMA.","The BMA's junior doctor leader, Dr Johann Malawana, resigned following the vote to reject the negotiated terms of the contract, which the BMA had recommended."
54.000 asistan doktor ve tıp öğrencisinin oy vermesi öncesindeki toplantılar sırasında BMA üyelerine bunun kabul edilmesi gereken iyi bir anlaşma olduğunu söylemişti.,"The text translates to: ""Before the meetings where 54,000 assistant doctors and medical students would vote, he told BMA members that this agreement was a good one that should be accepted.""","He had told BMA members the deal was a good one that should be accepted, during meetings ahead of the poll of 54,000 junior doctors and medical students."
"Oylamanın ardından, Sağlık Bakanı Jeremy Hunt, sözleşmenin İngiltere'deki doktorlar için geçerli olacak şekilde uygulamaya konacağını belirtti.","After the vote, Health Secretary Jeremy Hunt announced that the contract will be implemented for doctors in England in a way that is valid for them.","Following the vote, Health Secretary Jeremy Hunt said the contract would be imposed on medics in England."
Rusya ve Türkiye: Bir 'uyumsuzlar ittifakı' mı?,Is Russia and Turkey: A 'non-agonists alliance'?,Russia and Turkey: An 'alliance of misfits'?
"Bu, krizi sonlandıran bir jestti.",This was a gesture that ended the crisis.,It was a gesture that ended a crisis.
"Rusya ve Türkiye'nin liderleri, Salı günü el sıkışmak ve kelimelerle ve ekonomik yaptırımlarla sürdürülen sekiz aylık savaşın resmi olarak sonlandırıldığını duyurmak için bir araya geldi.","The leaders of Russia and Turkey gathered on Tuesday to announce that the eight-month war, which has been ongoing with verbal and economic sanctions, has officially come to an end.",The leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.
