source,translation_clean,reference
Kaks mõjukat naist jagavad oma edu saladusi,"Two gossiping women share each other's secrets.

Note: This is a literal translation of the Estonian sentence. A more natural-sounding translation in English might be: ""Two women who enjoy gossiping share each other's secrets.""",Two Powerhouse Women Share Their Secrets for Success
Mis on ühist Barbara Corcoranil ja Laila Alil?,"What is the relationship between Barbara Corcoran and Laila Ali?

(Note: I'm assuming that you are asking about the relationship between these two individuals in a general sense, as I couldn't find any specific information about a personal or professional relationship between them. If you are referring to something specific, please provide more context.)",What do Barbara Corcoran and Laila Ali have in common?
Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"At the opening night, these women have come from two completely different worlds.","On paper, the women are from two very different worlds."
"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real estate magnate Barbara Corcoran managed to turn a $1,000 loan into a $5 billion real estate empire before showcasing her business acumen on television as an investor on the ABC reality show ""Shark Tank.""","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank."
"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali has followed in her father's footsteps, becoming an undefeated four-time champion and the most successful female boxer, before adding television host, author, and speaker roles to her resume.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume."
"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Without considering those unique designer brands (or hopefully because of them), both women are certainly encouraged by TJ Maxx to speak to business leaders about breaking stereotypes and achieving ambitious goals.","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs."
"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx conducted a survey in rainy weather in stores across the country and found that 80 percent of women feel that society has stereotypically assigned them specific roles and expectations.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations."
"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.","Therefore, they emerged from the project ""The Maxx You Project"" to help women break through barriers.",So they launched The Maxx You Project aimed at helping women break those barriers.
"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Corcoran and Ali know something about it as well. They might be of the same kind, but the journey there has not been suitable for either of them.","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman."
Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,Corcoran mainly received D grades in high school and college and has already worked at 20 different jobs by the age of 23.,"Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23."
