source,translation_clean,reference
બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,"After being declared a emergency, thousands were frightened in Central Park.",Thousands in Central Park panic after barrier collapse
એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,"Due to the lathi charge on protesting policemen in a royal program, thousands of people escaped from the central park out of fear of the scattering of color powders.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,The Democratic New York government has requested,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,"After falling ill on Sunday morning, the authorities have assured the local people that they are safe.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Social activists have strongly condemned the incident of a brutal lathi charge.,Burning social justice issues dominated the event that started on a sunny afternoon.
"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.","A large queue of over 60,000 people formed for the global citizens festival, where it was possible to go through the line using a card, debit card, credit card, and even other pop star lanes.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,I have told my Congress members to inform the examiners of the Supreme Court about the amount of brett (scholarship) that many speakers are willing to contribute during this week's senate session for the nominee of the Superior Court.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","""From October, 2000 crore people will be affected by hunger, as per a letter written by PM Modi""

(Note: The number 2000 crore is equal to 200 million. Also, the word ""hajar"" in Gujarati means ""thousand"" and ""lakh"" means ""hundred thousand"". So, when used together as ""2000 crore"", it means 200 million.)",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.
મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,Maharashtra: Social worker Anna has announced a plan to provide food to the hungry from the beginning of October.,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.
અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,"It was announced by the leader of thousands of grams (a gesture indicating a large number) that the BJP's government has come into power in the center with the intention of bringing happiness to the people, and that is why it has arrived in the state.",Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.
પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,"However, even after four years, the government continues to strike against public welfare and people's rights for no reason.",Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.
તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,He said that he will start a hunger strike from the first of October along with the other activists and they are determined on this decision.,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision."
"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.","Thousands of people have written a letter to Prime Minister Modi in Gujarat stating that in the past four years, the government has not incurred any unnecessary expenditure and has not made any anti-people policies.",Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.
"અન્નાએ લખ્યું કે, લોકપાલ અને લોકાયુક્તની નિયુક્તિ માટે 16 ઓગસ્ટ 2011ના રોજ દેશ આખો રસ્તા પર ઉત્તરી આવ્યો હતો.","It is written in the news that on August 16, 2011, the monsoon trough had moved to the northern part of the country for the regulation of people and population.

(Note: The translation might not be accurate as the original Gujarati text seems to be a bit unclear and could have different interpretations.)","Anna wrote that on 16th August 2011, for the election of the Lokpal and Lokayukt, the whole country was marching on the roads."
