source,translation_clean,reference
Tūkstantinės minios panika Centriniame parke griuvus barjerui,"A thousand people panic in the Central Park due to a fallen barrier.

Note: The Lithuanian word ""minios"" means ""people"" and ""barjerui"" means ""barrier"". The word ""panika"" is a noun here, derived from the verb ""panikuoti"" which means ""to panic"". The sentence structure and grammar have been adapted to create a grammatically correct and idiomatic English sentence.",Thousands in Central Park panic after barrier collapse
"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.","Thousands of people, fearing possible stampedes at a political rally, began to run in Central Park, crashing into a police barricade.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show."
"Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.","Known personalities - Democratic Party representative and New York Governor Andrew Cuomo, Republican Senator Jeff Flake, Janet Jackson, John Legend - gathered to pay attention to the country's politics.",Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.
"Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.","While sliding down the fairground slide on Saturday evening, the regulatory institutions quickly confirmed to the visitors that they are safe.

Note: The sentence seems to be a bit unusual, as it describes a situation where regulatory institutions are confirming safety at a fairground slide. However, I have translated it as accurately as possible based on the provided text.",Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.
Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,"At the sunny (saulėtą) beginning (prasidėjusiame) of the event (rengyne), most (daugiausia) was talked about (kalbėta) social justice (socialinį teisingumą).",Burning social justice issues dominated the event that started on a sunny afternoon.
"Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.","Around 60,000 spectators gathered at the Great Ocean for the Universal Citizen Festival, where Cardi B, The Weeknd and other pop stars were set to perform.","About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars."
Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,Some speakers have requested that viewers contact their congressional representatives and express their opinion about this week's Senate meetings regarding Brett Kavanaugh's candidacy for the Supreme Court.,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.
Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,"The Alastair Seeley ""British Supersport"" series is not trusted in the Asten races

Note: This translation might not make sense in English as the original Lithuanian text seems to have a mistake or missing context. The name ""Alastair Seeley"" is a motorcycle racer known for his success in the British Supersport series, and ""Asten"" seems to be a typo or a mistake, as it doesn't refer to any known location or event in the context of motorcycle racing.",Alastair Seeley continues British Supersport winning run at Assen
Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,"Alastair Seeley retains the winner's position in the ""British Supersports"" championship.",Alastair Seeley has continued his winning form in British Supersports
"Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.","Alastair Seeley clinched his third title in the ""British Supersport"" championship, winning the 12-lap sprint held on Saturday in Assen, Netherlands.",Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.
"Lenktynininkas iš Karikferguso 0,05 sek. aplenkė „Yamaha“ vairuojantį Jacką Kennedy.","The cyclist from Karikfergus delayed Jack Kennedy, who was riding a ""Yamaha"", by 0.05 seconds.

(Note: I am assuming that ""Lenktynininkas"" means ""cyclist"" and ""Jacką Kennedy"" is a person's name ""Jack Kennedy"". Also, I am assuming that ""Yamaha"" is a brand of a motorcycle. If any of these assumptions are incorrect, please let me know and I will revise my translation accordingly.)",The Carrickfergus rider took the chequered flag by 0.05 seconds from fellow Yamaha rider Jack Kennedy.
38 m. nugalėtojas šį mėnesį taip pat triumfavo Silverstone ir Oulton parke.,The 38-year-old champion was victorious this month at Silverstone and Oulton Park as well.,The 38-year-old also won races at Silverstone and Oulton Park this month.
"Seeley’is atstovauja Šiaurės Airijos komandai „EHA Racing“, su kuria gegužės mėn. jis jau laimėjo tarptautines „North West 200“ lenktynes.","Seeley represents the Northern Irish team ""EHA Racing,"" with which he already won the international ""North West 200"" races in May.",Seeley is competing for the Northern Ireland-based EHA Racing outfit for whom he won a race at the North West 200 international road races in May.
"Buvęs Britanijos čempionas visas lenktynes rungėsi su Kennedy ir, nepaisant visų dubliniečio pastangų, jam nepavyko pralenkti varžovo iš Šiaurės Airijos.","The former British champion wrestled with Kennedy throughout and, ignoring all the precautions of the Dubliners, he could not deflect the opponent from Northern Ireland.",The former British champion and Kennedy were involved in a race-long scrap and despite the Dubliner's last-ditch attempts he was unable to squeeze past the Northern Irishman.
Seeley’io komandos draugas Davidas Allinghamas šeštadienio „Supersport“ lenktynėse liko septintas.,"David Allingham, a friend of Sébastien Loeb's team, finished 7th in the SuperSport race on Saturday.",Seeley's team-mate David Allingham was seventh in Saturday's Supersport race.
Scottas Swannas „British Talent Cup“ lenktynes baigė aštuntas.,"The Scott's Swann's ""British Talent Cup"" races have ended.

Note: I'm assuming that ""Scottas Swannas"" is the name of the person or entity responsible for the races, and ""British Talent Cup"" is the name of the racing series. If my assumptions are incorrect, please let me know!",Scott Swann was eighth in the British Talent Cup race.
