source,translation_clean,reference
"上周,古装剧《美人私房菜》临时停播,意外引发了关于国产剧收视率造假的热烈讨论。","Last week, the costume drama ""Meiren Sifangcai"" was suddenly taken off the air, which unexpectedly triggered heated discussions regarding the fabrication of viewership ratings for domestic dramas.","Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas."
民权团体针对密苏里州发出旅行警告,Civil rights organizations have issued a travel alert for the state of Missouri.,Civil rights group issues travel warning for Missouri
"由于密苏里州的歧视性政策和种族主义袭击,美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。","Due to discriminatory policies and racist attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) has issued a travel advisory for people of color planning to visit Missouri.",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.
"“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁,因近期密苏里州发生了一系列可疑的种族性事件,所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度,特此告知,”该团体的声明宣称。","The NAACP's travel advisory for Missouri, which went into effect on August 28, 2017, urges African American travelers, tourists, and Missouri residents to exercise extreme caution while traveling in Missouri, due to a series of suspicious racial incidents that have recently occurred there, the statement by the organization claims.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads."
"NAACP 指出,最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼,该州执法也一定程度上针对少数群体,这些现象促使该组织发布了旅行警告。","The NAACP has pointed out that a recently passed law in Missouri makes it harder for people to win discrimination lawsuits, and law enforcement in the state is to a certain extent targeting minority groups, leading the organization to issue a travel warning.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said."
侵犯公民权利的行为正发生在人们身上。,"""Infringing on citizens' rights is happening to people.""

This sentence asserts that there are actions taking place that violate the rights of individual citizens. However, it is a bit vague and could be more specific about what particular rights are being infringed upon or who is committing the infringement.","""You have violations of civil rights that are happening to people."
"他们因肤色被停车盘问,被殴打或被杀害,”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。","""They are stopped, questioned, and sometimes beaten or even killed because of the color of their skin,"" Rodney T. Quinn, president of the Missouri NAACP, told the Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star."
"“我们收到了许多投诉,数量前所未有。”",We have received an unprecedented number of complaints.,We are hearing complaints at a rate we haven't heard before.
这是该组织在美国针对某个州发布的第一个此类警告。,This is the first warning of this kind that this organization has issued in the United States targeting a specific state.,It is the first such warning that the organization has issued for a state in the US.
该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"This organization has referenced race-baiting against black students at the University of Missouri and the death of a 28-year-old black man, Trayvon Martin, in Tennessee.

Correction: The second part of the sentence should specify the state where the incident occurred. Based on my research, Trayvon Martin was a black teenager from Florida, not Tennessee. Here is the corrected translation:

This organization has referenced race-baiting against black students at the University of Missouri and the death of a 28-year-old black man, Trayvon Martin, in Florida.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee."
"今年早些时候,桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽,被密苏里州警方在无指控犯罪的情况下拘留。","Earlier this year, Sanders died under suspicious circumstances. He ran out of fuel while traveling in the state of Missouri and was detained by the Missouri State Police without any criminal charges.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime."
"咨询中还指出,密苏里州总检察长办公室最近的一份报告显示,“与白人相比,该州的黑人司机被停车盘查的可能性要高出 75%”。","It is also noted in the consultation that a recent report from the Office of the Missouri Attorney General shows that ""the likelihood of black drivers being subjected to car searches in this state is 75% higher than that of white drivers.""",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.
"查培尔说:“该份咨询是为了提高人们的意识,警告他们的家人、朋友和同事在密苏里州可能发生的情况。”","Qu Pixel said, “This consultation is to raise people’s awareness and warn their families, friends, and colleagues about possible situations in the state of Missouri.”","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said."
"“人们需要做好准备,无论是携带保释金前往密苏里州,还是让亲属知道自己在州内旅行”。","People need to make preparations, whether it is to bring bail money when heading to the state of Missouri, or to let relatives know that they are traveling within the state.","People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state."
"根据联邦调查局仇恨犯罪报告计划的最新数据,密苏里州在 2015 年记录了 100 起仇恨罪行;根据罪行量,该州在全国排名第 16 位。","Based on the latest data from the Federal Bureau of Investigation's Hate Crime Statistics Program, Missouri recorded 100 hate crimes in 2015; by number of crimes, the state ranks 16th in the nation.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations."
"旅行警告也是对密苏里州新法律的回应,该法律将使起诉住房或就业歧视企业变得更加困难。","The travel warning is also a response to the new law in Missouri, which will make it more difficult to sue businesses for housing or employment discrimination.",The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.
"此前,美国各州通过了移民执法法律,要求当地执法部门拘留移民违规人员,美国公民自由联盟 (ACLU) 表示此举会增加种族诉讼数量,并发布了针对德克萨斯州和亚利桑那州的旅行咨询。","Prior to this, several states in the United States have passed immigration enforcement laws, requiring local law enforcement to detain undocumented immigrants. The American Civil Liberties Union (ACLU) has stated that this action will increase the number of racial discrimination lawsuits, and has issued travel advisories specifically for Texas and Arizona.","Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling."
"旅行警告通常是由美国政府针对其他国家发布的,但最近,咨询团体采取这一方式以应对美国境内的某些法律和趋势。","Travel warnings are usually issued by the US government regarding other countries, but recently, advisory groups have adopted this method to address certain laws and trends within the US.","Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US."
"经历2015年票房猛增的“黄金时代”后,2016年整体电影市场进入了冷静期,能否突破去年440.69亿元的总票房成绩都成为一个悬念。","After experiencing the ""golden age"" of explosive box office growth in 2015, the entire film market entered a period of calm in 2016, with whether it can break through the total box office revenue of 440.69 billion yuan last year becoming a suspense.","After experiencing the “golden era” of a soaring box office in 2015, the film market retreated into a cooling-off period in 2016. Whether box office takings could surpass last year’s total of RMB44.069 billion is questionable."
"从国家统计局公布的数据看,10月,北京新房和二手房价格双双降温,环比仅上涨0.6%和1.1%。","According to data released by the National Bureau of Statistics, both new and second-hand house prices in Beijing cooled down in October, with month-on-month increases of 0.6% and 1.1% respectively.","Data from the National Bureau of Statistics revealed that in October, prices of new and second-hand residential properties cooled, up 0.6% and 1.1% month-on-month, respectively."
现任欧足联首席技术官的卢佩斯库在本次大会上做了一份关于2016年欧锦赛以及上赛季欧冠联赛的技术报告。,"The current Chief Technology Officer of UEFA, Luis Rubiales, gave a technical report on the 2016 European Championship and the last season of the UEFA Champions League at this conference.","Lupekscu, the current Chief Technology Officer of UEFA, made a technical report on the 2016 UEFA Euro and the last season of European Champions League at the meeting."
BBC称北京成最激动人心城市:让老外感觉“生活在新时代”,BBC Describes Beijing as the Most Exciting City: Makes Foreigners Feel 'Living in a New Era',BBC claims that Beijing has become the most exciting city: making foreigners feel like “living in a new age”
"参考消息网1月18日报道英媒称,北京或许有三千年的悠久历史,但它也在迅速变身为今天的现代魅力都市。","According to a report by Cankaoxiaoxi on January 18, Western media said that Beijing, which may have a history of three thousand years, is also rapidly transforming into a modern metropolis with contemporary charm.",Reference News Network reported on January 18 that the British media organization has noticed that Beijing is rapidly transforming into a glamorous modern city in spite of the fact that it is 3000 years old.
"这座中国首都拥有速度高得惊人的互联网,有人脸识别软件等尖端技术,在人工智能方面投入了巨资并且拥有无可匹敌的国际化能量,它对富于探索精神的外国人而言是最激动人心的城市之一。","This capital city of China possesses internet speed that is breathtaking, with facial recognition software and other cutting-edge technologies. It has invested enormous resources in the field of artificial intelligence and has unmatched international energy. For foreigners who are rich in exploration spirit, it is one of the most exhilarating cities.",The Chinese capital is interconnected by amazingly high-speed Internet and has implemented cutting-edge technologies such as face recognition. It has invested heavily in artificial intelligence and has an unmatched capacity of internationalization. It is one of the most exciting cities for foreigners who are eager to explore the world.
"据英国广播公司网站1月16日报道,德国侨民克莱门斯·塞希说:“如果我能在那儿成功,我以后在任何地方都能成功。”他引用的是歌手弗兰克·西纳特拉歌颂纽约市的歌词。","According to a report on the BBC's website on January 16, German expatriate Klaus Siehi said, ""If I can succeed there, I can succeed anywhere in the future."" He quoted lyrics from the song ""New York, New York"" sung by Frank Sinatra.","According to a report on the BBC website on January 16, the German expatriate Clemens Sage said: 'If I can succeed there, I can succeed anywhere.' He quoted a song written by singer Frank Sinatra to praise New York City."
"在《旅行者档案》杂志担任创意总监的塞希说:“如果西纳特拉活到今天,他很可能会歌唱北京这样的城市。”他说,生活在这座城市会让你感觉“生活在新时代”,总是能跟上潮流。","As the creative director of the ""Traveler's Archive"" magazine, Saxi (Cecilia) said, ""If Sinatra were alive today, he would probably sing about a city like Beijing."" She said that living in this city makes you feel like ""you are living in a new era,"" always able to keep up with the trend.","Sage, who served as Creative Director of Traveler Archives, said: ""If Sinatra lives today, he is likely to sing a song for Beijing."" He said that living in this city will make you feel like “living in a new age”, which means that you can always keep up with the trends."
"老家位于英格兰、但最近生活在北京的西蒙·诺顿在个人博客网站4Corners7Seas上发表文章说:“人们总体上有一种处于某种宏大事物中心的感觉,这种感觉很难说清楚,但它让许多外国人长久留在那里。他们想看看它会变成什么样,并且希望亲眼见证。”","In a recent article posted on his personal blog website 4Corners7Seas, Simon Nelson, who hails from England but currently resides in Beijing, wrote: “People generally have a sense of being at the center of some grand event, a feeling that is hard to put into words but keeps many foreigners staying there. They want to see what it will become and hope to witness it with their own eyes.”","Simon Norton, who originates from England had been living in Beijing in recent years, published an article on personal blog site 4Corners7Seas saying: “People generally have a feeling of being at the center of something grand. Although this feeling is hard to describe clearly, it is the reason why so many foreigners stay there for a long time. They want to see what it will become and hope to witness it. ”"
"报道称,这座城市优质高速的互联网和对技术友好的环境使日常生活比以往任何时候都更容易。",The report states that this city's high-quality high-speed internet and friendly attitude towards technology make daily life easier than ever before.,"According to reports, the city's high-quality, high-speed Internet and technology-friendly environment make everyday life easier than ever before."
"来自马尼拉、目前在“北京儿童”网站担任副总编的安迪·佩尼亚富埃尔特说:“北京正在迅速转变为一个无现金社会,互联网把传统钱包的功能整合到智能手机上,使每个人都能更容易地进行许多交易。”","Andy Peninueva Ferelte, who is from Manila and currently serves as the vice president of editing at the ""Beijing Children"" website, said: ""Beijing is rapidly transforming into a cashless society, with the internet integrating the functions of traditional wallets into smartphones, making it easier for everyone to conduct numerous transactions.""","Andy Peñafuerte, who originates from Manila and is currently the deputy editor-in-chief of the website Beijing Children, said: ""Beijing is rapidly transforming into a cashless society. The Internet integrates the functions of traditional wallets into smart phones, making it easier for everyone to conduct various transactions."""
"报道表示,但智能手机只是北京技术雄心的开始,面部识别软件已经十分普及,许多手机应用都使用这种技术来进行银行转账和支付、让人们进入公寓和办公室,甚至用它来核实网约车司机的身份。","The report states that smartphones are just the beginning of Beijing's technological ambitions, with facial recognition software already being widely used. Many mobile applications use this technology for bank transfers and payments, allowing people to enter apartments and offices, and even verifying the identity of drivers for ride-hailing services.","According to reports, smart phones are just the beginning of Beijing's technical ambitions. Face recognition technology is being widely used across the city. Many mobile phone applications use this technology to facilitate bank transfers and payments, grant people access apartments and offices, and even use it to verify identity of the drivers providing car-hailing service."
"北京最近还宣布计划斥资138亿元人民币修建一个人工智能科技园,建成后将有逾400家企业在那里落户,它们将专注于开发从生物测定到自动驾驶汽车的各种人工智能技术。","Recently, Beijing announced a plan to invest 138 billion yuan in building an artificial intelligence technology park. After its completion, more than 400 companies will be housed there, focusing on developing various artificial intelligence technologies ranging from biological detection to self-driving cars.","Beijing recently announced plans to invest 13.8 billion yuan in the construction of an artificial intelligence technology park. When it is completed, more than 400 companies will settle there. They will focus on the development of artificial intelligence technologies ranging from biometrics to self-driving cars."
"食品也是中国历年诸多重大节日的核心,参加这些庆祝活动受到外国人的推崇,春节是最重要的社会和经济节日,也是外国人最容易参与的节日之一。","Food is at the core of many major holidays in China, which are admired by people from overseas. The Chinese New Year, or Spring Festival, is the most important social and economic holiday, and also one of the holidays that is easiest for foreigners to participate in.","Food plays a central role in China’s many major traditional festivals. Foreigners are enthusiastic about these festivals. The Spring Festival is the most important festival in both social and economic sense, and it is also one of the most enjoyable festivals for foreigners."
"塞希说:“我建议帮助中国朋友为过年做准备,打扫公寓和在家门贴上写有新年祝福语的红色春联同等重要,在除夕那一天,所有的家庭成员都要齐集一堂吃一顿丰盛的大餐,然后守岁到午夜,用绚丽响亮的焰火迎接新年。对外国人而言,与朋友和家人共度这个夜晚的确是一个融入的机会。”","Sai Xi said, “I suggest helping our Chinese friends prepare for the new year, which includes cleaning the apartment and putting up red spring couplets with new year wishes on the door. It is equally important to have all family members gather for a lavish dinner on New Year’s Eve and stay up until midnight to welcome the new year with vibrant and loud fireworks. For foreigners, spending this night with friends and family is indeed an opportunity to immerse yourself in the culture.”","Sage said: “It's a pleasure for me to help Chinese friends prepare for the New Year. It is equally important to clean the apartment and paste the red spring couplets with blessing words on the door. On New Year’s eve, all family members must gather together to have a good meal and stay until midnight, and finally to celebrate the New Year with fireworks. For foreigners, spending the night with friends and their family is indeed an opportunity for blending. ”"
"报道称,北京的外国人数量众多而且在不断增长,但中国的语言障碍以及侨民之间交流的便利很容易成为他们不完全融入当地文化的借口。","The report states that the number of foreigners in Beijing is large and continues to grow, but China's language barriers and the convenience of communication among expatriates can easily become reasons for their not fully integrating into local culture.","According to reports, a large number of foreigners are living in Beijing and the number is growing. However, the language barrier and the convenience of exchanges between the expatriates can easily become excuses for not fully integrating into the local culture."
