file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Kamerad Camille Auer haluaa muuttaa sukupuoltaan, hän on sairastunut psykologisesta sairastumisesta ja on nyt tehnyt töitä tämän aiheen käsittelemiseksi – ""Kansalaisilla on oikeus omaan elämänsä"".","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""",0.8591181635856628
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"Kymiä on kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmenen kertaa, ja ne ovat nyt jäämässä ilman kirjoja, kun taas kirjoitukset ovat kirjoitettu kymmen",Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,0.34650304913520813
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,The name of Camille Auer is written on every one of them.,Camille Auer haa kirjoitettu kaikissa niissä nimiinsä.,Jokaisessa niissä lukee Camille Auerin nimi.,0.6218697428703308
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"answer:
The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity – and how she has been portrayed in the media.","Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",0.4742639660835266
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,decided on who she is on her behalf.,"Answer:
Decidiamo che chi si è su di lui.",Päättäneet hänen puolestaan kuka hän on.,0.3922159671783447
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","Answer:
""Jokin aion ilmoittaa henkilökohtaisen lääketieteellisen historiallisen asian, jotta voisin korostaa, miten väkivaltaisesti koko prosessi on suoritettu"", sanoo Auer.","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.",0.7349613308906555
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"Here, ""process"" refers to her sex reassignment procedure.","Tässä tapauksessa ""prosessi"" tarkoittaa hänen sukupuolisen suuntautumisprosessinsa.",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,0.8407832980155945
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","On kestää monen vuoden kokemuksen, johon kuuluu keskustelut psykologista, psykiatrista, lääkäriä ja asiantuntijoista.","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.",0.7551348805427551
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Answer:
Tässä prosessissa käynnistetään suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suorittamalla suor","Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",0.27705445885658264
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,Auer's process started four years ago.,Auerin prosessi alkoi neljän vuoden sitten.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,0.9477221369743347
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"Before this, she had already been using oestrogen ordered from the internet and was also otherwise far in her own reassignment procedure.","Answer:
Enäinen oestroonia käytettiin jo ennen tätä, ja hän oli myös muuten jo oikeastaan kaukana oman sukupuolisen suuntautumisen käsittelystä.",Jo ennen tätä hän oli käyttänyt internetin kautta tilaamaansa estrogeeniä ja oli muutenkin hyvin pitkällä omassa korjausprosessissaan.,0.6693064570426941
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"Even though she felt like a woman, Finnish legislation states that an individual must undergo a reassignment procedure before the gender can also be altered legally.","Vaikka hän oli mielestäni naisen, lainsäädännössä määrätään, että yksilö on todistettava uudelleen sukupuolesta, jotta hän voi myös muuttaa oikeudellisesti.","Hän koki olevansa nainen, mutta Suomen lain mukaan henkilön täytyy käydä läpi korjausprosessi, jotta sukupuoli voidaan korjata myös juridisesti.",0.7012524604797363
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"The Act on the Legal Recognition of the Gender of Transsexuals (563/2002), or the trans act, obligates transgender people to a compulsory sterilisation so that their correct gender can be registered, for example, in the Population Register Centre and their passport.","Answer:
Kansallinen laki transseksuaalisten henkilöiden oikeudellisesta tunnustamisesta (563/2002), tai trans-laki, velvoittaa transseksuaalisia henkilöitä pakottamaan väärentämisen, jotta heidän oikeutensa tunnustetaan oikeutetusti, esimerkiksi kansalaisvirastossa ja passissa.","Translaki, eli laki transsek­suaalin sukupuolen vahvistamisesta (563/2002) velvoittaa transsukupuoliset ihmiset pakkosterilisaatioon, jotta oikea sukupuoli saadaan esimerkiksi väestönrekisterikeskukseen ja passiin.",0.7637709975242615
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,"Currently, each person about to change their gender is required to have a psychiatric diagnosis and a certificate of their inability to reproduce.","Nyt kaikki ihmiset, jotka aikovat muuttaa sukupuolensa, ovat vaatineet psykiatrisia lausuntoja ja osoittaneet, että heillä ei ole olemassa kotoutumistaan.",Tällä hetkellä jokaiselta sukupuoltaan korjaavalta vaaditaan psykiatrista diagnoosia ja todistusta lisääntymiskyvyttömyydestä.,0.6898550391197205
translations_OLMo-1B-0724-hf_fi-en_reverse.csv,OLMo-1B-0724-hf,fi-en,fi,en,reverse,People should have the right to decide on their own body.,Translate the following text from en to fi: People should have the right to decide on their own body.,Ihmiselle kuuluu oikeus päättää omasta kehostaan.,0.4525863826274872
