file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Ақша-несие саясатының сценарийін қайта жазсақ,Translate the following text from kk to en: Ақша-несие саясатының сценарийін қайта жазсақтыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңызыңы,Rewriting the Monetary-Policy Script,0.26061004400253296
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","MUNICH – How can the IMF, the World Bank and the European Central Bank explain the increase in inflation in the Middle East and North Africa?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.6789045333862305
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"The European Bank for Reconstruction and Development (EBRD) has approved a $100 million loan to help the government of Kazakhstan modernize its banking system.
****","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.5806118249893188
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The inflation rate in the last quarter of the year was 4.5%, which is a decrease of 0.5 percentage points compared to the previous quarter. The inflation rate in the first quarter of the year was 4.5%, which is a decrease of 0.5 percentage points compared to the previous quarter. The inflation rate in the second","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.5507392883300781
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The Bank of Kazakhstan is the central bank of Kazakhstan. It is the national bank of Kazakhstan and is responsible for the monetary policy of the country. The Bank of Kazakhstan is the central bank of Kazakhstan. It is the national bank of Kazakhstan and is responsible for the monetary policy of the country.
****
Q: Text: The B-25 Mitchell was a medium bomber aircraft of the United States Army Air Forces (USAAF) during World War II","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.43284666538238525
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","The European Commission has proposed a new model for the eurozone economy, which would be based on a ""stabilising"" budget deficit, rather than the ""deficit-based"" model that has been in place since the eurozone crisis began.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.6006039977073669
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","The Bank of England has warned that the UK economy is likely to be hit by a sharp fall in consumer spending and a sharp rise in interest rates.
****","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.6598553657531738
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"The Biraq is a traditional Turkish dish made with lamb, rice, and spices.",There is plenty of reason to question this assumption.,0.3923429250717163
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Biriin shidien, oyzhaydaryn qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy o'zylgan, qo'yshiy","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.26398444175720215
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.",The Akcha people of the Akcha region of the southwestern coast of the Gulf of Guinea are a people of the Niger-Congo family. They are known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving of mats and baskets. The Akcha people are also known for their traditional weaving,"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.3447602093219757
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.",The company has a strong commitment to the environment and is committed to the principles of sustainable development. The company has a strong commitment to the environment and is committed to the principles of sustainable development.,"Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.",0.4839225113391876
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","The first thing you need to do is to get the right formula. The formula is:
kk to en","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.",0.47601765394210815
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.",Belgium is a country in Europe. It is the second largest country in Europe. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest country in the European Union. It is the largest,"This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.",0.2704566419124603
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Жекелеген орталық банктер мен экономистер үшін бұл – қасиетті нәрсені қорлау болар еді.,"The European Commission's Economic and Monetary Affairs Commissioner Olli Rehn said that the ECB's decision to buy bonds was a ""very important step"" in the fight against the economic crisis.","For individual central banks or economists, to do so would be sacrilege.",0.5943112969398499
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Орталық банктер бұл саясаттың экономикалық шығындарын, атап айтқанда қаржы нарықтарының шектен тыс толып кетуі, жинақтаушы зейнетақы жүйелеріндегі қаржылық жыртықтарды жамау қажеттігі, байлар мен кедейлер арасында теңсіздіктің артуы сияқты мәселелерін толық жоққа шығармайды.","The Bank of Kazakhstan has been working to improve the economic situation in the country, and the Bank of","Central banks do not completely deny the economic costs that these policies imply: exuberance in financial markets, financing gaps in funded pension systems, and deeper wealth inequality, to name just a few.",0.45840293169021606
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,Бірақ инфляцияның нақты белгіленген межесіне жету үшін бұл – оңтайлы баға.,"The inflation rate in the euro area is expected to be close to zero in the second half of the year, and to be close to zero in the third quarter of the year.",But these costs are deemed an acceptable price to pay to reach the clearly defined inflation level.,0.6027657389640808
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Бірақ, соңғы жылдары жүргізілген саясат материалдық емес активтерге орын қалдырмады, тұрақсыз саяси жағдай, геосаяси тартыстар, қаржы нарықтарындағы тәуекелдің артуы – бұлар модельді бағытынан тайдыруы мүмкін.","Biraq, a Kurdish-language newspaper, was founded in Istanbul in 2007. The newspaper is published in both Turkish and Kurdish. The newspaper is a member of the Kurdish Media Association. The newspaper is published in both Turkish and Kurdish. The newspaper is a member of the Kurdish Media Association. The newspaper is published in both Turkish and Kurdish.","Yet the policies pursued in recent years have given no room for the intangibles – unstable political environments, geopolitical tremors, or rising risks on financial markets – that can send models off course.",0.35300880670547485
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"2008 жылғы дағдарыс дәлелдегеніндей, тәуекелді қалыпты нормада белгілеудің өзі іске алғысыз болып қалды.","2008 года, деңдарыс дәлелдегеніндей, тәуекелді қалыпты нормада белгілеудің өзі іске алғысыз болып қалды.","As the 2008 financial crisis illustrated, the normal distribution of risk was useless for predictions.",0.40337425470352173
translations_OLMo-1B-0724-hf_kk-en_original.csv,OLMo-1B-0724-hf,kk-en,kk,en,original,"Кейнс белгісіздік тұтынушы мен инвестордың үмітін азайтатындай күшті болса, онда ақша-несие саясаты тиімсіз болып қалады дегенді айтудан шаршаған емес.","The Belarusian-speaking community in Canada is a vibrant and growing community, and the Belarusian National Council of Canada is a non-profit organization that was founded in order to promote the Belarusian language and culture in Canada.",Keynes never tired of arguing that monetary policy becomes ineffective if uncertainty is sufficient to destabilize the expectations of consumers and investors.,0.4488019347190857
