file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,Rewriting the Monetary-Policy Script,The Bank of England has been accused of rewriting the script for monetary policy.,Ақша-несие саясатының сценарийін қайта жазсақ,0.3627626299858093
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"Answer:
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?","МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",0.36841145157814026
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.","Answer:
Ei ole mitään järkeä, että keskuspankit kieltäytyvät käyttämästä nimellistä rahapolitiikkaa, joka on selvästi hyödyllinen. Keskuspankit on kuitenkin syytä avata silmänsä nimellisen rahapolitiikan mahdollisuuksille.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,0.6032482981681824
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Answer:
The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.",0.3996483385562897
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.","Answer:
Este abordamento tem significado que, a medida que os tais preços atingem ou aproximam zero, os bancos centrales têm pouco opção de ativar programas de aprovacao de ações que são de acordo com a ideia de que, quando os preços atingem ou aproximam zero, os bancos centrales têm pouco opção de ativar programas de aprovacao de ações que são de acordo com a ideia de que, quando os preços atingem ou aproximam zero, os bancos centrales têm pouco opção de ativar programas de aprovacao de ações que são de acordo com a ideia de que, quando os preços atingem ou aproximam zero, os bancos centrales têm pouco opção de ativar programas de aprovacao de a",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,0.28346672654151917
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Answer:
Kun tilanteita vaaditaan, hallitukset luovat ennakkoluulojaan ja luovat ennakkoluulojaan uusia kehitysmahdollisuuksia.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.",0.28198888897895813
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Answer:
(DE) Arvoisa puhemies, arvoisa komission jäsen, hyvät kollegat, olen samaa mieltä siitä, että talouspolitiikka on keskeinen tekijä, joka vaikuttaa talouskasvuun ja inflaatioon.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.",0.4356432259082794
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,There is plenty of reason to question this assumption.,There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,0.5809354782104492
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Answer:
For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.",0.4123029112815857
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Translate the following text from en to kk: If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.",0.27990102767944336
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.","Answer:
De même, les entreprises sont aujourd'hui confrontées à un tel nombre d'incertitudes et de risques que les coûts de capital de plus en plus bas n'ont pas incité les entreprises à investir davantage.","Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.",0.4616045653820038
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated. The Fed’s preferred method of doing this is to raise interest rates.","Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.",0.40581944584846497
translations_OLMo-1B-0724-hf_kk-en_reverse.csv,OLMo-1B-0724-hf,kk-en,kk,en,reverse,"This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.","Answer:
Este requiere que se desplieguen las tasas de interes a bajas, y cuando estas tasas se descienden hasta el nivel negativo, se debe utilizar instrumentos no convencionales como el “quantitative easing” para recuperar el crecimiento y la inflación.","Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.",0.3309776782989502
