file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","In English?
xxxxx
President of Russia Vladimir Putin signed a law on administrative responsibility for violation of the period and the order of payment of goods (work, services) in the course of procurement for the state and municipal needs.","Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.",0.7641195058822632
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,"Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to",This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,0.29633262753486633
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to you by Lyrics-K","Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.",0.3037795424461365
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,"Could you please translate this to English?
Answer:
We tried to make lyrics as correct as possible","At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",0.37773558497428894
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","In English?
xxxxx
Because the businessmen themselves could not cope with the unscrupulous customers who signed contracts without proper financing, they tried to evade their obligations by including illegal clauses in the contracts.","After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.",0.7600231766700745
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Проблема была системной в целом в стране.,The problem was with the system in the country.,The problem was systemic throughout the entire country.,0.7635956406593323
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","In English?
xxxxx
In 2015, 9,7 thousand public orders were submitted to the Prosecutor's Office for payment of public orders, 4,5 thousand public orders were submitted to the disciplinary responsibility of the Prosecutor's Office, 533 administrative bodies were submitted to the investigative","Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.",0.5359775424003601
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,The debt owed to the entrepreneurs was paid off in full.,"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",0.7163360714912415
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Translate this to English?
[A]:
The huge sums accumulated far from the result of unpaid billions of contracts.","Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",0.6134133338928223
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Песня The,Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,0.20870335400104523
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Вот характерный случай.,Here's a typical case.,Here is a typical case.,0.961426317691803
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,"Translate this to English?
[A]:
The winner of the competition for the provision of social transport services for several million rubles is a small company.",The head of a small company won a tender for the provision of social transport services worth several million rubles.,0.6660847067832947
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","Translate this to English?
[A]:
The man invested all his earnings, fulfilled all his obligations, but the money was not collected in time.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.",0.7139053344726562
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","Q: Translate ""The The V","The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.",0.22857925295829773
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Сейчас в ряде регионов проблему удалось максимально нивелировать.,Now in some regions the problem has been minimized.,"Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.",0.8147801756858826
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","In English?
xxxxx
However, as of the first half of 2017, the total amount of debt on state and municipal contracts identified by the Prosecutor General's Office of the Russian Federation amounted to about 27.4 billion rubles.","Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles.",0.8008735775947571
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to you by Lyrics-Keeper.""","In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management.",0.3430006802082062
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","Q: Translate ""The The Verve Pipe I'm","The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification.",0.26972857117652893
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Такие оперативные совещания в этом году уже прошли в Ярославле и Екатеринбурге.,"Translate this to English?
[A]:
Such operational meetings have already taken place in Yaroslavl and Ekaterinburg this year.","This year, these types of briefing sessions have already taken place in Yaroslavl and Yekaterinburg.",0.7157608866691589
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Качественно улучшить платежную дисциплину публичных заказчиков сможет реализация Федерального закона No 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для обеспечения государственных и муниципальных нужд"", который на прошлой неделе подписал президент России.","In English?
xxxxx
The Federal Law","The realization of Federal Law No. 189-FZ “On amending the Code of the Russian Federation on Administrative Offences in terms of establishing administrative liability for officials of a customer for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs”, which was signed by the Russian president last week, will qualitatively improve the payment discipline of public sector customers.",0.2729337215423584
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Проект закона был разработан Минэкономразвития России по инициативе Генпрокуратуры.,"Could you please translate this to English?
Answer:
We tried to make lyrics as correct as possible, however if",The Ministry of Economic Development and Trade of the Russian Federation developed the bill at the request of the Office of the Prosecutor General.,0.3426976799964905
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Новый закон дополнит Кодекс Российской Федерации об административных правонарушениях статьей, которая предусматривает штраф от 30 тыс. до 50 тыс. рублей за нарушение должностным лицом заказчика срока и порядка оплаты товаров, работ и услуг при государственных и муниципальных закупках.","How is ""The The Verve Pipe The Verve Pipe lyrics are brought to you by Lyrics-Keeper."" said in Russian?","The new law will add an article to the Code of the Russian Federation on Administrative Offences, which stipulates a penalty of between 30,000 and 50,000 rubles for violation of the deadline and procedures for payment of goods, works, or services as part of state and municipal procurements by an official of a customer.",0.3199382722377777
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"А если должностное лицо уже подвергалось административному наказанию за аналогичное правонарушение, то его ждет дисквалификация на срок от одного года до двух лет.","Q: Translate ""The The Verve Pipe The Verve Pipe lyrics are brought to","However, if the official has already been subject to administrative punishment for a similar offense, then they will be suspended for a period of between one to two years.",0.2752266824245453
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Все прокуроры субъектов Российской Федерации уже получили поручение обеспечить применение этих законодательных новелл на практике.,Песня,All the prosecutors for the constituent entities of the Russian Federation have already received instructions to enforce the application of these legislative innovations in practice.,0.2782299220561981
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Группа защиты гражданских прав объявила предупреждение по передвижению в Миссури,"How is ""The hotel is located in the heart of the city, in the very centre of the old town, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the city, in the very heart of the",Civil rights group issues travel warning for Missouri,0.2568187117576599
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Национальная ассоциация содействия прогрессу цветного населения опубликовала предупреждение для цветных людей, путешествующих в Миссури, из-за дискриминационной политики штата и нападений на расистской почве.","Translate this to English?
[A]: The National Association for Progress of Color People has issued a warning to Color People traveling to Mississippi, due to the state's discriminatory policies and racist attacks.",The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.8021812438964844
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Заявление группы звучит так: «Предупреждение для путешествующих Национальной ассоциации содействия прогрессу цветного населения, действительное до 28 августа 2017 года, призывает афроамериканских путешествующих, гостей и граждан штата Миссури быть особенно внимательными и проявлять повышенную осторожность при путешествиях по штату в связи с рядом сомнительных происшествий на расистской почве, недавно имевших место по всей территории штата и приведённых здесь».","Translate this to English?
[A]: The statement","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.3002992868423462
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"По словам Национальной ассоциации содействия прогрессу цветного населения, объявить предупреждение по передвижению группу побудил недавно принятый в Миссури закон, из-за которого людям стало труднее выиграть иски, связанные с дискриминацией, а также то, что правоохранительные органы штата непропорционально часто выбирают своими объектами представителей меньшинств.","How is ""The The Verve Pipe The Verve","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.27005037665367126
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,«У вас люди подвергаются нарушению прав человека.,"«Вы делаете воздействие на людей, которые подвергаются нарушению прав человека.»","""You have violations of civil rights that are happening to people.",0.5994561314582825
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Их останавливают на дорогах из-за цвета кожи, их избивают и убивают», - рассказал газете «Канзас-Сити стар» Род Чэпел, президент Национальной ассоциации содействия прогрессу цветного населения Миссури.","Translate this to English?
[A]:
They are stopped on the roads because of their skin color, beaten and killed,” said Rod Chappel, president of the National Association for Progress of Color in Mississippi.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.7551305890083313
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"«Мы слышим жалобы часто, как никогда раньше».","We hear complaints all the time, as we never have before.",We are hearing complaints at a rate we haven't heard before.,0.857063889503479
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Это – первое предупреждение такого рода, объявленное организацией по отношению к штату США.",Песня The Verve Pipe I'm Not My Name представлена вам Lyrics-Keeper. Flash-ф,It is the first such warning that the organization has issued for a state in the US.,0.3127802908420563
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Группа сослалась на такие инциденты, как унижение чернокожих студентов по расовому признаку в Университете Миссури и смерть двадцативосьмилетнего Тори Сандерса, чернокожего мужчины из Теннесси.","In English?
xxxxx
The group has been linked to such incidents as the discrimination of black students at the University of Mississippi and the death of a black man, Toney Sanders, in Texas.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.7634098529815674
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Сандерс погиб при подозрительных обстоятельствах ранее в этом году после того, как у него закончился бензин во время поездки по штату, и полиция штата Миссури арестовала его, не предъявив обвинения в преступлении.","In English?
xxxxx
Sander's death was ruled a suicide by the coroner, but the police arrested him in Mississippi after he had completed a tour of duty in the state and charged him with murder.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",0.652151882648468
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"В предупреждении также упоминается недавний отчёт Генеральной прокуратуры штата Миссури, согласно которому вероятность быть остановленными на дороге для чёрных водителей на 75 процентов выше, чем для белых.","In English?
xxxxx
The warning also mentions a recent report by the State Attorney General of Mississippi, which found that the likelihood of being stopped by black drivers was 75 percent higher than for white drivers.",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,0.787102222442627
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"«Цель предупреждения в том, чтобы люди были в курсе ситуации и предупредили своих родственников и друзей и коллег о том, что может случиться в Миссури», - сказал Чэпел.","Q: Translate ""The The Verve","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",0.32153719663619995
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"«Люди должны быть так или иначе подготовлены, возьмут ли они с собой деньги для залога или сообщат родственникам, что путешествуют по территории штата».","Translate this to English?
[A]:
""People should be prepared, whether they take money to pay for a ticket or not, and tell relatives that they are traveling in the state.","People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.",0.7089076638221741
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Согласно последним данным программы ФБР по сообщению о преступлениях на почве ненависти, в Миссури за 2015 год было зарегистрировано 100 преступлений на почве ненависти, что делает штат шестнадцатым в государстве по числу подобных нарушений.","In English?
xxxxx
According to the latest data from the FBI's Hate Crime Statistics, in 2015, 100 hate crimes were reported in Mississippi, making it the sixth state in the country with the highest number of hate crimes.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.",0.8051503300666809
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Также предупреждение по передвижению является ответом на новый закон штата Миссури, после принятия которого будет сложнее возбудить дело против юридического лица в связи с жилищной или трудовой дискриминацией.","In English?
xxxxx
Also, the warning is a response to a new law in Mississippi after which it will be more difficult to prosecute a case of housing or employment discrimination.",The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,0.759045422077179
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Ранее Американский союз защиты гражданских свобод (ACLU) объявил предупреждения для путешествующих по Техасу и Аризоне после того, как эти штаты приняли новые законы иммиграционного контроля, согласно которым местным правоохранительным органам предписывалось арестовывать людей за нарушение иммиграционных законов, что, по мнению ACLU, должно было увеличить число проверок по расовому признаку.","In English?
xxxxx
The American Civil Liberties Union (ACLU) has issued warnings to travelers to Texas and Arizona after those states passed new immigration laws that require local law enforcement to arrest people for violating immigration laws, according to the","Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.",0.798550009727478
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Предупреждения по передвижению обычно выпускаются Государственным департаментом применительно к другим странам, но в последнее время общественные организации прибегли к этой мере в ответ на определённые законы и тенденции в пределах США.","In English?
xxxxx
Movement warnings are issued by the State Department for other countries, but in recent years, public organizations have taken the initiative to respond to certain laws and trends within the United States.","Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.",0.6843764185905457
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Два человека погибли в результате стрельбы по полицейскому патрулю в Египте,"Russian President Dmitry Medvedev has called for the imposition of international sanctions against Iran, which has threatened to destabilize Afghanistan.
****",Two people have died as a result of a shooting of a police patrol in Egypt,0.463882714509964
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Неизвестные обстреляли полицейский патруль в египетском городе Исна, сообщает Reuters со ссылкой на Министерство внутренних дел Египта.","Q: Translate ""The The Verve Pipe The Verve Pipe lyrics are brought to you by Lyrics-Keeper."" to Russian?","The unidentified individuals shot at a police patrol in the Egyptian city of Esna, Reuters reports with reference to Egypt’s Ministry of Internal Affairs.",0.3409501612186432
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Во время перестрелки два человека, в том числе один полицейский, погибли, три человека получили ранения.","During the shooting two people, including one policeman, died and three people were injured.","Two people, including one police officer, were killed during the shooting, and three people suffered injuries.",0.9034256339073181
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Все раненые доставлены в больницу.,"About two weeks after we met, we already knew that we would be working together.
****",All the wounded were taken to hospital.,0.3939180374145508
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"По данным агентства, полицейские остановили автомобиль, после чего два находящихся в машине вооруженных человека открыли по правоохранителям огонь.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics are brought to you by Lyrics-Keeper."" to Russian","According to the agency, the police officers stopped a vehicle, at which point the two armed individuals inside of the car opened fire on the law enforcement officials.",0.29011085629463196
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Один из злоумышленников задержан, второму удалось скрыться.","The setup program installs the necessary programs and drivers for devices supported by Windows.
****","One of the perpetrators has been apprehended, but the second managed to escape.",0.3437000513076782
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,Ростуризм поддерживает закон об отмене бесплатного багажа для невозвратных авиабилетов,"Translate this to English?
[A]:
Rosturizm supports the law on the abolition of free baggage for non-refundable air tickets.",The Russian Federal Tourism Agency supports the law eliminating the free baggage allowance for non-refundable airline tickets,0.6621124744415283
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Глава Ростуризма Олег Сафонов заявил в интервью телеканалу РБК, что ""положительно"" относится к принятию закона об отмене бесплатного провоза багажа при невозвратных авиабилетах.","In English?
xxxxx
Rosturmism's head, Oleg Saphonov, told the RIA Novosti news agency that ""it is positive"" that the law on the abolition of free baggage transport on return tickets will be adopted.","The head of the Russian Federal Tourism Agency, Oleg Safonov, said in an interview with RBK television channel that he is “in favor” of adopting a law eliminating the free baggage allowance for non-refundable airline tickets.",0.6021787524223328
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"""Нужно создавать условия, при которых человек, у которого нет багажа, может купить билет дешевле, нежели тот, у которого багаж есть"", - подчеркнул он (цитата по ТАСС).","""Нужно создавать условия, при которых человек, у которого нет багажа, может купить билет дешевле, нежели тот, у которого багаж есть"", - подчеркнул он (цитата по ТАСС).
****
Q:
Примерно в два года после того, как мы вернулись в Лондон, мы увидели, что в Лондоне есть много людей, которые не хотят принимать решения, которые мы","“We need to establish conditions whereby a person who doesn’t have baggage can purchase a cheaper ticket than a person who has baggage”, he emphasized (quoted by TASS).",0.5802746415138245
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"При этом господин Сафонов отметил, что, несмотря на опасения граждан, платить за провоз верхней одежды и мобильного телефона в ручной клади не придется.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics","In addition to this, Mr. Safonov noted that, in spite of the concerns of citizens, there would be no need to pay for outerwear or mobile phones in carry-on baggage.",0.27877697348594666
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"""Было бы правильно успокоить всех наших граждан и туристов и заявить об этом, сказать, что это к верхней одежде, к зонтику, к мобильному телефону, к айпэду или даже какому-то компьютеру отношения иметь не будет"", - сказал глава Ростуризма.","""Это было бы правильно успокоить всех наших граждан и туристов и заявить об этом, сказать, что это к верхней одежде, к зонтику, к мобильному телефону, к айпэду или даже какому-то компьютеру отношения иметь не будет"", - сказал глава Ростуриз","“It would be right to reassure all our citizens and tourists and to make an announcement about this, to say that this will have nothing to do with outerwear, umbrellas, mobile phones, iPads, or even some computers”, the head of the Russian Federal Tourism Agency said.",0.6290377378463745
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Ранее президент России Владимир Путин подписал закон, предусматривающий право авиакомпаний исключать норму о бесплатном провозе багажа при невозвратном авиабилете.","Q: Translate ""The The Verve Pipe I'm Not My Name lyrics","Earlier, Russian President Vladimir Putin signed a law giving airline companies the right to eliminate the free baggage allowance rule on non-refundable airline tickets.",0.2550596594810486
translations_OLMo-1B-0724-hf_ru-en_original.csv,OLMo-1B-0724-hf,ru-en,ru,en,original,"Речь идет о том, что авиакомпании могут сами определять количество мест и вес багажа, включенных в невозвратный тариф.",Песня The Verve Pipe,The point of the issue is that airline companies are free to determine the number of seats and weight of baggage at the non-refundable rate.,0.24108067154884338
