file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",Question: Chinese people are very proud of their country.,"上周,古装剧《美人私房菜》临时停播,意外引发了关于国产剧收视率造假的热烈讨论。",0.3118421137332916
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,Civil rights group issues travel warning for Missouri,"A civil rights group has issued a travel warning for Missouri and Arkansas, saying the state's laws are ""unconstitutional"" and ""unjust.""",民权团体针对密苏里州发出旅行警告,0.5545549988746643
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"中国人民大学的一位学生被打成了“中国人”的词;他们的父母被打成了“中国人”的词。

Input: Consider Input: Chinese: 中国人民大学的一位学生被打成了“中国人”的词;他们的父�","由于密苏里州的歧视性政策和种族主义袭击,美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。",0.297240287065506
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","Answer:
""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁,因近期密苏里州发生了一系列可疑的种族性事件,所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度,特此告知,”该团体的声明宣称。",0.505843460559845
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","Translate the following text from en to zh: A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP 指出,最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼,该州执法也一定程度上针对少数群体,这些现象促使该组织发布了旅行警告。",0.4897565245628357
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"""You have violations of civil rights that are happening to people.","Translate the following text from en to zh: ""You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of",侵犯公民权利的行为正发生在人们身上。,0.3306654095649719
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Answer:
The president of the Missouri NAACP, Rod Chapel, told The Kansas City Star that the police were pulling over black drivers because of their skin color, beating them up or killing them.","他们因肤色被停车盘问,被殴打或被杀害,”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。",0.5085356831550598
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,We are hearing complaints at a rate we haven't heard before.,我們在听到了一些新的投資者的投資壓力。,"“我们收到了许多投诉,数量前所未有。”",0.49586305022239685
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,It is the first such warning that the organization has issued for a state in the US.,"这是第一次这个国家发出警告,这个国家是美国。

question:
The first is that the United States is not a democracy.

answer:
第一是,美国不是一个民主国家。

question:
The United States is a country of immigrants.

answer:
美国是一个共和国。

question:
The United States is a country of immigrants.

answer:
美国是一个共和国。",这是该组织在美国针对某个州发布的第一个此类警告。,0.3259594142436981
translations_OLMo-1B-0724-hf_zh-en_reverse.csv,OLMo-1B-0724-hf,zh-en,zh,en,reverse,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Translate the following text from en to zh: The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,0.5026707053184509
