file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,Munich 1856: Four maps that will change your view of the city,"München 1856: Vier Karten, die Ihre Sicht auf die Stadt verändern.

In this translation:

- ""Munich"" remains ""München"" as it is a proper noun and does not change.
- ""1856"" remains ""1856"" as it is a year and does not change.
- ""Four maps"" is translated to ""Vier Karten"", where ""vier"" means ""four"" and ""Karten"" means ""maps"".
- ""that will change your view"" is translated to ""die Ihre Sicht auf die Stadt verändern"", where ""die"" is a relative pronoun referring to ""Vier Karten"", ""Ihre"" means ""your"", ""Sicht"" means ""view"", ""auf"" means ""on"", and ""die Stadt"" means ""the city"". The verb ""verändern"" means ""to change"".

The overall sentence structure and grammar are preserved in the translation.","München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",0.3457747995853424
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,"A mental asylum, where today young people are said to meet.",1. Use formal language appropriate for a medical journal.,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.",0.30375054478645325
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,"A crypt chapel, where they are now digging tunnels for the S-Bahn.","Die unterirdische Stadt, ein Labyrinth unterirdischer Tunnel, wird für die Installation des Hyperloopsystems ausgehoben. Die Ingenieure verwenden fortschrittliche geotechnische Methoden, um die Stabilität der Tunnelwände zu gewährleisten.

In this translation:

- ""underground city"" is translated to ""die unterirdische Stadt""
- ""labyr","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.",0.39947709441185
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,Allotment holders cultivate the soil of former farmers.,Alleigentümer pflegen die Erde ehemaliger Bauern.,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,0.628749668598175
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,The oldest official map of Munich brings captivating stories to light.,Translate the following text from en to de: The oldest official map of Munich brings captivating stories to light,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,0.5652649998664856
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,It is annoying when geographical maps are not up-to-date.,"""Die Verwendung veralterter geographischer Karten im städtischen Planungsprozess kann zu bedeutenden Fehlurteil","Es nervt, wenn Landkarten nicht aktuell sind.",0.5052923560142517
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"Jeder, der sich wegen des Satellitennavigators des Autos wegen eines grünen Feldes statt einer Umgehung aufregt, weiß, dass.

In this translation:

- ""Anyone who has ever"" is translated to ""Jeder, der sich""
- ""got worked up"" is translated to ""aufregt sich""
- ""because"" is translated to ""wegen""
- ""the car's sat-nav"" is translated to ""des Satellitennavigators des Autos""
- ""is showing"" is translated to ""zeigt""
- ""a green field"" is translated to ""ein grünes Feld""
- ""instead of"" is translated to ""statt""
- ""a bypass"" is translated to ""einer Umgehung""
- ""knows that"" is translated to ""weiß, dass""

The sentence structure and grammar are also preserved in the translation. The translated sentence maintains","Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",0.26489338278770447
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","Die historischen Karten des digitalen BayernAtlas, eine Angebot der Geoportal Bayern der Staatsregierung, sind nicht auf dem neuesten Stand – und doch sind es genau für diesen Grund, dass sie so informativ sind.

In this translation:

- ""The historical maps"" is translated to ""Die historischen Karten""
- ""of the digital BayernAtlas"" is translated to ""des digitalen BayernAtlas""
- ""an offering from the State Government's Geoportal Bayern"" is translated to ""eine Angebot der Geoportal Bayern der Staatsregierung""
- ""are anything but up-to-date"" is translated to ""sind nicht auf dem neuesten Stand""
- ""and yet"" is translated to ""und doch""
- ""it is precisely for this reason"" is translated to ""dass es genau für diesen Grund""
- ""that","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.",0.35952720046043396
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,Especially when one compares them with current online maps.,"Besonders wenn man sie mit aktuellen Online-Karten vergleicht.

In this translation:

- ""Especially"" is translated to ""Besonders""
- ""when"" is translated to ""wenn""
- ""one"" is translated to ""man""
- ""compares"" is translated to ""vergleicht""
- ""them"" refers to ""online maps""
- ""with"" is translated to ""mit""
- ""current"" is translated to ""aktuellen""
- ""online maps"" is translated to ""Online-Karten""

The sentence structure and grammar are also preserved in the translation. The adjective ""aktuellen"" is placed before the noun ""Online-Karten"" to agree with the gender and case in German. The conjunction ""wenn"" is used to introduce the dependent clause. The overall meaning of the sentence remains the same in both languages.",Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,0.37152138352394104
translations_Phi-3.5-mini-instruct_de-en_reverse.csv,Phi-3.5-mini-instruct,de-en,de,en,reverse,Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Dann wird deutlich, wie sich die Städte und Gemeinden im Verbreitungsgebiet der Münchner Zeitung Merkur seit dem 19. Jahrhundert verändert haben.

In this translation:

- ""Then it becomes clear"" is translated to ""Dann wird deutlich,"" which conveys the same meaning of something becoming evident or clear.
- ""how"" is translated to ""wie,"" which is used to introduce a comparison or explanation.
- ""the towns and municipalities"" is translated to ""die Städte und Gemeinden,"" which refers to the urban areas and local administrative divisions.
- ""in the distribution area"" is translated to ""im Verbreitungsgebiet,"" which indicates the geographical area where the newspaper is distributed.
- ""of Munich's Merkur newspaper"" is translated to ""der Münchner Zeitung Merkur,"" which specifies the newspaper's name and its origin.
- ""have changed"" is translated to ""verändert haben","Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",0.3936384320259094
