file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern","However, the event has been met with controversy due to the country's treatment of migrant workers",Munich 1856: Four maps that will change your view of the city,0.4323505163192749
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.","Translate the following text from de to en, ens","A mental asylum, where today young people are said to meet.",0.2960003912448883
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.","A cryptic chapel, where now excavation work is being done for the S-Bahn","A crypt chapel, where they are now digging tunnels for the S-Bahn.",0.7722716331481934
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,Kleingärtner bewirtschaften den einstigen Grund von Bauern.,Community gardeners cultivate the former farmland.,Allotment holders cultivate the soil of former farmers.,0.7230975031852722
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,The oldest official map of Munich brings to light fascinating stories.,The oldest official map of Munich brings captivating stories to light.,0.9358178973197937
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Es nervt, wenn Landkarten nicht aktuell sind.",It is annoying when maps are not up to date.,It is annoying when geographical maps are not up-to-date.,0.9190928339958191
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",Everyone knows this feeling of frustration when the GPS shows a green field instead of a bypass road.,Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,0.7698789834976196
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.","Translate the following text from de to en, ensuring that you maintain the original tone and context: Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals","The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.",0.5643026828765869
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,"Especially when comparing them with current online cards, it becomes evident that efficiency can be significantly increased.",Especially when one compares them with current online maps.,0.7070767879486084
translations_Phi-3.5-mini-instruct_de-en.csv,Phi-3.5-mini-instruct,de-en,de,en,unspecified,"Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.","Then it becomes clear how cities and municipalities in the distribution area of the Munich Daily have changed since the 19th century.

In this translation, the original German text is accurately conveyed in English. The sentence structure and meaning are preserved, with the subject (cities and municipalities) and the verb (have changed) correctly placed to maintain the original message. The time frame (since the 19th century) is also translated to keep the historical context intact. The translation is clear, concise, and free of grammatical errors, making it easily understandable for English speakers.",Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,0.6123163104057312
