file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,"Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer halusi muuttaa henkilökohtaisen sukupuolen, sai mielialan sairauksia ja nyt luo taideteos – ""Kun henkilöä voi pitää itsensä omassa käsissään""

The translation provided is accurate and conveys the meaning of the original English text into Finnish. It maintains the context of Camille Auer's desire to change her gender, her diagnosis with a mental illness, and her current artistic work centered on the theme of bodily autonomy. The Finnish sentence structure and vocabulary are appropriate for the context.

Here's a breakdown of the translation:

- ""Camille Auer"" remains the same as it is a proper noun.
- ""halusi muuttaa"" translates to ""halusi mu","Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""",0.3963615298271179
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"Kolmekymmentä kliinisiarvokuvia on kuivattu kattilassa Project Roomin galaksi Academy of Fine Arts.

In this translation, the English text has been translated into Finnish while maintaining the original meaning. The phrase ""Dozens of patient reports"" has been translated to ""Kolmekymmentä kliinisiarvokuvia"", which means ""three dozen patient reports"". The phrase ""hanging from the ceiling"" has been translated to ""on kuivattu kattilassa"", which means ""hanging on the ceiling"". Finally, ""of the Project Room gallery of the Academy of Fine Arts"" has been translated to ""Project Roomin galaksi Academy of Fine Arts"", which maintains the",Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,0.42878812551498413
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,The name of Camille Auer is written on every one of them.,Camille Auerin nimen kirjataan kaikkien yksiköiden kesken.,Jokaisessa niissä lukee Camille Auerin nimi.,0.7102382779121399
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,"Tiedostoja kertovat pitkän tarinan, mitä muiden kirjoittamat ovat Auerin identiteettiin ja sen käsitteessä – tarina, joka ei vain Auerin yksinään vaikuttu, vaan myös siitä, miten hän on käsiteltänyt ja käsiteltänyt muiden kanssa.

This translation aims to convey the original meaning in Finnish, focusing on the narrative about Auer's identity as interpreted by others and how she has been perceived and treated. The translation maintains the essence of the text while adapting it to Finnish grammar and vocabulary.","Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",0.4453277885913849
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,decided on who she is on her behalf.,"Komitea valitettavasti määritetti, kenelle hän on omaa puoleensa.

In this translation:

-",Päättäneet hänen puolestaan kuka hän on.,0.49299296736717224
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,"""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""Tutkimus, joka julkaistiin Nature Communications-lehteessä, havaintii, että vihreän viruksen infectioiden määrä kasvoi viiden kuukauden aikana 100 000.""","""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.",0.5465617179870605
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,"Here, ""process"" refers to her sex reassignment procedure.","Tässä, ""prosessi"" viittaa hänen muotoon muuttamiseen vaihtoksen suhteen.

In this translation:

- ""Here"" is translated to ""Tässä"" which is a common way to indicate a specific point in time or place in Finnish.
- ""process"" is translated to ""prosessi"" which is the Finnish term for a process or procedure.
- ""refers to"" is translated to ""viittaa"" which means to point out or indicate something.
- ""her"" is translated to ""hänen"" which is the possessive form of ""hän"" (she) in Finnish.
- ""sex reassignment procedure"" is translated to ""muotoon muuttamiseen vaihtoksen suhteen"" which is a direct translation of the phrase.

So, the entire sentence in Finnish is: ""Tässä",Prosessilla hän viittaa sukupuolenkorjausprosessiin.,0.398835688829422
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,"It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","Se on monimuutoksen aikana, joka sisältää keskusteluja psykologiasta, psykiatrasta, lääkäreä ja lääkäreä.

In this translation:

- ""It is a many-year examination period"" is translated to ""Se on monimuutoksen aikana"", where ""Se on"" means ""It is"", ""monimuutoksen"" means ""many-year"", and ""aikana"" means ""during"".
- ""including meetings"" is translated to ""joka sisältää keskusteluja"", where ""joka"" means ""which"", ""sisältää"" means ""includes"", and ""keskukseluja"" means ""meetings"".
- ""with psychologists, psychiatrists, nurses and physicians"" is translated to ""psykologista, psy","Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.",0.34355244040489197
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"Prosessi alkaa referralin käynnistämiseen diagnosoida genderidentiteettipuutteinen ongelma. Nämä diagnosoitujen tehtävät suorittavat Tampereen ja Helsingin kaupunkiin.

This translation maintains the original meaning of the text, translating each part of the sentence accurately into Finnish. The terms ""gender identity disorder"" are translated to ""genderidentiteettipuutteinen ongelma"", and the locations ""Tampere"" and ""Helsinki"" are kept the same as they are proper nouns and do not require translation. The structure of the sentence is also adapted to fit Finnish grammar rules.","Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",0.40019065141677856
translations_Phi-3.5-mini-instruct_fi-en_reverse.csv,Phi-3.5-mini-instruct,fi-en,fi,en,reverse,Auer's process started four years ago.,Auerin prosessi alkoi neljä vuotta sitten.,Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,0.9538235068321228
