file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,Rewriting the Monetary-Policy Script,Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,0.44382232427597046
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,МУНІЧЬ – Скільки часу великі центральні банки будуть безперервно залежніти на строгальні правила для контролю інфляції та стимулювання зростання?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",0.5399505496025085
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.

(Note: The translation is already in English, but if you meant to translate it into Korean, here it is:)

많은 이점이 있는 유연한 중앙은행 정책을 고려할 때, 중앙은행 관리자들은 유연성을 통해 제공되는 가능성을 눈치채야 해.

Please note that translations can sometimes be nuanced, and it's always good to have a native speaker or a professional translator review the translation for accuracy.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,0.3430323302745819
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Monetary policymakers rule of thumb 長期通貨政策者的規則,如果通貨膨脹低於官方目標範圍,短期利率應該設定在一個能刺激消費和投資的水平。

In this translation:

- ""The rule of thumb"" is translated as ""Monetary policymakers rule of thumb""
- ""for monetary policymakers"" is translated as ""長期通貨政策者的""
- ""has long been"" is translated as ""如果""
- ""that if inflation is below official target ranges"" is translated as ""通�","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.",0.20737813413143158
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.","이 접근법은 이미 이자율이 또는 근접하게 되면, 중앙은행들은 대규모 자산구매 프로그램을 활성화하여 수요를 자극하는 것을 더 이상 선택지가 되지 않게 했다.

In this translation:

- ""This approach"" is translated to ""이 접근법은""
- ""has meant"" is translated to ""이미 이 방법으로 해석되어""
- ""that once""",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,0.22039806842803955
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","언제든지 상황이 요구하면, 정책 ��","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.",0.295999675989151
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","그러나 많은 경우에, 그러한 스크립트들은 우리를 오도하게 만들었습니다, 그것들이 돈정책이 예측 가능하고 측정 가능한 수요와 인플레이션에 미치는 영향을 가정하고 있기 때문입니다.

In this translation:

- ""But"" is translated as ""그러나""
- ""in too many cases"" is translated as ""많은 경우에""
- ""those scripts"" is translated as","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.",0.3197726011276245
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,There is plenty of reason to question this assumption.,"Translate the following text from en to kk: Despite the overwhelming evidence, some people still cl",Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,0.267829567193985
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"For starters, households have not responded to ultra-low interest rates by saving less and spending more.",In Korean:,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.",0.19957241415977478
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Если сбережения больше не дают прибыль, люди не смогут себе позволить крупные покупки или платить на пенсию в будущем.

In this translation:
- ""If"" is translated as ""Если""
- ""savings"" is translated as ""сбережения""
- ""no longer yield a return"" is translated as ""больше не дают прибыль""
- ""people"" is translated as ""люди""
- ""can’t afford"" is translated as ""не смогут себе позволить""
- ""big-ticket items"" is translated as ""крупные покупки""
- ""or pay"" is translated as ""или платить""
- ""for retirement down the road"" is translated as ""на пенсию в будущем""

The sentence structure and grammar are also preserved in the translation.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.",0.2214386910200119
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.",��,"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.",0.30995631217956543
translations_Phi-3.5-mini-instruct_kk-en_reverse.csv,Phi-3.5-mini-instruct,kk-en,kk,en,reverse,"It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.",kk: இங்கே அந்த அநீதியான உரை அங்கே அனைத்து அங்கே அங்கே அங்கே அங்கே அங்கே அங்கே அங்கே அங்கே அங்கே அங்,"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.",0.24887454509735107
