file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",3. Includes the names of the involved parties (e.g,"上周,古装剧《美人私房菜》临时停播,意外引发了关于国产剧收视率造假的热烈讨论。",0.2719818651676178
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,Civil rights group issues travel warning for Missouri,5. Translate the text without,民权团体针对密苏里州发出旅行警告,0.26112228631973267
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Translate the following text from en to zh: The,"由于密苏里州的歧视性政策和种族主义袭击,美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。",0.20607326924800873
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","### Instruction: Translate the following text from en to zh: ""The NAACP Tra","“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁,因近期密苏里州发生了一系列可疑的种族性事件,所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度,特此告知,”该团体的声明宣称。",0.25008073449134827
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","近期的一项美国密西西比州的法律,使得人们更难以胜诉歧视诉讼,以及该州的公安部门对少数族群的偏见导致了该组织发布旅行警告,NAACP表示。

In this translation:

- ""A recent Missouri law"" is translated to ""近期的一项美国密西西比州的法律""
- ""making it harder for people to win discrimination lawsuits"" is translated to ""使得人们更难以胜诉歧视诉讼""
- ""as well as the state's law","NAACP 指出,最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼,该州执法也一定程度上针对少数群体,这些现象促使该组织发布了旅行警告。",0.5307239890098572
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"""You have violations of civil rights that are happening to people.","Text: ""In the face",侵犯公民权利的行为正发生在人们身上。,0.27611225843429565
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Missouri NAACP主席 Rod Chapel告诉《哥伦比亚特区报》,因为他们的皮肤颜色被抓到,他们被打扰或杀害。

Summary: Missouri NAACP主席 Rod Chapel告诉《哥伦比亚特区报》,因为他们的皮肤颜色被抓到,他们被打扰或杀害。

This summary is factually consistent with the document. It accurately translates the main points of the original text, including the reason for the individuals being pulled over (their skin color), and the potential outcomes (being beaten up or killed). The summary maintain","他们因肤色被停车盘问,被殴打或被杀害,”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。",0.5373048186302185
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,We are hearing complaints at a rate we haven't heard before.,5. Include a reference to the potential for future growth,"“我们收到了许多投诉,数量前所未有。”",0.3717823028564453
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,It is the first such warning that the organization has issued for a state in the US.,Translate the following text from en to zh: The organization,这是该组织在美国针对某个州发布的第一个此类警告。,0.29291781783103943
translations_Phi-3.5-mini-instruct_zh-en_reverse.csv,Phi-3.5-mini-instruct,zh-en,zh,en,reverse,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组指出了种族歧视对非裔美国学生在艾奥瓦大学的事件和杜罗·杰森28岁的黑人男子来自密西西比,该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,0.7305968403816223
