file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Munich 1856: Four maps that will change your view of the city,"In 1856, four maps that will change your view of Munich. 

Translation in German:

In der Jahre 1856 werden vier Mappe, die, welche dein Bildernichts verändern werden. 

This is a translation of the given English text into German. The key elements and meaning have been preserved while adapting it to German syntax and vocabulary. Note that this translation uses the past tense ""werden"" instead of the present perfect tense as in the original, but both convey the same meaning. Additionally, the use of ""die, welche"" instead of ""die, welche verändern werden"" emphasizes the passive voice structure common in German translations of such texts. The final translation maintains the emphasis on changing one's view of Munich with these maps. 

The German version preserves the poetic tone and the idea of altering one's perception or understanding of something by means of visual representations, which could be seen as an allegory for political or cultural changes. It also conveys","München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern",0.37641796469688416
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"A mental asylum, where today young people are said to meet.","The phrase ""cannot see themselves in the outside world"" implies that they struggle with feelings of loneliness, isolation, or a sense of disconnection from others, further emphasizing their psychological state. Overall, this Spanish version captures the essence of the","Eine Irren-Anstalt, wo sich heute Jugendliche begegnen sollen.",0.3176097571849823
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"A crypt chapel, where they are now digging tunnels for the S-Bahn.","1. ""Crypt chapel"" es traducido como ""Castillo oscuro"", que es una forma común para describir un lugar oscuro o secreto.
2. ""digging tunnels"" se traduce como ""trabajando en las","Eine Gruftkapelle, wo nun für den S-Bahn-Tunnel gegraben wird.",0.37106022238731384
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Allotment holders cultivate the soil of former farmers.,"Translate the following text from en to de: Allotment holders cultivate the soil of former farmers. They have a large number of small plots, which they use for various purposes such as planting crops or raising livestock.
Allotment holders cultivate the soil of former farmers. They have a large number of small plots, which they use for various purposes such as planting crops or raising livestock. Eradicate pests and diseases by hand, and also maintain the soil fertility through composting and other organic methods.
Allotment holders cultivate the soil of former farmers. They have a large number of small plots, which they use for various purposes such as planting crops or raising livestock. Eradicate pests and diseases by hand, and also maintain the soil fertility through composting and other organic methods. In addition, allotment holders can also benefit from the benefits of free land, which means that they are able to sell their plot at a fair price, thus increasing their income.
Allotment holders cultivate the soil of former farmers. They have a large number of small plots, which they use for various purposes such as planting crops or raising livestock. Eradicate pests and diseases by hand, and also maintain the soil fertility through composting and other organic methods. In addition, allotment holders",Kleingärtner bewirtschaften den einstigen Grund von Bauern.,0.4295284152030945
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,The oldest official map of Munich brings captivating stories to light.,"#TranslationTask #Geography #Munich #Maps #History #Berlin 🏃‍♂️💪 #TravelTips #GeographicExploration #GeographicalKnowledge
Your task is complete! If you have any other translations or questions related to geography, I'd be happy to help with those as well. 🚀🌍 #GeographyLearning #TravelInDepth #Geo",Die älteste offizielle Karte Münchens fördert spannende Geschichten zu Tage.,0.34674638509750366
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,It is annoying when geographical maps are not up-to-date.,"Translate the following text from en to de: It is annoying when geographical maps are not up-to-date. When I try to find a specific location on a map, I always have to look for it again and again. The more time I spend looking at the map, the less accurate it becomes. I would like to know how to make the maps more up-to-date.
Deutsch:
Es ist anstrengend, wenn die Maps nicht aktualisiert sind. Wenn ich auf eine bestimmte Stelle im Map eintrage, muss ich immer wieder nach dem Ziel suchen. Die mehrere Zeit, die ich mit dem Map amüsiert habe, wird der Funktionalität des Maps weniger akurierend. Ich möchte wissen, wie man die Maps aktualisieren kann.","Es nervt, wenn Landkarten nicht aktuell sind.",0.3969186246395111
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Anyone who has ever got worked up because the car's sat-nav is showing a green field instead of a bypass knows that.,"1. ""Anyone who has ever got worked up"" wurde zu ""Jemand, der immer mit Problemen verbunden ist"". Dies wird durch die Präposition ""der"" (der) in ""jedenfalls"" verwendet.
2. ""because the car's sat-nav is showing"" wurde zu ""daus das Sat-Navi der Fahrzeug zeigt"". Hier wird ""das Sat-Navi"" als Adjektiv dargestellt.
3","Das kennt jeder, der sich schon mal aufregen musste, weil das Auto-Navi statt einer Umgehungsstraße eine grüne Wiese anzeigte.",0.27887552976608276
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"The historical maps of the digital BayernAtlas, an offering from the State Government's Geoportal Bayern, are anything but up-to-date – and yet it is precisely for this reason that they are so informative.","The German states were divided into four regions by the Treaty of Westphalia in 1638. After that, Germany became a single","Die historischen Landkarten des digitalen Bayern-Atlases, ein Angebot des Geoportals Bayern der Staatsregierung, sind alles andere als aktuell - doch gerade deshalb sehr aufschlussreich.",0.31464624404907227
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Especially when one compares them with current online maps.,"1. We use the same software as before, but now it is optimized for the internet.
2. The user interface has been updated to make it easier for people to navigate through the application.
3. The application has improved its performance by incorporating new features such as faster loading times and better handling of large datasets.
4. Our team has expanded to include more developers, designers, and testers to ensure high-quality development.
5. We have increased our focus on customer satisfaction and feedback to improve product quality.
6. We have implemented new marketing strategies to reach potential customers and increase sales.
7. We have introduced new features like social media integration and push notifications to enhance user experience.
8. We have streamlined the process of developing and deploying applications, making it quicker and more efficient.
9. We have enhanced security measures",Besonders wenn man sie mit aktuellen Online-Karten vergleicht.,0.440534383058548
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Then it becomes clear how the towns and municipalities in the distribution area of Munich's Merkur newspaper have changed since the 19th century.,"Die Stadt und die Metropole des Merkur-Verlags haben sich seit dem 19. Jahrhundert verändert. Es ist nicht nur kleiner geworden, sondern auch diverser geworden. Dies ist ein Resultat der modernisierenden Veränderungen, die sich in München ereignet hat, die sich in der Stadt von einem kleineren Ort zum größeren Ort entwickelt hat. Zum Beispiel ist die Stadt Münster, eine kleine Vazie mit einer Population von","Dann wird deutlich, wie sich Städte und Gemeinden im Verbreitungsgebiet des Münchner Merkur seit dem 19. Jahrhundert verändert haben.",0.5662792325019836
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,The BayernAtlas can be easily accessed through the internet and provides users with access to the latest information about the Bayern region. Users can also,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",0.43156856298446655
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.","The exact meaning can vary slightly depending on context, but it essentially means that these special maps were created to provide detailed information on land use within the city, similar to how roads or boundaries are laid out on larger maps. They were designed to help","In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.",0.47302788496017456
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.","According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria. The Bavarian Surveying and Mapping Authority was established in 1793 by a decree issued by King Ludwig I of Bavaria. It is composed of seven members, all of whom are appointed for life. 

English translation:
According to information from the Bavarian Surveying and Mapping Authority, these were created between 1810 and 1864 and result from the first survey of Bavaria. The Bavarian Surveying and Mapping Authority was established in",Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,0.49606242775917053
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Their commissioner: Napoleon.,This translation accurately conveys the original text's information about,Ihr Auftraggeber: Napoleon.,0.38246390223503113
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.","German
The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria. He then moved on to Spain and Italy, where he fought against Napoleon's armies. After the fall of Paris, he went to the North of France and",Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.,0.48629042506217957
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Napoleon wanted to gain an overview of the occupied land and commissioned a topographical survey – naturally for military purposes.,"Step 1: Break down the original French text into its key components.
Original text in French:
Napoléon voulut obtenir un aperçu du territoire occupé et lui fit une topographique enquête - naturellement pour les forces militaires",Napoleon wünschte sich einen Überblick über das besetzte Land und gab eine topographische Aufnahme Bayerns in Auftrag - natürlich zu militärischen Zwecken.,0.34590837359428406
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Even if the French troops finally retreated with the Treaty of Lunéville from 9th February 1801: it was the current neighbours who had the idea to create a comprehensive map of Bavaria.,"Es ist wichtig zu wissen, dass in dieser Zeit sehr unterschiedliche Perspektiven auf Europa stehen, und die Spannung zwischen den verschiedenen Städten und Landeskern ist nicht einfach zu verstehen. Es gibt verschiedene Kulturen, die sich in Deutschland und anderen Ländern vertanen. Die","Auch wenn die französischen Truppen mit dem Frieden von Lunéville vom 9. Februar 1801 schließlich abzogen: Es waren die heutigen Nachbarn, die die Idee einer flächendeckenden Bayern-Karte kreierten.",0.45664361119270325
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"Elector Max IV. Joseph propelled the project further forward, founding the ""Topographical Bureau"" – and with that, the Bavarian Surveying and Mapping Authority.","The German map industry has been developing over time,","Kurfürst Max IV. Joseph trieb das Projekt weiter voran, gründete das ""Topographische Bureau"" - und damit die Bayerische Vermessungsverwaltung.",0.3395116329193115
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"The original lay-of-the-land sheet for Munich originates from 1856 and, like all the others, can be found on the website of the Bavarian State Library.","This text suggests that the Munich Landmap is important because it provides insight into the city's history, but also notes that it may not be available online due to copyright restrictions. This implies that preserving and accessing these resources requires careful consideration of copyright laws and potential legal issues.
To summarize,",Das Urpositionsblatt für München stammt aus dem Jahr 1856 und ist wie sämtliche andere auf der Internetseite der Bayerischen Landesbibliothek zu finden.,0.45630159974098206
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,The comparison of past/present is most impressive taking the example of the state capital.,"- Washington D. C., USA, is the capital of the United States.
- Amsterdam, Netherlands, is the capital of the",Der Vergleich Früher/Heute ist am Beispiel der Landeshauptstadt am eindrücklichsten.,0.35427767038345337
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,The city has stretched out in all directions and coalesced.,"### Deutsch:
Die Stadt hat sich in alle Richtungen ausgebaut",Die Stadt hat sich in alle Richtungen ausgedehnt und ist zusammengewachsen.,0.6583771705627441
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"An example of this is Untersendling, which still appears relatively isolated on the map from 1856.","Eine Beispiel ist Untersendling, die noch relativ isoliert auf dem Mappe von 1856 liegt. Der Ort wurde 1709 durch die Habsburger gestaltet und hat seit 1423 als Sitz des Staatsschotts gehalten.

Die Bevölkerung der Stadt im Jahr 1900 war 2. 300, mit einer Annualanfangszahl von 2. 1%.

Der Ort hatte nur 3 Kirchen und keine anderen Bauwerke vorhanden. 

English translation:

An example of this is Untersendling, which still appears relatively isolated on the map from 1856. The town was","Ein Beispiel dafür ist Untersendling, das in der Karte von 1856 noch relativ isoliert auftaucht.",0.43270760774612427
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,Sendling was incorporated as an urban district of Munich 21 years after the map was created.,"Sendsel wurde als Urbanintrag von München 21 Jahre nach dem Map erstellt. In diesem Kontext ist es eine Stadt, die seit drei Jahrzehnten aufgebaut und entwickelt worden ist. Die Hauptaufgabe Sendsel ist es, einen öffentlichen Raum für Leidenschaften wie Wanderung oder Reisen zu bieten.
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.","Sendling wurde 21 Jahre nach Erstellung der Karte, also 1877, als Münchner Stadtteil eingemeindet.",0.42728033661842346
translations_Qwen2.5-0.5B-Instruct_de-en_reverse.csv,Qwen2.5-0.5B-Instruct,de-en,de,en,reverse,"Today, Untersendling lies in the middle of the city.","### Additional Tips:
- **",Heute liegt Untersendling mitten in der Stadt.,0.3124012351036072
