file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Europawahlen: Ziele, Finanzierung...","Enjoy your day and stay healthy! #France #Switzerland #Elections #Auvergne #2019 🌍✈️ #Sports #Travel #Culture
#FrenchLanguageLearning #LanguageExchange #TravelTips
#Europe #SwissCuisine #Festivals
#WorldCups #EuropeanGames #SportsNews
#TravelInspiration #SportsInnovations #SportsTrends
#LanguageLearningFun #SportsForAll","Elections européennes: Objectifs, financement...",0.3669514060020447
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Vier Fragen zur Listenaufstellung der ""Gelbwesten"".","In both languages, the word ""Listenaufstellung"" refers to the organization and presentation of information in books or magazines, including spacing between lines and headings within lists. This knowledge can be",Quatre questions autour de la candidature de la liste «gilets jaunes».,0.29926854372024536
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.",2. You can make the statement slightly more,Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,0.22978737950325012
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,"If you need any further clarification or adjustments, feel free to ask! Let me know if you'd like me to explain something specific regarding the translation","La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.",0.3932296335697174
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.","Cependant, il est important de not","Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.",0.30927735567092896
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.","Putting these elements together, the complete translation would",Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,0.309615820646286
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,Von der Straße zu den Urnen.,"French
Je suis désolé, mais je ne peux pas vous aider avec cette traduction. Vous pouvez me demander comment vous pourriez vous servir d'une traductrice linguistique ou d'un assistant linguistique pour obtenir une traduction de ce type de phrase. Cela peut être très utile si vous avez besoin d'aide dans le domaine de la langue française ou si vous rencontrez des problèmes avec votre traduction. Je vous suggère de consulter un assistant linguistique ou de contacter un professionnel de la langue française si vous avez des questions spécifiques concernant les phrases linguistiques. 
Je vous remercie par avance pour votre compréhension. Si vous avez besoin d'autres informations ou de conseils sur le français, n'hésitez pas à me le faire savoir. Merci",De la rue aux urnes.,0.37137433886528015
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.","Cette traduction conserve la structure générale de la phrase, mais utilise des termes plus courants en français pour rendre l'expression plus appropriée. Les termes ""Gelbwesten"", ""Europawahlen"", ""Liste der Mitgliedstaaten"", ""Europäische Parlament"", ""Rat"" et ""Parlement européen"" sont utilisés plutôt que leurs equivalents allemands pour éviter les conflits linguistiques et forcer le français à s'adapter au contexte de l'économie",Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,0.3425924777984619
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.","Ein RIC kann nicht nur eine Reihe von Initiativen darstellen, sondern auch eine Reihe von Kriterien oder Bedingungen. Ein RIC kann auch mehrere Initiativen anbieten und diejenigen","Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.",0.4064624607563019
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.","At their summit: Ingrid Levavasseur, a 31-year-old nursing aide from Normandy and one of the main figures of the movement. Her work is able to help people who cannot independently take care of themselves. She has been searching for a new position in the field of nursing, with the aim of improving her work. Her name is Ingrid Levavasseur.

To provide a more detailed translation that maintains the meaning and structure of the original text while adhering to idiomatic expressions typical of French-English bilingualism, consider the following breakdown:

1. ""At their summit"" can be translated as ""At their peak"" or simply ""In their peak.""
2","A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.",0.481679230928421
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"20 Minuten wendet sich den Fragen zu, die sich durch diese Kandidatur stellen.","""I apologize for any confusion and thank you very much for your valuable assistance in analyzing this request. It is extremely important, and we need it to fully understand the demands of the candidates.""

German:

Ich bin sehr dankbar für Ihre Unterstützung bei der Analyse dieser Anfrage. Es ist sehr wichtig und wir brauchen sie für eine vollständige Erkennung der Anforderungen der Lesenden.

I'm sorry for any confusion, but I appreciate your help in analyzing this request. It's very important, and we need it to fully comprehend the demands of the candidates. 

This translation maintains the meaning and tone of the original German text while adapting it to natural French syntax. The key points remain unchanged - the apology, gratitude",20 Minutes revient sur les questions que pose cette candidature.,0.3710314929485321
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,Warum sollte man an der Europa-Wahl teilnehmen?,"Sorry, I'm not sure what language you're referring to. Could you please provide more context or clarify your question? That way, I can better understand and assist you with your request.",Pourquoi se lancer aux européennes?,0.3003852069377899
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Der RIC , der auch von einigen Gelbwesten unterstützt wird, firmiert unter der Bezeichnung ""Référendum d'initiative citoyen"" und stellt sich selbst als ""ein Zusammenschluss verschiedener Initiativen"" der Protestbewegung dar.","In this context, I have translated it into French while maintaining its original meaning and tone. The translation aims to accurately convey the key elements of the original text in a natural-sounding French sentence structure. If you need any","Dans son communiqué, le RIC, qui reprend l’acronyme du « référendum d’initiative citoyen » défendu par certains « gilets jaunes », se présente comme « une coordination issue de différentes initiatives » du mouvement de contestation.",0.33847013115882874
translations_Qwen2.5-0.5B-Instruct_fr-de_reverse.csv,Qwen2.5-0.5B-Instruct,fr-de,fr,de,reverse,"Warum wollen diese Demonstranten in die Politik? Sie sagen, ihre Bewegung habe gezeigt, dass es notwendig ist, die Wut in eine Politik für die Menschen umzuwandeln, die jenen Franzosen, welche die Gelbwesten seit Monaten unterstützen, Antworten geben kann.","Why do these demonstrators want to participate in politics? They say their movement has shown that it is necessary to transform people’s fury into a political stance for those who support them on the Green left, which have been","Pourquoi ces manifestants se lancent-ils en politique? Le mouvement fait « apparaître la nécessité de transformer la colère en un projet politique humain, capable d’apporter des réponses aux Français qui soutiennent le mouvement des ""gilets jaunes"" depuis des mois », disent-ils.",0.4750290513038635
