file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Thousands in Central Park panic after barrier collapse,"في كارديف، حيث headquarters للمنظمة الدولية، تعرضت المدينة إلى مواجهة كبيرة من قبل مجموعة من القادة المجنونين. اندلع الفعل على الحدث الذي أدى إلى تلف الحجر الجيري في الحرم المكي للمنظمة الدولية.

الترجمة الإنجليزية:

Thousands of people in Central Park are panicking because a barrier collapse occurred. This incident happened due to a fallen barbed wire fence during construction at the UN building in Kairouan. 

أنا بخير ولا有任何症状.
I'm sorry to hear that you're feeling unwell. It's important to take care of your health and stay well. If you have any questions or concerns about your health, please feel free to ask me. I'll do my best to help. 😊👍 #StayWell",બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,0.2848254144191742
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.","The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show. In response, authorities ordered the closure of all exits except one. The crowd gathered around the exit that had been closed off",એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,0.35257163643836975
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"Big-name personalities from Democratic New York Governor Andrew Cuomo and Republican Senator Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics. The political leaders are known for their charisma, wit, and good looks, but they have a lot of things to deal with politically. This is a time when people want to be heard, not just about what's happening inside the government, but also outside it. It's an important time that requires us all to work together to help solve",ડેમોક્રેટિક ન્યૂયોર્ક સરકારની મોટી નામી હસ્તીઓ એન્ડ્ર્યુ કુમો અને જેનેટ જેક્સનના રિપબ્લિકન સેન જેફ ફ્લેક અને જ્હોન લેજેન્ડએ પ્રેક્ષકોને રાષ્ટ્રની મુશ્કેલીમાં રહેલા રાજકારણમાં સામેલ થવા વિનંતી કરી.,0.312467485666275
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"This is an example of a translation between English and Spanish. The key elements are translated as follows:
- ""Authorities"" -> ""Autoridades""
- ""barrier"" -> ""barrera""
- ""fell"" -> ""se abrió""
- ""Saturday evening"" -> ""sábado por la noche""
- ""security guard""",શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,0.22143614292144775
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Burning social justice issues dominated the event that started on a sunny afternoon.,الحملة الاجتماعية المشروعة تضاعفت الحركة. بدأت على مدار يوم جوية. كان العدد المثير للجدل كبيراً وشجعاً قويًا للموقف. تم组织งาน هذه الحادثة في مكان كبير يضم الكثير من الناس. كانت القيادة كبيرة في تنظيم هذا,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,0.33694612979888916
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",About,"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.",0.23944136500358582
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"""Algunos oradores solicitaron a los asistentes del Congreso que llamaran a sus miembros de la C",કેટલાક સ્પીકરોએ પ્રેક્ષકોને સુપ્રીમ કોર્ટના નોમિની બ્રેટ્ટ કેવેનોહ માટે આ સપ્તાહની સેનેટ સુનાવણીમાં પ્રતિક્રિયા આપવા માટે તેમના કોંગ્રેસ સભ્યોને બોલાવવા કહ્યું હતું.,0.3150063455104828
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,"On October 2nd, Anna Hazare will continue with her hunger strike, which has gained worldwide attention due to its impact on the political climate in India. This action demonstrates her commitment to fighting against injustice and inequality, and also highlights the importance of social activism and awareness campaigns.
Anna Hazare, a prominent","બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર",0.41556650400161743
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,"Anna Hazare is going on a hunger strike. Foday Sankoh is not mentioned as going on a hunger strike. 

This directly corresponds to the given information about their respective statuses. If",મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,0.31395724415779114
translations_Qwen2.5-0.5B-Instruct_gu-en_reverse.csv,Qwen2.5-0.5B-Instruct,gu-en,gu,en,reverse,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,"Translate the following text from en to gu: Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement. In this context, the Lokpal Act is being used as a tool for the BJP to claim political advantage and manipulate elections.
The government of India does not have any such law or procedure. The Lokpal Act is a legal framework for the collection of information on the actions of the executive branch. It was introduced by the Congress party in 1956 and has been amended several times since then.
The Lokpal Act aims to check the powers of the executive branch by providing a mechanism for collecting information on the actions of the president, prime minister, cabinet ministers and other members of the government. This ensures that there are no excesses or misuse of power by the executive branch.
However, it is important to note that the Lokpal Act only serves to check the executive branch's powers and does not actually prevent any abuses of power. Instead, it allows for an independent investigation into any alleged violations of the laws and regulations.
In conclusion, the Lokpal Act is an attempt to limit the power of the executive branch and ensure transparency in the governance system of India. However, its implementation",અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,0.3570067882537842
