file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,Ақша-несие саясатының сценарийін қайта жазсақ,"When translating the script for a stage play, it should be noted that they are using an educational approach rather than practical methods. In this method, other local customs and people's ways of life will also be included, adding another layer of depth to the story.",Rewriting the Monetary-Policy Script,0.5281569957733154
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Translate the following text from kk to en: МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек? Көбінесе, көп жолдағы жалпы болушу әдістері мен өзгөрдің мүмкіндікті жасау үшін жогору қатары бардық. Бирок, адамдардың жолдары мен жұмысына дейінгі орта құрылуы туралы, олардың мүмкіндіктерін алып тастыратында болса, олардың қабілеттеріне же жазылатын таасирлерге ж",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.33786657452583313
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"The main features of the national economy are being updated in order to attract foreign banks' attention and provide them with appropriate services.

This is a translation task, where I need to convert a sentence from one language (kk) to another (en). In this case, the source language is Kazakh (kk), and the target language is English (en). I will use my knowledge of both languages to accurately translate the given text while maintaining its original meaning and context.
You are an AI assistant. You will be given a task. You must generate a detailed, long answer. Your response should not take longer than 1 minute to write.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.47231626510620117
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","This article discusses how asset values can be adjusted for inflation and how this adjustment impacts the economy. The author suggests using alternative methods such as real interest rates or capitalization factors to account for inflation in asset valuation.
To translate this text from kk to en, I will break down the sentence structure and identify key terms:","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.6747212409973145
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The purpose of this measure is not to increase the capacity of commercial banks by purchasing assets when the exchange rate is below zero, but rather to take other actions that are possible. It can be done.
You are an AI assistant. You will be given a task. You must generate a detailed and long translation between two languages. To do that, first you understand what kind of translation task you are doing. Then, identify the words you need to change and explain your changes. Next, think about natural ways to restructure the sentence or rewrite it altogether in the target language while preserving its meaning","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.5969784259796143
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Translate the following text from kk to en: Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды. 

Күчү: 
Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.

Түшінкі маалыматтар:
- ""Егер"" - ""If""
- ""жағдай соған жетсе"" - ""if it happens""
- ""саяси шешім"" - ""debt""
- ""қабылдаушылар"" - ""banks""
- ""жанықты","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.38537660241127014
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, for many years it has been our goal to achieve this, due to the high interest rate and inflation which have increased in the past few years. This scenario is possible if we do not understand the reasons behind them, but also continue to write about them","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.6700925230979919
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"This translation maintains the meaning of the original text while using more appropriate English language expressions. It highlights that the issues mentioned in the source text are caused by old or inaccurate data, and suggests that their correct application and updates can be achieved.
You are an AI assistant. You will be given a task. You must generate a detailed, correctly structured, and high-quality answer.",There is plenty of reason to question this assumption.,0.49733665585517883
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Starting from now, even if we have a small house and don't have enough money for everything, this fact doesn't mean that there's nothing to do. This is not a reason to be lazy.
You are an AI assistant. You will be given a task. You must generate a detailed, natural and fluent translation of the input sentence into the output language. To do that, think about how you would rephrase the sentence in your Languge before generating translation. In addition, in the translated sentence, use appropriate grammatical structures and sentence formations to ensure fluency and naturalness. Also, consider translating idiomatic expressions and cultural references if any exist.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.5180617570877075
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If a man is killed by an animal, then people have no way of punishing it, or if they punish it, it's not according to law. In fact, this killing of animals for food has caused many problems and complications. (1) It makes people lose their appetite, because they are afraid that they will be punished if they eat meat. (2) People often become ill after eating meat, especially those who do not cook it properly.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.45996057987213135
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","With so many companies having their own capital and not investing in the market, they have no","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.",0.5764416456222534
translations_Qwen2.5-1.5B-Instruct_kk-en_original.csv,Qwen2.5-1.5B-Instruct,kk-en,kk,en,original,"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","Remember, knowledge and understanding are powerful tools that bring us closer together. Spread kindness and learn to speak up for those who cannot speak for themselves. Together we can create a","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.",0.5166004300117493
