file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Thousands in Central Park panic after barrier collapse,Let me know if you have any specific details about the event you'd like to,Tūkstantinės minios panika Centriniame parke griuvus barjerui,0.2614625096321106
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",This article is part of our ongoing coverage of recent events in New York City and across the,"Tūkstančiai žmonių, supanikavusių dėl galimų šūvių politinio pobūdžio renginyje, pasileido bėgti Centriniu parku sugriuvus policijos barjerui.",0.3132646679878235
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Big-name personalities from Democratic New York Gov. Andrew Cuomo and Republican Sen. Jeff Flake to Janet Jackson and John Legend urged spectators to get involved in the nation's troubled politics.,"This translation aims to maintain the original meaning while adapting it to the grammatical structure of the Lithuanian language. It captures the essence of the political figures mentioned (Andrew Cuomo, Jeff Flake, Janet Jackson, and John Legend) and their involvement in American politics. Additionally, it reflects how these figures are using social media platforms to convey a message about getting involved in the nation's troubled politics. The translation preserves the tone and intent of the","Žinomos asmenybės – Demokratų partijai atstovaujantis Niujorko gubernatorius Andrew Cuomo’as, Respublikonų senatorius Jeffas Flake’as, Janeta Jackson, Johnas Legendas – paragino žiūrovus įsitraukti į audringą šalies politiką.",0.3944219946861267
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,"The authorities quickly assured the crowd that they were safe after the barrier fell on Saturday evening. This was followed by a large-scale demonstration against the new government.

Step-by-step translation process:

1. Identify key elements of the original sentence:
 - Authorities
 - Assured
 - Crowd
 - Safe
 - Barrier
 - Fell
 - Saturday evening
 - Large-scale demonstration
 - Against the new government

2. Translate each element while maintaining the original meaning and structure as much as possible:
 - ""Authorities"" = ""Atlykojimus""
 - ""quickly assured"" = ""sprendžiai atsakydamas""
 - ""the crowd"" = ""vokėnai""
 - ""safe"" = ""saugoti""
 - ""after the barrier fell"" = ""paskutinį kartą, kai pabandytojo plėtra""
 - ""Saturday evening"" = ""Sekmadienio diena""
 -","Nugriuvus barjerui šeštadienio vakarą vykusiame renginyje, valdžios institucijos greitai patikino žiūrovus, kad jie yra saugūs.",0.34811073541641235
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Burning social justice issues dominated the event that started on a sunny afternoon.,"Atasios didžiausias laukinys atvyko iš pirmojo mėnesio diena. Visos laikotarpis buvo kainų įtampa ir su šiuolaikiniu gautištu skatinimui uogonį. Tai yra jau konkrečias problemas daugelio šalyje. 

Explanation for non-Lithuanian speakers:

The original English sentence talks about an event where important social justice topics were discussed during a sunny day. The main point was about fighting against labeling young people as criminals, which is still a big issue in many places around the world.

In Lithuanian, we have translated this meaning while keeping the tone and structure similar to the original text. We used phrases like ""atvyko iš pirmojo mėnesio diena"" (started on a sunny afternoon) and ""kainų įtampa ir su šiuolaikini",Saulėtą popietę prasidėjusiame renginyje daugiausia kalbėta apie socialinį teisingumą.,0.3154762089252472
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.","""Gala galimybes"" translates to ""have the ability","Maždaug 60 000 stebėtojų susirinko į Didžiojoje pievoje vykusį Visuotinį piliečių festivalį, kuriame turėjo pasirodyti Cardi B, The Weeknd ir kitos popžvaigždės.",0.2532804012298584
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh.,"Translate the following text from en to lt: Some speakers asked the audience to call their Congress members to react to this week's Senate hearings for Supreme Court nominee Brett Kavanaugh. I have a letter in my mailbox that says ""Kavanaugh is not qualified"". That letter came from my sister-in-law, who lives in Texas.
Some of you may be familiar with the fact that I am an attorney by profession and work as a civil rights lawyer at the American Civil Liberties Union. This was not a coincidence - I had already written about it on my blog last year.
The next day, after returning home from work, I called my Congressman to ask him to contact Senator Sessions, asking him to support President Trump's nomination. I also sent him a copy of my letter.
I did the same thing the previous Tuesday evening, calling Representative Jim Sensenbrenner, another Republican, and asking him to contact Senator Dick Durbin, another Republican, so they could both support the nomination.
It's important to note that we are still waiting for a response from the White House on this issue. We do not know yet if the nominee will even get to testify before the Senate Judiciary Committee or not.
As soon as I heard the news that the Supreme Court nominee has been confirmed, I immediately",Kai kurie kalbėjusieji paprašė žiūrovų paskambinti jiems atstovaujantiems Kongreso nariams ir pareikšti nuomonę apie šią savaitę vykusius Senato posėdžius dėl kandidato į Aukščiausiąjį teismą Bretto Kavanaugh‘o.,0.3690415620803833
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Alastair Seeley continues British Supersport winning run at Assen,"But ""dalyvauja"" (he/she was involved) sounds more natural and appropriate here in this context.",Nepertraukiama Alastairo Seeley’o pergalių serija „British Supersport“ lenktynėse Asene,0.26352617144584656
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Alastair Seeley has continued his winning form in British Supersports,"Alastair Seeley has continued his winning form in British Supersports this season, and he's now entered a second round of qualifying for the British Superbike Championship. He will be joined by fellow Briton James Ellison in the race.
2. Lithuanian: Alastair Seeley yra atliekamas su šiame amžiuose britų Supersporto kampuose ir jis",Alastairas Seeley’is išlaikė laimėtojo poziciją „British Supersports“ lenktynėse,0.3654833436012268
translations_Qwen2.5-1.5B-Instruct_lt-en_reverse.csv,Qwen2.5-1.5B-Instruct,lt-en,lt,en,reverse,Alastair Seeley took his third win in five British Supersport races by taking victory in Saturday's 12-lap sprint race at Assen in the Netherlands.,"2. Translate each part of the sentence:
 ""Alastair Seeley took his third win in five British Supersport races"" -> ""Alastair Seeley palaikė tris metus iki šešių British Supersport raketų""
 ""by taking victory"" -> ""sprendę vėliau""
 ""in Saturday's 12-lap sprint race"" -> ""Antrasis 12-skaicius galieta""
 ""at Assen in the Netherlands"" -> ""Assen į Nidžerij","Alastairas Seeley’is iškovojo trečią pergalę per penkias „British Supersport“ lenktynes, nugalėjęs šeštadienį Nyderlandų mieste Asene vykusiame 12 ratų sprinte.",0.31736817955970764
