file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"The Civic Rights Movement issued travel advisories for Missouri and California. To properly translate the given Czech text into English, we need to carefully consider each part of the sentence. Here is the step-by-step breakdown:

1. ""Hnutí za občanská práva"" translates to ""The Civic Rights Movement.""
2. ""vydalo"" means ""issued"" or ""released.""
3. ""cestovní výstrahu"" translates to ""travel advisory.""
4. ""pro Missouri a Kalifornii"" means ""for Missouri and California.""

Putting it all together, the English translation would be:

""The Civic Rights Movement issued travel advisories for Missouri and California.""

This translation maintains the meaning and structure of the original Czech sentence while ensuring it reads naturally in English.",Civil rights group issues travel warning for Missouri,0.4622572958469391
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,Translate the following text from cs to en: Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků. [Reuters] The National Association for the Advancement of Colored People (NAACP) issued a warning to people with color who are traveling to Missouri based on discriminatory state laws and racist attacks. [Reuters],The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,0.6170821785926819
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","Translate the following text from cs to en: „Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace. „Rozhodnutí je otevřeno pro případné změny,“ dodává NAACP.
The NAACP travel advisories for the state of Missouri, effective August 28, 2017, urge African American travelers, visitors, and residents of Missouri to be extra vigilant during their travels across the state due to a series of controversial racially motivated incidents that are currently occurring throughout the state, ""the association's statement reads. ""The","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",0.6266533136367798
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.",This version maintains the original meaning while improving readability.,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",0.44714927673339844
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,„Dochází k porušování občanských práv.,"""Civil rights are being violated. A case could be, for example, some matters such as representing or a commitment to a foreign job, where it is necessary to ensure the safety and security of the employee.""","""You have violations of civil rights that are happening to people.",0.537061870098114
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","""To people are being stopped by police only because of the color of their skin, they are disturbed or attacked, even killed,"" said Rod Chapel, president of the NAACP in Missouri for the Kansas City Star. (To people are being stopped by police only because of the color of their skin","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",0.7526008486747742
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,„Hromadí se nám dosud největší množství stížností.“,"So the full meaning is clear in the original sentence, but the most natural-sounding English version",We are hearing complaints at a rate we haven't heard before.,0.42093029618263245
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","A few key points:
- The organization is issuing its first of its kind warning to the U.S. government.
- It's a non",It is the first such warning that the organization has issued for a state in the US.,0.7082329988479614
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","""Among the incidents that the organization cited were racially motivated slurs directed at students of African descent at the University of Missouri and the death of Tory Sander, a man of African descent from Tennessee.""","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",0.846844494342804
translations_Qwen2.5-3B-Instruct_cs-en_original.csv,Qwen2.5-3B-Instruct,cs-en,cs,en,original,"Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Sanders died under disputed circumstances at the beginning of this year after running out of fuel during a state trip and the police detained him without charges for committing a crime. 

Note that ""Sanders"" in this context is assumed to be referring to Bernie Sanders, a former U.S. Senator and presidential candidate. However, without more context, it could also refer to any other person named Sanders. The rest of the sentence is about the circumstances of his death, which seem to involve him being detained by the police while driving in an unlicensed vehicle.","Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",0.7268839478492737
