file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,બેરિયર ભાંગી ગયા પછી સેન્ટ્રલ પાર્કમાં હજારો ગભરાટમાં,What kind of information will be provided about hundreds of deaths in Central Park after the barrier barricade was set up?,Thousands in Central Park panic after barrier collapse,0.6532043218612671
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા.,Translate the following text from gu to en: એક રાજકીય કાર્યક્રમમાં પોલીસ બેરીયરના ભંગાણને કારણે સેન્ટ્રલ પાર્કમાં નાસભાગ કરતાં હજારો લોકો સંભવિત બંદૂકની ગોળીઓના ભયથી મુશ્કેલીમાં મુકાયા. આ પ્રયાસ પછી સાથે સં,"The collapse of a police barrier sent thousands of people fleeing in a panic in Central Park, afraid of possible gunshots at a politically-charged show.",0.45299383997917175
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે.,Translate the following text from gu to en: શનિવારે સાંજે બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી કે તેઓ સલામત છે. જ્યારે મુખ્ય બેન્ચ પર વિનાથ્ય બેરીયર પડ્યા પછી અધિકારીઓએ ટોળાના લોકોને ખાતરી આપી ક�,Authorities quickly assured the crowd they were safe after the barrier fell Saturday evening.,0.47954779863357544
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું.,Translate the following text from gu to en: સામાજિક ન્યાયના સળગતા મુદ્દાઓએ તડકાની ખરા બપોરે શરૂ થયેલી ઘટના પર વર્ચસ્વ ઉભું કર્યું. જેમાં સામાન્ય રીતે કાર્યરત સામાજિક ન્યાયના સાથે મુદ્દાઓએ તેના પર વર્ચસ્વ કરવા,Burning social justice issues dominated the event that started on a sunny afternoon.,0.3818631172180176
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,"લગભગ 60,000 લોકોથી ગ્લોબલ સિટીઝન ફેસ્ટિવલ માટે પાર્કની ગ્રેટ લૉન ભરચક બની ગઈ, જેમાં કાર્ડી બી, ધ વીકન્ડ અને અન્ય પોપ સ્ટારની પણ રાહ જોવાતી હતી.",This translation conveys,"About 60,000 people filled the park's Great Lawn for the Global Citizen Festival, also awaiting Cardi B, The Weeknd and other pop stars.",0.3702876567840576
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,"બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્ર","Translate the following text from gu to en: બીજી ઓક્ટોબરથી અન્ના હજારે કરશે ભૂખ હડતાળ, PM મોદીને લખ્યો પત્રમાં. એક સ્વાધીનતની નોંધ આપી છે તેમાં વિશ્વનો જોવા માટે પાછળથી સૌથી જ સામાન્ય વિષ્ણુપતિની રાસ્તા સાથે પ",Anna Hazare will go on hunger strike from 2nd October. He wrote a letter to PM Modi.,0.4399372339248657
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે.,"Translate the following text from gu to en: મહારાષ્ટ્ર: સામાજીક કાર્યકર્તા અન્ના હજારેએ બીજી ઓક્ટોબરથી ભૂખ હડતાળનું એલાન કર્યું છે. એલાનમાં, તેઓ ભૂખ હડતાળવાનું જોવાની પ્રયાસો કર્યું છે અને તેમના કિશોરો અને બ�",Maharashtra: The social activist Anna Hazare has announced hunger strike from 2nd October.,0.4793901741504669
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે.,Translate the following text from gu to en: અન્ના હજારેએ વડાપ્રધાન પર પ્રહાર કરતા કહ્યું કે ભાજપના નેતૃત્વવાળી સરકાર લોકપાલ આંદોલનના કારણે કેન્દ્રની સત્તામાં આવી છે. તે મહિલા સ્ત્રી જેવી પ્રતિબિંબ વિશે કહ્યું કે �,Anna Hazare has heavily criticized the Prime minister mentioning that BJP-led government has come to the power in the centre due to the Lokpal movement.,0.514975905418396
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે.,Translate the following text from gu to en: પરંતુ ચાર વર્ષ વીતી ગયા પણ સરકાર કોઈ ના કોઈ કારણથી લોકપાલ અને લોકાયુક્તની નિયુક્તિને ટાળી રહી છે. તેના મદદમાં બાઢીની કોઈ ના કારણ નથી. આ જેવી શ્રેષ્ઠ પ્રાથમિક સંસ્કૃતિશાળ,Four years have passed but the government is avoiding electing Lokpal and Lokayukt for some reason or other.,0.5001518726348877
translations_Qwen2.5-3B-Instruct_gu-en_original.csv,Qwen2.5-3B-Instruct,gu-en,gu,en,original,તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે.,Translate the following text from gu to en: તેમણે કહ્યું કે તે લોકપાલ નિયુક્તને લઈને બીજી ઓક્ટબરથી ભૂખ હડતાળ શરૂ કરશે અને તેઓ પોતાના આ નિર્ણય પર અડગ છે. તેમણે જાણીત છે કે તેઓ તેના પ્રસ્તાવનાને અનુકૂળ હોવાને નિર્દ�,"He added that regarding the Lokpal election, he will go on hunger strike from 2nd October and he remains firm in his decision.",0.48497459292411804
