file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,Ақша-несие саясатының сценарийін қайта жазсақ,"Let's rewrite the script of the country's constitutional law, but its use for practical purposes is essentially limited to a certain field.

This translation conveys that while they are considering rewriting the country's constitutional law script, it would be primarily applicable or useful in a specific area or domain. The original sentence implies there might be limitations on how broadly or universally this rewritten law could be implemented or applied.
You are correct. The sentence suggests that while rewriting the constitutional law script is being considered, the practical application of this new script will likely be very narrow and confined to a specific area or field. Here is a more direct translation:

""Let's rewrite the script of the country's constitutional law, but its practical use will essentially be limited to a specific field.""

This translation captures the",Rewriting the Monetary-Policy Script,0.5648132562637329
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?","Translate the following text from kk to en: МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек? Өзін-өзі жаңы жалпы курсын қамтамасыз көрсету үшін кез келген өсімдіктерде бірнеше оралдарды атқарады. Бұл сияқты өсімдіктер әдетте бірнеше қоректеулерден толтырылады. Бірнеше қоректеулердің арқылы өсімдіктер өзін-өзін-бастапқы курстарына",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.33197295665740967
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Letting the strong points of the international court system start working with local banks can be beneficial. There are cases where this happens, as they have a favorable attitude towards legal and procedural requirements.

The translation aims to convey the original meaning and context of the text while adapting it to natural English phrasing. The key concepts such as ""international court system,"" ""local banks,"" and ""favorable attitude"" have been preserved in the translation.
You are an","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.5213838219642639
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The principles of those who form the framework for fiscal policy of the Central Bank should be that if inflation is running much outside the official range, monetary policy measures aimed at curbing short-term risks and stimulating investment should be appropriate. In line with this, it","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.8401161432266235
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"""The effectiveness of this method - besides selling assets to compensate for the loss when financial institutions are zeroed out due to risky operations - does not work. If it is possible","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.59709632396698
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","""If a crisis occurs, creditors will default according to the standard scenarios of the new Keynesian model. This creditor response will differ from the previous proposals made by the creditors - namely, a framework for coordinated Keynesian action - in terms of other potential scenarios."" To break","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.6268497109413147
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, this scenario is often detrimental, as it can slow down credit issuance and inflation. By utilizing such information, in some cases, people can find help and support from their home regions.

Explanation of the translation:
1. ""Бірақ"" (Biraq) translates to ""However"" or ""Nevertheless.""
2.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.5619992017745972
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"However, there are reasons why this method is not effective. On average in 2023, it happened on March 25th, and by correcting 2500 times.

This translation aims to convey the original meaning of the text while adapting it to natural English phrasing. The key points about the ineffectiveness of the method and the specific date along with the number of corrections required are preserved in the translation.
The phrase ""Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті"" (However, there are reasons why this method is not effective) directly translates to ""However, there are reasons why this method is not effective",There is plenty of reason to question this assumption.,0.4551544785499573
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Firstly, even if the blocks are in a chaotic structure, it is possible","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.4596499800682068
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If survival becomes a motivator, people will sell human beings as commodities or refuse to have children in the future. In contemporary survival-oriented societies, there are both unique conditions and commonalities. To be continued...

This translation aims to convey the meaning of the original Kazakh text in English while maintaining its structure and tone. The phrase ""Ақша жинау табыс келтірмейтін"" is translated as ""survival becomes a motivator,"" which captures the essence of the original statement about how people might act if survival is prioritized. The latter part of the sentence about contemporary societies with both unique and commonalities is kept","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.48719340562820435
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Translate the following text from kk to en: Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ. Қазіргі өлкелердегі өтірді өсімділігі 100-200 міліон доллардан кездесет. Айтаңыз, компаниялардың тіркелуы қолданылат ең көптеген өлкелерге, бірақ анықталмаған аймақтарда және таңбасында. Көптөгөн компаниялар өзін-өзі білім","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.",0.3477143347263336
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","Translate the following text from kk to en: Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай. Бұл саясаттың тәуелсіз жасауы өзгөрткен және өзара көбінесендегі құрамдық қабылдау құрылымдары мен жаңы құрылымдар туралы салым калуға болады. Бұл саясатта құрылымдардың қоректік араласына қатысты өзара құрылымдар мен өзара көбінесенділіктің анықталуы қажет болады. Ал так","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.",0.3308982849121094
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.","As it stands, in order for inflation to be brought down to a manageable level, all economic factors need to be coordinated. You will find that this has connections with other aspects of the situation. In general, it is possible to increase inflation in many situations through economic measures.","This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.",0.717350959777832
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,Жекелеген орталық банктер мен экономистер үшін бұл – қасиетті нәрсені қорлау болар еді.,"Translate the following text from kk to en: Жекелеген орталық банктер мен экономистер үшін бұл – қасиетті нәрсені қорлау болар еді. Ал өзіңіздің қорданысыңызды, жаңы мүмкіндіктерді қолданыңыз. Көбінесе, бұл балансыңызды жақсарту үшін көптеген өзара талаптарды қажет болады. Жекелейім қорданысыңызды басып алу үшін қажет болса, бұл балансыңызды жақсарту үшін бұл талапты. Бұл талап көптеген өзара талаптардан жақсы болады, ол қорданысыңы","For individual central banks or economists, to do so would be sacrilege.",0.33815380930900574
translations_Qwen2.5-3B-Instruct_kk-en_original.csv,Qwen2.5-3B-Instruct,kk-en,kk,en,original,"Орталық банктер бұл саясаттың экономикалық шығындарын, атап айтқанда қаржы нарықтарының шектен тыс толып кетуі, жинақтаушы зейнетақы жүйелеріндегі қаржылық жыртықтарды жамау қажеттігі, байлар мен кедейлер арасында теңсіздіктің артуы сияқты мәселелерін толық жоққа шығармайды.","Translate the following text from kk to en: Орталық банктер бұл саясаттың экономикалық шығындарын, атап айтқанда қаржы нарықтарының шектен тыс толып кетуі, жинақтаушы зейнетақы жүйелеріндегі қаржылық жыртықтарды жамау қажеттігі, байлар мен кедейлер арасында теңсіздіктің артуы сияқты мәселелерін толық жоққа шығармайды. Бұл саясаттың орталық банктерінің өзара құрылымы мен құрылымына тез-тез қатысты болып табылады. Саясаттың орталық банктерінің өзара","Central banks do not completely deny the economic costs that these policies imply: exuberance in financial markets, financing gaps in funded pension systems, and deeper wealth inequality, to name just a few.",0.4339371621608734
