file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,"Elections européennes: Objectifs, financement...","Europäische Wahlen: Ziele, Finanzierung...","Europawahlen: Ziele, Finanzierung...",0.9669917821884155
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,Quatre questions autour de la candidature de la liste «gilets jaunes».,"Vier Fragen zu der Kandidatenliste ""Gilets jaunes"".","Vier Fragen zur Listenaufstellung der ""Gelbwesten"".",0.6996617317199707
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,Des « gilets jaunes » ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"""Gelbe Hüte"" kündigten am Mittwoch an, dass sie für die Europawahl antreten.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen bekanntgegeben.",0.8208704590797424
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,"La liste n’est aujourd’hui composée que de 10 noms, sur les 79 prévus.","Die Liste umfasst heute nur 10 Namen, von den 79, die geplant sind.",Bis jetzt stehen nur 10 der 79 vorgesehenen Kandidaten fest.,0.8328256011009216
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,"Contrairement à ce qu’ils ont annoncé, les candidats ne devraient pas pouvoir se financer par crowdfunding.",Im Gegensatz zu den déclarationen sollten die Kandidaten nicht aus crowdfunding-Finanzierung finanzieren können.,"Entgegen erster Ankündigungen ist es den Kandidaten wahrscheinlich nicht möglich, sich durch Crowdfunding selbst zu finanzieren.",0.5952170491218567
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,Ingrid Levavasseur devrait mener la liste «gilets jaunes» aux européennes.,"Ingrid Levavasseur sollte die Liste ""gelbe Hosen"" an die Europäer führen.","Ingrid Levavasseur soll die Liste der ""Gelbwesten"" für die Europa-Wahl anführen.",0.5623267889022827
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,De la rue aux urnes.,From the street of the urns.,Von der Straße zu den Urnen.,0.4691964089870453
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,Des «gilets jaunes» ont annoncé mercredi qu’ils se lançaient pour les élections européennes.,"""Gelbe Hüte"" kündigten auf Mittwoch an, dass sie für die Europawahl antreten.","Die ""Gelbwesten"" haben am Mittwoch ihre Teilnahme an den Europawahlen angekündigt.",0.8083930015563965
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,"Dans un communiqué, le « ralliement d’initiative citoyenne » (RIC) diffuse un embryon de liste comprenant dix noms.","In einem Kommuniqué wird der ""Ralliement d'initiative citoyenne"" (RIC) eine Liste mit zehn Namen ausstrahlen.","In einer Erklärung stellt die ""Ralliement d’initiative citoyenne"" (RIC) einen ersten Listenentwurf mit zehn Namen vor.",0.835098147392273
translations_gemma-7b-it_fr-de.csv,gemma-7b-it,fr-de,fr,de,unspecified,"A leur tête: Ingrid Levavasseur, une aide-soignante normande de 31 ans, qui est l’une des figures du mouvement.","Auf ihrem Kopf: Ingrid Levavasseur, eine 31-jährige Pflegehelferin aus Norwegen, die zu den Hauptfiguren des [Bewegungs] gehört.","An ihrer Spitze: Ingrid Levavasseur, eine 31-jährige Krankenpflegehelferin aus der Normandie und eine der Hauptfiguren der Bewegung.",0.7432083487510681
