file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,Ақша-несие саясатының сценарийін қайта жазсақ,If we rewrite the script of monetary-credit policy,Rewriting the Monetary-Policy Script,0.7846314311027527
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – When will the world's largest central banks stop talking about inflation and start tightening rules to boost growth?,MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,0.8645724654197693
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Considering the good sides of a prudent monetary-credit policy, central banks should also start paying attention to flexibility.","Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",0.8168591260910034
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The established tradition of monetary policymakers is that if inflation has been below the officially forecasted range for a long time, short-term interest rates should be set at a level that stimulates spending and investment.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.",0.9209017157554626
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"The peculiarity of this method is that when interest rates approach zero, central banks have no other option but to implement asset purchase programs to boost demand.","This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",0.9033013582229614
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","If the situation reaches that point, the political decision-makers will announce a default based on certain scenarios of the new Keynesian economic model.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.",0.7995226383209229
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","However, in most cases, these scenarios confuse us, because we think that it is possible to measure and predict the impact of monetary policy on demand and inflation.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.",0.8551331758499146
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,"However, there are sufficient reasons to refute this conclusion.",There is plenty of reason to question this assumption.,0.908572793006897
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Firstly, even though the interest rates for families are very low, they have not saved much money and have not spent a lot.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.",0.8082629442214966
translations_llama-3.1-70b-versatile_kk-en.csv,llama-3.1-70b-versatile,kk-en,kk,en,unspecified,"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If saving money doesn't bring income, people won't buy expensive things, or won't save money for their future retirement vacation.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.",0.8412137627601624
